Date,activeaddresses14trx
2010/07/17,12.819
2010/07/18,11.398
2010/07/19,9.867
2010/07/20,8.389
2010/07/21,7.015
2010/07/22,5.728
2010/07/23,4.582
2010/07/24,3.657
2010/07/25,3.19
2010/07/26,2.787
2010/07/27,2.328
2010/07/28,1.837
2010/07/29,1.317
2010/07/30,0.815
2010/07/31,0.322
2010/08/01,-0.112
2010/08/02,-0.489
2010/08/03,-0.739
2010/08/04,-0.946
2010/08/05,-1.096
2010/08/06,-1.24
2010/08/07,-1.402
2010/08/08,-1.552
2010/08/09,-1.64
2010/08/10,-1.724
2010/08/11,-1.774
2010/08/12,-1.825
2010/08/13,-1.805
2010/08/14,-1.806
2010/08/15,-1.855
2010/08/16,-1.84
2010/08/17,-1.853
2010/08/18,-1.819
2010/08/19,-1.821
2010/08/20,-1.794
2010/08/21,-1.78
2010/08/22,-1.756
2010/08/23,-1.703
2010/08/24,-1.635
2010/08/25,-1.598
2010/08/26,-1.533
2010/08/27,-1.497
2010/08/28,-1.471
2010/08/29,-1.496
2010/08/30,-1.507
2010/08/31,-1.434
2010/09/01,-1.348
2010/09/02,-1.275
2010/09/03,-1.227
2010/09/04,-1.214
2010/09/05,-1.187
2010/09/06,-1.163
2010/09/07,-1.18
2010/09/08,-1.169
2010/09/09,-1.149
2010/09/10,-1.11
2010/09/11,-1.101
2010/09/12,-1
2010/09/13,-0.836
2010/09/14,-0.656
2010/09/15,-0.474
2010/09/16,-0.288
2010/09/17,0.022
2010/09/18,0.217
2010/09/19,0.363
2010/09/20,0.489
2010/09/21,0.801
2010/09/22,1.141
2010/09/23,1.476
2010/09/24,1.686
2010/09/25,1.807
2010/09/26,1.782
2010/09/27,1.906
2010/09/28,2.261
2010/09/29,2.543
2010/09/30,2.556
2010/10/01,2.469
2010/10/02,2.299
2010/10/03,2.049
2010/10/04,1.809
2010/10/05,1.546
2010/10/06,1.275
2010/10/07,0.999
2010/10/08,0.78
2010/10/09,0.587
2010/10/10,0.382
2010/10/11,0.18
2010/10/12,-0.006
2010/10/13,-0.091
2010/10/14,-0.192
2010/10/15,-0.315
2010/10/16,-0.341
2010/10/17,-0.356
2010/10/18,-0.303
2010/10/19,-0.07
2010/10/20,0.203
2010/10/21,0.43
2010/10/22,0.606
2010/10/23,0.699
2010/10/24,0.735
2010/10/25,0.703
2010/10/26,0.661
2010/10/27,0.684
2010/10/28,0.712
2010/10/29,0.698
2010/10/30,0.601
2010/10/31,0.433
2010/11/01,0.232
2010/11/02,-0.018
2010/11/03,-0.258
2010/11/04,-0.47
2010/11/05,-0.59
2010/11/06,-0.712
2010/11/07,-0.801
2010/11/08,-0.61
2010/11/09,-0.506
2010/11/10,-0.462
2010/11/11,-0.473
2010/11/12,-0.562
2010/11/13,-0.662
2010/11/14,-0.667
