Date,activeaddresses30rsi
2010/07/17,50.042
2010/07/18,50.41
2010/07/19,50.594
2010/07/20,50.363
2010/07/21,50.015
2010/07/22,49.253
2010/07/23,49.454
2010/07/24,50.645
2010/07/25,54.77
2010/07/26,51.37
2010/07/27,49.703
2010/07/28,49.359
2010/07/29,48.832
2010/07/30,49.044
2010/07/31,48.635
2010/08/01,49.223
2010/08/02,49.252
2010/08/03,50.697
2010/08/04,49.672
2010/08/05,50.051
2010/08/06,49.263
2010/08/07,48.719
2010/08/08,49.048
2010/08/09,49.966
2010/08/10,49.079
2010/08/11,49.625
2010/08/12,49.028
2010/08/13,50.385
2010/08/14,48.956
2010/08/15,48.267
2010/08/16,50.093
2010/08/17,48.669
2010/08/18,49.899
2010/08/19,48.571
2010/08/20,49.579
2010/08/21,48.897
2010/08/22,49.224
2010/08/23,49.61
2010/08/24,49.488
2010/08/25,48.704
2010/08/26,49.654
2010/08/27,48.708
2010/08/28,48.903
2010/08/29,48.041
2010/08/30,48.938
2010/08/31,50.362
2010/09/01,49.48
2010/09/02,49.073
2010/09/03,48.775
2010/09/04,48.429
2010/09/05,49.168
2010/09/06,48.892
2010/09/07,48.076
2010/09/08,49.228
2010/09/09,48.983
2010/09/10,49.211
2010/09/11,48.316
2010/09/12,50.702
2010/09/13,50.762
2010/09/14,50.28
2010/09/15,50.261
2010/09/16,50.476
2010/09/17,53.35
2010/09/18,49.25
2010/09/19,50.078
2010/09/20,50.54
2010/09/21,54.876
2010/09/22,53.205
2010/09/23,53.288
2010/09/24,51.019
2010/09/25,51.179
2010/09/26,49.309
2010/09/27,54.775
2010/09/28,57.9
2010/09/29,53.448
2010/09/30,49.084
2010/10/01,50.64
2010/10/02,50.132
2010/10/03,49.307
2010/10/04,50.523
2010/10/05,49.546
2010/10/06,49.45
2010/10/07,49.082
2010/10/08,50.488
2010/10/09,49.947
2010/10/10,48.853
2010/10/11,48.926
2010/10/12,49.067
2010/10/13,51.64
2010/10/14,48.971
2010/10/15,48.5
2010/10/16,51.69
2010/10/17,50.041
2010/10/18,51.756
2010/10/19,55.493
2010/10/20,53.404
2010/10/21,51.713
2010/10/22,51.517
2010/10/23,50.286
2010/10/24,50.429
2010/10/25,49.517
2010/10/26,50.582
2010/10/27,52.847
2010/10/28,51.685
2010/10/29,50.245
2010/10/30,48.484
2010/10/31,47.688
2010/11/01,47.942
2010/11/02,46.639
2010/11/03,47.862
2010/11/04,48.212
2010/11/05,50.578
2010/11/06,48.19
2010/11/07,49.167
2010/11/08,57.021
2010/11/09,48.842
2010/11/10,48.867
2010/11/11,48.464
2010/11/12,47.294
2010/11/13,48.387
2010/11/14,51.132
2010/11/15,69.401
2010/11/16,62.294
2010/11/17,48.805
2010/11/18,48.631
2010/11/19,48.67
2010/11/20,49.313
2010/11/21,49.198
2010/11/22,48.588
2010/11/23,48.765
2010/11/24,50.25
2010/11/25,49.998
2010/11/26,51.408
2010/11/27,49.507
2010/11/28,48.928
2010/11/29,49.941
2010/11/30,49.403
2010/12/01,51.056
2010/12/02,49.465
2010/12/03,49.84
2010/12/04,49.01
2010/12/05,48.822
2010/12/06,49.054
2010/12/07,51.438
2010/12/08,50.019
2010/12/09,49.617
2010/12/10,48.436
2010/12/11,51.063
2010/12/12,51.789
2010/12/13,54.503
2010/12/14,51.171
2010/12/15,50.86
2010/12/16,50.039
2010/12/17,49.117
2010/12/18,49.507
2010/12/19,50.951
2010/12/20,53.196
2010/12/21,50.797
2010/12/22,51.533
2010/12/23,50.298
2010/12/24,49.237
2010/12/25,50.687
2010/12/26,50.37
2010/12/27,51.109
2010/12/28,50.347
2010/12/29,50.066
2010/12/30,50.783
2010/12/31,49.382
2011/01/01,50.687
2011/01/02,50.492
2011/01/03,52.997
2011/01/04,50.556
2011/01/05,53.739
2011/01/06,50.955
2011/01/07,51.592
2011/01/08,53.075
2011/01/09,52.393
2011/01/10,52.77
2011/01/11,53.58
2011/01/12,51.293
2011/01/13,54.315
2011/01/14,53.608
2011/01/15,52.148
2011/01/16,52.964
2011/01/17,51.466
2011/01/18,51.974
2011/01/19,52.942
2011/01/20,52.166
2011/01/21,55.912
2011/01/22,57.429
2011/01/23,55.146
2011/01/24,56.009
2011/01/25,51.063
2011/01/26,52.07
2011/01/27,52.55
2011/01/28,52.82
2011/01/29,55.556
2011/01/30,62.136
2011/01/31,54.872
2011/02/01,52.809
2011/02/02,50.154
2011/02/03,48.819
2011/02/04,50.303
2011/02/05,50.401
2011/02/06,49.567
2011/02/07,49.6
2011/02/08,49.795
2011/02/09,53.997
2011/02/10,61.385
2011/02/11,64.461
2011/02/12,58.107
2011/02/13,57.908
2011/02/14,61.333
2011/02/15,57.324
2011/02/16,55.07
2011/02/17,57.147
2011/02/18,57.608
2011/02/19,53.904
2011/02/20,55.093
2011/02/21,55.567
2011/02/22,57.56
2011/02/23,57.628
2011/02/24,56.949
2011/02/25,55.506
2011/02/26,56.234
2011/02/27,56.466
2011/02/28,53.077
2011/03/01,61.611
2011/03/02,54.652
2011/03/03,58.508
2011/03/04,52.16
2011/03/05,53.231
2011/03/06,52.152
2011/03/07,52.467
2011/03/08,54.011
2011/03/09,52.163
2011/03/10,50.419
2011/03/11,50.908
2011/03/12,51.577
2011/03/13,50.272
2011/03/14,50.299
2011/03/15,51.833
2011/03/16,51.287
2011/03/17,51.521
2011/03/18,50.958
2011/03/19,51.303
2011/03/20,56.242
2011/03/21,56.962
2011/03/22,53.423
2011/03/23,62.565
2011/03/24,53.59
2011/03/25,52.899
2011/03/26,54.722
2011/03/27,54.536
2011/03/28,56.09
2011/03/29,53.787
2011/03/30,50.665
2011/03/31,52.107
2011/04/01,49.459
2011/04/02,49.534
2011/04/03,50.517
2011/04/04,53.419
2011/04/05,52.413
2011/04/06,51.026
2011/04/07,49.652
2011/04/08,50.356
2011/04/09,50.247
2011/04/10,49.911
2011/04/11,51.704
2011/04/12,52.571
2011/04/13,53.661
2011/04/14,57.485
2011/04/15,51.325
2011/04/16,54.699
2011/04/17,51.61
2011/04/18,54.7
2011/04/19,56.643
2011/04/20,53.804
2011/04/21,50.176
2011/04/22,50.692
2011/04/23,52.436
2011/04/24,51.669
2011/04/25,52.737
2011/04/26,55.364
2011/04/27,58.358
2011/04/28,54.767
2011/04/29,55.931
2011/04/30,58.865
2011/05/01,57.008
2011/05/02,53.101
2011/05/03,53.24
2011/05/04,53.961
2011/05/05,55.556
2011/05/06,54.893
2011/05/07,55.844
2011/05/08,53.441
2011/05/09,56.038
2011/05/10,54.949
2011/05/11,54.729
2011/05/12,55.064
2011/05/13,59.811
2011/05/14,58.443
2011/05/15,56.592
2011/05/16,62.962
2011/05/17,59.623
2011/05/18,63.465
2011/05/19,61.146
2011/05/20,60.183
2011/05/21,58.212
2011/05/22,58.318
2011/05/23,60.42
2011/05/24,62.137
2011/05/25,64.163
2011/05/26,63.942
2011/05/27,55.516
2011/05/28,56.844
2011/05/29,55.917
2011/05/30,58.375
2011/05/31,60.286
2011/06/01,60.143
2011/06/02,62.333
2011/06/03,65.281
2011/06/04,67.138
2011/06/05,63.713
2011/06/06,67.164
2011/06/07,63.161
2011/06/08,70.703
2011/06/09,68.904
2011/06/10,65.336
2011/06/11,64.728
2011/06/12,67.445
2011/06/13,65.506
2011/06/14,68.584
2011/06/15,65.192
2011/06/16,66.217
2011/06/17,62.199
2011/06/18,62.251
2011/06/19,63.635
2011/06/20,61.101
2011/06/21,59.785
2011/06/22,61.363
2011/06/23,58.165
2011/06/24,58.944
2011/06/25,55.658
2011/06/26,56.541
2011/06/27,62.187
2011/06/28,57.549
2011/06/29,55.548
2011/06/30,54.619
2011/07/01,59.974
2011/07/02,61.381
2011/07/03,52.014
2011/07/04,52.989
2011/07/05,52.769
