Date,activeaddresses30std
2010/07/17,2623
2010/07/18,2615
2010/07/19,2609
2010/07/20,2600
2010/07/21,2591
2010/07/22,2586
2010/07/23,2579
2010/07/24,2570
2010/07/25,2590
2010/07/26,2574
2010/07/27,2562
2010/07/28,2550
2010/07/29,2546
2010/07/30,2542
2010/07/31,2539
2010/08/01,2532
2010/08/02,2523
2010/08/03,2511
2010/08/04,2500
2010/08/05,2482
2010/08/06,2473
2010/08/07,2465
2010/08/08,2456
2010/08/09,2443
2010/08/10,2443
2010/08/11,2287
2010/08/12,2269
2010/08/13,810.147
2010/08/14,692.092
2010/08/15,619.197
2010/08/16,619.049
2010/08/17,623.906
2010/08/18,618.566
2010/08/19,623.108
2010/08/20,622.917
2010/08/21,625.336
2010/08/22,626.765
2010/08/23,620.507
2010/08/24,325.436
2010/08/25,249.471
2010/08/26,244.4
2010/08/27,248.437
2010/08/28,248.489
2010/08/29,262.092
2010/08/30,259.194
2010/08/31,262.417
2010/09/01,262.517
2010/09/02,229.114
2010/09/03,227.642
2010/09/04,218.761
2010/09/05,218.429
2010/09/06,218.563
2010/09/07,228.163
2010/09/08,216.129
2010/09/09,216.985
2010/09/10,211.546
2010/09/11,216.572
2010/09/12,197.069
2010/09/13,205.651
2010/09/14,202.694
2010/09/15,191.425
2010/09/16,194.402
2010/09/17,243.3
2010/09/18,240.006
2010/09/19,239.925
2010/09/20,242.973
2010/09/21,331.378
2010/09/22,365.399
2010/09/23,396.265
2010/09/24,397.49
2010/09/25,402.64
2010/09/26,398.691
2010/09/27,452.038
2010/09/28,568.866
2010/09/29,588.201
2010/09/30,589.495
2010/10/01,588.223
2010/10/02,583.121
2010/10/03,576.124
2010/10/04,564.443
2010/10/05,558.706
2010/10/06,550.656
2010/10/07,534.551
2010/10/08,526.256
2010/10/09,515.47
2010/10/10,510.486
2010/10/11,495.342
2010/10/12,497.859
2010/10/13,497.686
2010/10/14,499.123
2010/10/15,503.533
2010/10/16,502.218
2010/10/17,498.972
2010/10/18,491.02
2010/10/19,526.745
2010/10/20,535.54
2010/10/21,522.672
2010/10/22,520.353
2010/10/23,516.139
2010/10/24,515.757
2010/10/25,517.145
2010/10/26,509.541
2010/10/27,496.384
2010/10/28,391.967
2010/10/29,368.876
2010/10/30,367.501
2010/10/31,378.855
2010/11/01,387.068
2010/11/02,404.783
2010/11/03,413.228
2010/11/04,417.638
2010/11/05,416.064
2010/11/06,418.962
2010/11/07,420.722
2010/11/08,504.124
2010/11/09,502.887
2010/11/10,501.921
2010/11/11,504.296
2010/11/12,519.36
2010/11/13,522.159
2010/11/14,516.515
2010/11/15,1386
2010/11/16,1636
2010/11/17,1641
2010/11/18,1639
2010/11/19,1642
2010/11/20,1643
2010/11/21,1645
2010/11/22,1648
2010/11/23,1651
2010/11/24,1650
2010/11/25,1650
2010/11/26,1651
2010/11/27,1651
2010/11/28,1653
2010/11/29,1650
2010/11/30,1645
2010/12/01,1641
2010/12/02,1631
2010/12/03,1624
2010/12/04,1621
2010/12/05,1624
2010/12/06,1620
2010/12/07,1617
2010/12/08,1604
2010/12/09,1600
2010/12/10,1600
2010/12/11,1594
2010/12/12,1581
2010/12/13,1588
2010/12/14,1587
2010/12/15,1002
2010/12/16,460.881
2010/12/17,455.419
2010/12/18,445.289
2010/12/19,439.48
2010/12/20,478.073
2010/12/21,476.256
2010/12/22,469.409
2010/12/23,455.457
2010/12/24,457.788
2010/12/25,458.497
2010/12/26,451.891
2010/12/27,451.841
2010/12/28,439.803
2010/12/29,438.324
2010/12/30,432.786
2010/12/31,433.008
2011/01/01,427.81
2011/01/02,425.202
2011/01/03,432.369
2011/01/04,413.029
2011/01/05,431.007
2011/01/06,431.426
2011/01/07,430.578
2011/01/08,440.577
2011/01/09,413.43
2011/01/10,426.142
2011/01/11,449.736
2011/01/12,409.503
2011/01/13,454.114
2011/01/14,479.452
2011/01/15,478.51
