Date,activeaddresses3ema
2010/07/17,1630
2010/07/18,1273
2010/07/19,1123
2010/07/20,1014
2010/07/21,911.686
2010/07/22,755.343
2010/07/23,703.671
2010/07/24,833.836
2010/07/25,1483
2010/07/26,1360
2010/07/27,1066
2010/07/28,869.865
2010/07/29,698.932
2010/07/30,640.966
2010/07/31,557.983
2010/08/01,588.992
2010/08/02,607.996
2010/08/03,790.998
2010/08/04,760.999
2010/08/05,789.999
2010/08/06,714
2010/08/07,614
2010/08/08,599
2010/08/09,688.5
2010/08/10,639.25
2010/08/11,670.125
2010/08/12,624.562
2010/08/13,735.781
2010/08/14,649.391
2010/08/15,537.195
2010/08/16,654.598
2010/08/17,574.299
2010/08/18,650.149
2010/08/19,560.075
2010/08/20,608.037
2010/08/21,568.019
2010/08/22,577.009
2010/08/23,615.005
2010/08/24,623.502
2010/08/25,561.251
2010/08/26,606.626
2010/08/27,551.813
2010/08/28,539.406
2010/08/29,464.703
2010/08/30,493.352
2010/08/31,613.676
2010/09/01,608.338
2010/09/02,575.669
2010/09/03,537.834
2010/09/04,494.417
2010/09/05,521.209
2010/09/06,516.104
2010/09/07,459.552
2010/09/08,502.276
2010/09/09,508.138
2010/09/10,524.569
2010/09/11,478.785
2010/09/12,594.892
2010/09/13,656.446
2010/09/14,660.223
2010/09/15,661.112
2010/09/16,673.056
2010/09/17,838.028
2010/09/18,700.014
2010/09/19,677.007
2010/09/20,691.003
2010/09/21,953.502
2010/09/22,996.251
2010/09/23,1023
2010/09/24,914.813
2010/09/25,869.906
2010/09/26,746.453
2010/09/27,1008
2010/09/28,1353
2010/09/29,1276
2010/09/30,956.841
2010/10/01,901.92
2010/10/02,840.96
2010/10/03,756.48
2010/10/04,792.24
2010/10/05,748.12
2010/10/06,720.06
2010/10/07,683.53
2010/10/08,748.265
2010/10/09,749.133
2010/10/10,686.066
2010/10/11,658.533
2010/10/12,652.267
2010/10/13,789.133
2010/10/14,711.567
2010/10/15,646.283
2010/10/16,789.642
2010/10/17,770.821
2010/10/18,858.91
2010/10/19,1133
2010/10/20,1158
2010/10/21,1076
2010/10/22,1024
2010/10/23,929.528
2010/10/24,890.264
2010/10/25,821.132
2010/10/26,843.566
2010/10/27,980.283
2010/10/28,989.142
2010/10/29,918.571
2010/10/30,788.785
2010/10/31,680.393
2010/11/01,638.696
2010/11/02,548.348
2010/11/03,561.174
2010/11/04,584.087
2010/11/05,709.544
2010/11/06,652.772
2010/11/07,671.386
2010/11/08,1121
2010/11/09,884.596
2010/11/10,767.798
2010/11/11,684.399
2010/11/12,570.2
2010/11/13,574.6
2010/11/14,737.8
2010/11/15,2567
2010/11/16,2966
2010/11/17,1820
2010/11/18,1226
2010/11/19,933.619
2010/11/20,858.809
2010/11/21,808.405
2010/11/22,716.202
2010/11/23,688.101
2010/11/24,825.551
2010/11/25,868.775
2010/11/26,1033
2010/11/27,927.444
2010/11/28,816.722
2010/11/29,858.361
2010/11/30,827.68
2010/12/01,968.34
2010/12/02,890.17
2010/12/03,885.585
2010/12/04,807.293
2010/12/05,751.146
2010/12/06,742.573
2010/12/07,942.287
2010/12/08,922.643
2010/12/09,878.822
2010/12/10,757.411
2010/12/11,913.705
2010/12/12,1054
2010/12/13,1365
2010/12/14,1251
2010/12/15,1168
2010/12/16,1058
2010/12/17,927.245
2010/12/18,892.623
2010/12/19,990.311
2010/12/20,1226
2010/12/21,1157
2010/12/22,1184
2010/12/23,1101
2010/12/24,975.916
2010/12/25,1026
2010/12/26,1027
2010/12/27,1083
2010/12/28,1057
2010/12/29,1023
2010/12/30,1057
2010/12/31,977.593
2011/01/01,1027
2011/01/02,1039
2011/01/03,1219
2011/01/04,1148
2011/01/05,1344
2011/01/06,1253
2011/01/07,1253
2011/01/08,1363
2011/01/09,1373
2011/01/10,1405
2011/01/11,1479
2011/01/12,1371
2011/01/13,1533
2011/01/14,1570
2011/01/15,1496
2011/01/16,1516
2011/01/17,1432
2011/01/18,1424
2011/01/19,1485
2011/01/20,1469
2011/01/21,1719
2011/01/22,1957
2011/01/23,1945
2011/01/24,2001
2011/01/25,1723
2011/01/26,1655
2011/01/27,1654
2011/01/28,1672
2011/01/29,1874
2011/01/30,2536
2011/01/31,2383
2011/02/01,2149
2011/02/02,1820
2011/02/03,1543
2011/02/04,1526
2011/02/05,1525
2011/02/06,1459
2011/02/07,1429
2011/02/08,1428
2011/02/09,1758
2011/02/10,2653
2011/02/11,3482
2011/02/12,3391
2011/02/13,3328
2011/02/14,3723
2011/02/15,3566
2011/02/16,3274
2011/02/17,3383
2011/02/18,3496
2011/02/19,3194
2011/02/20,3185
2011/02/21,3238
2011/02/22,3510
2011/02/23,3654
2011/02/24,3665
2011/02/25,3540
2011/02/26,3561
2011/02/27,3597
2011/02/28,3312
2011/03/01,4253
2011/03/02,3991
2011/03/03,4442
2011/03/04,3862
2011/03/05,3736
2011/03/06,3526
2011/03/07,3467
2011/03/08,3667
2011/03/09,3526
2011/03/10,3219
2011/03/11,3133
2011/03/12,3183
2011/03/13,3038
2011/03/14,2969
2011/03/15,3134
2011/03/16,3150
2011/03/17,3187
2011/03/18,3141
2011/03/19,3158
2011/03/20,3804
2011/03/21,4228
2011/03/22,4045
2011/03/23,5454
2011/03/24,4921
2011/03/25,4546
2011/03/26,4687
2011/03/27,4729
2011/03/28,5033
2011/03/29,4843
2011/03/30,4252
2011/03/31,4206
2011/04/01,3742
2011/04/02,3523
2011/04/03,3575
2011/04/04,4098
2011/04/05,4202
2011/04/06,4034
2011/04/07,3729
2011/04/08,3689
2011/04/09,3652
2011/04/10,3582
2011/04/11,3821
2011/04/12,4076
2011/04/13,4374
2011/04/14,5170
2011/04/15,4658
2011/04/16,5014
2011/04/17,4681
2011/04/18,5111
2011/04/19,5729
2011/04/20,5558
2011/04/21,4803
2011/04/22,4525
2011/04/23,4731
2011/04/24,4694
2011/04/25,4884
2011/04/26,5515
2011/04/27,6502
2011/04/28,6362
2011/04/29,6554
2011/04/30,7356
2011/05/01,7423
2011/05/02,6705
2011/05/03,6377
2011/05/04,6375
2011/05/05,6735
2011/05/06,6794
2011/05/07,7036
2011/05/08,6718
2011/05/09,7141
2011/05/10,7153
2011/05/11,7119
2011/05/12,7174
2011/05/13,8313
2011/05/14,8644
2011/05/15,8480
2011/05/16,10126
2011/05/17,10311
2011/05/18,11625
2011/05/19,11812
2011/05/20,11706
2011/05/21,11239
2011/05/22,11036
2011/05/23,11564
2011/05/24,12375
2011/05/25,13468
2011/05/26,13972
2011/05/27,12393
2011/05/28,12016
2011/05/29,11606
2011/05/30,12178
2011/05/31,13112
2011/06/01,13547
2011/06/02,14533
2011/06/03,16174
2011/06/04,17796
2011/06/05,17828
2011/06/06,19395
2011/06/07,19180
2011/06/08,23243
2011/06/09,24760
