Date,activeaddresses7sma
2010/07/17,2490
2010/07/18,2537
2010/07/19,2169
2010/07/20,2013
2010/07/21,1162
2010/07/22,959.571
2010/07/23,808.429
2010/07/24,831.286
2010/07/25,1005
2010/07/26,1043
2010/07/27,1024
2010/07/28,1004
2010/07/29,994.143
2010/07/30,984.286
2010/07/31,914.429
2010/08/01,698.429
2010/08/02,611.143
2010/08/03,640.143
2010/08/04,648.286
2010/08/05,689.857
2010/08/06,697.714
2010/08/07,703.286
2010/08/08,698.143
2010/08/09,719.714
2010/08/10,664.857
2010/08/11,660.571
2010/08/12,626.286
2010/08/13,656.143
2010/08/14,663.143
2010/08/15,640.429
2010/08/16,639.571
2010/08/17,625.857
2010/08/18,629.429
2010/08/19,613.857
2010/08/20,586.571
2010/08/21,581.571
2010/08/22,604.571
2010/08/23,587.571
2010/08/24,607.286
2010/08/25,574.857
2010/08/26,600.857
2010/08/27,578.143
2010/08/28,578
2010/08/29,550
2010/08/30,531.286
2010/08/31,545.857
2010/09/01,560.714
2010/09/02,545.143
2010/09/03,545.571
2010/09/04,534.714
2010/09/05,557.286
2010/09/06,555.714
2010/09/07,508.429
2010/09/08,500.143
2010/09/09,496
2010/09/10,501.857
2010/09/11,499.286
2010/09/12,522.571
2010/09/13,552.143
2010/09/14,589.429
2010/09/15,606.143
2010/09/16,630.571
2010/09/17,696.571
2010/09/18,715
2010/09/19,706.857
2010/09/20,705
2010/09/21,783.857
2010/09/22,837.714
2010/09/23,889.714
2010/09/24,861.714
2010/09/25,899.286
2010/09/26,894.857
2010/09/27,975.429
2010/09/28,1044
2010/09/29,1067
2010/09/30,1008
2010/10/01,1014
2010/10/02,1008
2010/10/03,1015
2010/10/04,951.714
2010/10/05,809.571
2010/10/06,737.286
2010/10/07,738.571
2010/10/08,733.714
2010/10/09,729.429
2010/10/10,722.429
2010/10/11,694.286
2010/10/12,686
2010/10/13,719.429
2010/10/14,717.571
2010/10/15,684.429
2010/10/16,710.571
2010/10/17,729
2010/10/18,774.143
2010/10/19,883
2010/10/20,919.714
2010/10/21,971.143
2010/10/22,1027
2010/10/23,1013
2010/10/24,1027
2010/10/25,999.286
2010/10/26,921.857
2010/10/27,912.429
2010/10/28,913
2010/10/29,895.286
2010/10/30,870.143
2010/10/31,830.286
2010/11/01,808.143
2010/11/02,749.857
2010/11/03,672.286
2010/11/04,616.429
2010/11/05,614.571
2010/11/06,605.571
2010/11/07,622.429
2010/11/08,761.571
2010/11/09,788.714
2010/11/10,799.714
2010/11/11,798.857
2010/11/12,744.714
2010/11/13,742.286
2010/11/14,772.429
2010/11/15,1176
2010/11/16,1564
2010/11/17,1568
2010/11/18,1572
2010/11/19,1598
2010/11/20,1628
2010/11/21,1607
2010/11/22,1068
2010/11/23,682
2010/11/24,723.143
2010/11/25,763.143
2010/11/26,842.571
2010/11/27,848
2010/11/28,840.571
2010/11/29,880
2010/11/30,899.571
2010/12/01,920.429
2010/12/02,906.143
2010/12/03,861
2010/12/04,847.714
2010/12/05,846.143
2010/12/06,822.429
2010/12/07,871.714
2010/12/08,842.286
2010/12/09,845.571
2010/12/10,810.571
2010/12/11,859.286
2010/12/12,930.571
2010/12/13,1065
