Date,activeaddresses90mom
2010/07/17,-2664
2010/07/18,371
2010/07/19,546
2010/07/20,531
2010/07/21,576
2010/07/22,356
2010/07/23,367
2010/07/24,620
2010/07/25,1854
2010/07/26,965
2010/07/27,448
2010/07/28,457
2010/07/29,321
2010/07/30,319
2010/07/31,269
2010/08/01,341
2010/08/02,302
2010/08/03,678
2010/08/04,290
2010/08/05,585
2010/08/06,192
2010/08/07,258
2010/08/08,287
2010/08/09,618
2010/08/10,328
2010/08/11,444
2010/08/12,330
2010/08/13,687
2010/08/14,394
2010/08/15,134
2010/08/16,469
2010/08/17,182
2010/08/18,439
2010/08/19,137
2010/08/20,311
2010/08/21,79
2010/08/22,258
2010/08/23,308
2010/08/24,229
2010/08/25,117
2010/08/26,292
2010/08/27,137
2010/08/28,256
2010/08/29,109
2010/08/30,246
2010/08/31,477
2010/09/01,201
2010/09/02,307
2010/09/03,239
2010/09/04,181
2010/09/05,68
2010/09/06,171
2010/09/07,51
2010/09/08,258
2010/09/09,160
2010/09/10,248
2010/09/11,91
2010/09/12,289
2010/09/13,353
2010/09/14,370
2010/09/15,380
2010/09/16,411
2010/09/17,624
2010/09/18,254
2010/09/19,308
2010/09/20,341
2010/09/21,866
2010/09/22,671
2010/09/23,800
2010/09/24,558
2010/09/25,509
2010/09/26,334
2010/09/27,868
2010/09/28,1249
2010/09/29,793
2010/09/30,265
2010/10/01,489
2010/10/02,343
2010/10/03,289
2010/10/04,562
2010/10/05,321
2010/10/06,378
2010/10/07,299
2010/10/08,411
2010/10/09,163
2010/10/10,-2928
2010/10/11,-1367
2010/10/12,-6117
2010/10/13,-1093
2010/10/14,-1076
2010/10/15,-223
2010/10/16,16
2010/10/17,-220
2010/10/18,41
2010/10/19,599
2010/10/20,584
2010/10/21,342
2010/10/22,8
2010/10/23,-1297
2010/10/24,-387
2010/10/25,-19
2010/10/26,192
2010/10/27,589
2010/10/28,415
2010/10/29,373
2010/10/30,39
2010/10/31,-55
2010/11/01,-377
2010/11/02,-273
2010/11/03,-245
2010/11/04,-31
2010/11/05,321
2010/11/06,12
2010/11/07,-88
2010/11/08,981
2010/11/09,-53
2010/11/10,72
2010/11/11,-246
2010/11/12,-107
2010/11/13,154
2010/11/14,129
2010/11/15,3902
2010/11/16,2639
2010/11/17,205
2010/11/18,-24
2010/11/19,113
2010/11/20,198
2010/11/21,105
2010/11/22,-8
2010/11/23,161
2010/11/24,311
2010/11/25,415
2010/11/26,670
2010/11/27,432
2010/11/28,184
2010/11/29,166
2010/11/30,194
2010/12/01,566
2010/12/02,312
2010/12/03,430
2010/12/04,181
2010/12/05,184
2010/12/06,331
2010/12/07,597
2010/12/08,389
2010/12/09,294
2010/12/10,203
2010/12/11,359
2010/12/12,476
2010/12/13,1012
2010/12/14,475
2010/12/15,400
2010/12/16,-54
2010/12/17,234
2010/12/18,204
2010/12/19,383
2010/12/20,245
2010/12/21,50
2010/12/22,161
2010/12/23,211
2010/12/24,26
2010/12/25,453
2010/12/26,-241
2010/12/27,-559
2010/12/28,-168
2010/12/29,352
2010/12/30,244
2010/12/31,118
2011/01/01,405
2011/01/02,223
2011/01/03,694
2011/01/04,386
2011/01/05,893
2011/01/06,348
2011/01/07,504
2011/01/08,850
2011/01/09,752
2011/01/10,791
2011/01/11,626
2011/01/12,629
2011/01/13,1115
2011/01/14,674
2011/01/15,670
2011/01/16,589
2011/01/17,-60
2011/01/18,233
2011/01/19,551
2011/01/20,481
2011/01/21,1134
2011/01/22,1345
2011/01/23,1180
2011/01/24,1192
2011/01/25,328
2011/01/26,588
2011/01/27,805
2011/01/28,1031
2011/01/29,1505
2011/01/30,2601
2011/01/31,1771
2011/02/01,1342
2011/02/02,883
2011/02/03,431
2011/02/04,913
2011/02/05,835
2011/02/06,-178
2011/02/07,750
2011/02/08,776
2011/02/09,1487
2011/02/10,3093
2011/02/11,3731
2011/02/12,2399
2011/02/13,-1130
2011/02/14,752
2011/02/15,2735
2011/02/16,2350
2011/02/17,2851
2011/02/18,2824
2011/02/19,2134
2011/02/20,2553
2011/02/21,2631
2011/02/22,2818
2011/02/23,2886
2011/02/24,2479
2011/02/25,2594
2011/02/26,2875
2011/02/27,2733
2011/02/28,2231
2011/03/01,4085
2011/03/02,2916
2011/03/03,4013
2011/03/04,2552
2011/03/05,2915
2011/03/06,2582
2011/03/07,2267
2011/03/08,2964
2011/03/09,2549
2011/03/10,2276
2011/03/11,1978
2011/03/12,2038
2011/03/13,1217
2011/03/14,1763
2011/03/15,2214
2011/03/16,2217
2011/03/17,2429
2011/03/18,2236
2011/03/19,2088
2011/03/20,2988
2011/03/21,3563
2011/03/22,2652
2011/03/23,5846
2011/03/24,3537
2011/03/25,3094
2011/03/26,3800
2011/03/27,3632
2011/03/28,4306
2011/03/29,3663
2011/03/30,2571
2011/03/31,3261
2011/04/01,2202
2011/04/02,2253
2011/04/03,2228
2011/04/04,3543
2011/04/05,2766
2011/04/06,2706
2011/04/07,2169
2011/04/08,2176
2011/04/09,2232
2011/04/10,2076
2011/04/11,2508
2011/04/12,3067
2011/04/13,2976
2011/04/14,4359
2011/04/15,2725
2011/04/16,3833
2011/04/17,3001
2011/04/18,4124
2011/04/19,4803
2011/04/20,3934
2011/04/21,2078
2011/04/22,2052
2011/04/23,3004
2011/04/24,2599
2011/04/25,3629
2011/04/26,4561
2011/04/27,5836
2011/04/28,4531
2011/04/29,4670
2011/04/30,4959
2011/05/01,5261
2011/05/02,4071
2011/05/03,4560
2011/05/04,5106
2011/05/05,5587
2011/05/06,5327
2011/05/07,5885
2011/05/08,5002
2011/05/09,6138
2011/05/10,5077
2011/05/11,3536
2011/05/12,2919
2011/05/13,6151
2011/05/14,5709
2011/05/15,4200
2011/05/16,8361
2011/05/17,7515
2011/05/18,9447
2011/05/19,8390
2011/05/20,8708
2011/05/21,7595
2011/05/22,7543
2011/05/23,8311
2011/05/24,9387
2011/05/25,10886
2011/05/26,11060
2011/05/27,7232
2011/05/28,8007
2011/05/29,8168
2011/05/30,7556
2011/05/31,10318
2011/06/01,9087
2011/06/02,12238
2011/06/03,14205
2011/06/04,16102
2011/06/05,14452
2011/06/06,17095
2011/06/07,15580
2011/06/08,24394
2011/06/09,23230
2011/06/10,20912
2011/06/11,20877
2011/06/12,24114
2011/06/13,22510
2011/06/14,26612
2011/06/15,24316
2011/06/16,25773
2011/06/17,22878
2011/06/18,21666
2011/06/19,23114
2011/06/20,22099
2011/06/21,18132
2011/06/22,22376
2011/06/23,20199
2011/06/24,20384
2011/06/25,17856
2011/06/26,18203
2011/06/27,25484
2011/06/28,22518
2011/06/29,20174
2011/06/30,20180
2011/07/01,26910
2011/07/02,28604
2011/07/03,17625
2011/07/04,19252
2011/07/05,19431
2011/07/06,23496
2011/07/07,19292
2011/07/08,21011
2011/07/09,19249
2011/07/10,24648
2011/07/11,21520
2011/07/12,18372
2011/07/13,21209
2011/07/14,24696
2011/07/15,19064
2011/07/16,19704
2011/07/17,19134
2011/07/18,21534
2011/07/19,19513
2011/07/20,21839
2011/07/21,21187
2011/07/22,19518
2011/07/23,17250
2011/07/24,18153
2011/07/25,20813
2011/07/26,16331
2011/07/27,17258
2011/07/28,19154
2011/07/29,14064
2011/07/30,12270
2011/07/31,18150
2011/08/01,17707
2011/08/02,15331
2011/08/03,11314
2011/08/04,12114
2011/08/05,14232
2011/08/06,13831
2011/08/07,12495
2011/08/08,17463
2011/08/09,16583
2011/08/10,12481
2011/08/11,8839
2011/08/12,8151
2011/08/13,10867
2011/08/14,9735
2011/08/15,8723
2011/08/16,8053
2011/08/17,8365
2011/08/18,9075
2011/08/19,11461
2011/08/20,10279
2011/08/21,10692
2011/08/22,12017
2011/08/23,8132
2011/08/24,7653
2011/08/25,12300
2011/08/26,9896
2011/08/27,9661
2011/08/28,5726
2011/08/29,4845
2011/08/30,3553
2011/08/31,1510
2011/09/01,-831
2011/09/02,-3319
2011/09/03,-3397
2011/09/04,-3425
2011/09/05,-721
2011/09/06,-8530
2011/09/07,-9454
2011/09/08,-8342
2011/09/09,-5165
2011/09/10,-11076
2011/09/11,-10388
2011/09/12,-13141
2011/09/13,-12671
2011/09/14,-14074
2011/09/15,-10597
2011/09/16,-11554
2011/09/17,-14642
2011/09/18,-11602
2011/09/19,-8934
2011/09/20,-4851
2011/09/21,-6436
2011/09/22,-7672
2011/09/23,-2634
2011/09/24,-4106
2011/09/25,-10900
2011/09/26,-8417
2011/09/27,-5641
2011/09/28,-9709
2011/09/29,-17417
2011/09/30,-18762
2011/10/01,-9247
2011/10/02,-11719
2011/10/03,-9450
2011/10/04,-13120
2011/10/05,-9287
2011/10/06,-10184
2011/10/07,-9016
2011/10/08,-16211
2011/10/09,-13574
2011/10/10,-9695
2011/10/11,-13460
2011/10/12,-15259
2011/10/13,-12774
2011/10/14,-9499
2011/10/15,-11516
2011/10/16,-15899
2011/10/17,-10756
2011/10/18,-13570
2011/10/19,-12880
2011/10/20,-13336
2011/10/21,-9856
2011/10/22,-11118
2011/10/23,-13742
2011/10/24,-9867
2011/10/25,-10372
2011/10/26,-13454
2011/10/27,-10763
2011/10/28,-7053
2011/10/29,-11264
2011/10/30,-12356
2011/10/31,-9681
2011/11/01,-5642
2011/11/02,-5849
2011/11/03,-8396
2011/11/04,-4416
2011/11/05,-6565
2011/11/06,-13087
2011/11/07,-11027
2011/11/08,-5972
2011/11/09,-3949
2011/11/10,-2764
2011/11/11,-7018
2011/11/12,-9302
2011/11/13,-6682
2011/11/14,-7274
2011/11/15,-6195
2011/11/16,-7519
2011/11/17,-10037
2011/11/18,-8692
2011/11/19,-12692
2011/11/20,-13783
2011/11/21,-12536
2011/11/22,-10639
2011/11/23,-11614
2011/11/24,-10590
2011/11/25,-9175
2011/11/26,-8188
2011/11/27,-8139
2011/11/28,-4913
2011/11/29,-2653
2011/11/30,-1549
2011/12/01,-2071
2011/12/02,-1136
2011/12/03,-4679
2011/12/04,-6370
2011/12/05,-5698
2011/12/06,-1580
2011/12/07,-2892
2011/12/08,-4546
2011/12/09,-4158
2011/12/10,-3474
2011/12/11,-4501
2011/12/12,-3511
2011/12/13,-2810
2011/12/14,-3484
2011/12/15,-4536
2011/12/16,-2491
2011/12/17,-4145
2011/12/18,-6188
2011/12/19,-9193
2011/12/20,-4242
2011/12/21,-5657
2011/12/22,-7960
2011/12/23,-7327
2011/12/24,-8987
2011/12/25,-5962
2011/12/26,-6517
2011/12/27,-2004
2011/12/28,-1991
2011/12/29,-2146
2011/12/30,-2455
2011/12/31,-952
2012/01/01,-2402
2012/01/02,-1885
2012/01/03,-518
2012/01/04,-1972
2012/01/05,1638
2012/01/06,2412
2012/01/07,1146
2012/01/08,1321
2012/01/09,1124
2012/01/10,2506
2012/01/11,5329
2012/01/12,-673
2012/01/13,1338
2012/01/14,2581
2012/01/15,-595
2012/01/16,2558
2012/01/17,1723
2012/01/18,3623
2012/01/19,3042
2012/01/20,2085
2012/01/21,307
2012/01/22,-2549
2012/01/23,109
2012/01/24,2489
2012/01/25,5125
2012/01/26,1735
2012/01/27,1562
2012/01/28,1652
2012/01/29,2369
2012/01/30,739
2012/01/31,2509
2012/02/01,1859
2012/02/02,290
2012/02/03,3059
2012/02/04,4821
2012/02/05,2216
2012/02/06,156
2012/02/07,367
2012/02/08,232
2012/02/09,2954
2012/02/10,4153
2012/02/11,2750
2012/02/12,460
2012/02/13,2083
2012/02/14,5249
2012/02/15,5569
2012/02/16,6244
2012/02/17,4128
2012/02/18,3082
2012/02/19,3089
2012/02/20,2801
2012/02/21,3220
2012/02/22,5345
2012/02/23,5878
2012/02/24,6231
2012/02/25,4406
2012/02/26,706
2012/02/27,537
2012/02/28,889
2012/02/29,1416
2012/03/01,2816
2012/03/02,4756
2012/03/03,720
2012/03/04,1885
2012/03/05,900
2012/03/06,2394
2012/03/07,1154
2012/03/08,3925
2012/03/09,3850
2012/03/10,752
2012/03/11,1287
2012/03/12,2380
2012/03/13,4848
2012/03/14,6161
2012/03/15,4513
2012/03/16,6032
2012/03/17,6211
2012/03/18,1166
2012/03/19,1827
2012/03/20,4099
2012/03/21,4181
2012/03/22,3608
2012/03/23,4009
2012/03/24,2143
2012/03/25,2178
2012/03/26,4034
2012/03/27,4714
2012/03/28,4921
2012/03/29,6485
2012/03/30,4145
2012/03/31,2598
2012/04/01,844
2012/04/02,1756
2012/04/03,6332
2012/04/04,1300
2012/04/05,1485
2012/04/06,2906
2012/04/07,-397
2012/04/08,-914
2012/04/09,-875
2012/04/10,434
2012/04/11,4577
2012/04/12,4335
2012/04/13,1214
2012/04/14,3809
2012/04/15,1366
2012/04/16,4830
2012/04/17,3806
2012/04/18,4278
2012/04/19,3588
2012/04/20,5821
2012/04/21,4910
2012/04/22,1482
2012/04/23,1799
2012/04/24,747
2012/04/25,3012
2012/04/26,4734
2012/04/27,4149
2012/04/28,1578
2012/04/29,2484
2012/04/30,3475
2012/05/01,5057
2012/05/02,4094
2012/05/03,5306
2012/05/04,6316
2012/05/05,5160
2012/05/06,8304
2012/05/07,10944
2012/05/08,9192
2012/05/09,9705
2012/05/10,4060
2012/05/11,10849
2012/05/12,8571
2012/05/13,4453
2012/05/14,14009
2012/05/15,9398
2012/05/16,6876
2012/05/17,8349
2012/05/18,11660
2012/05/19,18357
2012/05/20,15249
2012/05/21,15636
2012/05/22,11225
2012/05/23,12056
2012/05/24,11548
2012/05/25,14954
2012/05/26,12323
2012/05/27,11382
2012/05/28,13270
2012/05/29,18824
2012/05/30,12404
2012/05/31,10797
2012/06/01,16466
2012/06/02,5604
2012/06/03,14248
2012/06/04,26269
2012/06/05,25753
2012/06/06,8457
2012/06/07,19588
2012/06/08,15378
2012/06/09,18893
2012/06/10,19470
2012/06/11,15787
2012/06/12,7307
2012/06/13,31588
2012/06/14,33400
2012/06/15,33002
2012/06/16,25461
2012/06/17,23838
2012/06/18,21622
2012/06/19,19332
2012/06/20,16553
2012/06/21,15453
2012/06/22,15286
2012/06/23,15905
2012/06/24,12723
2012/06/25,18457
2012/06/26,19756
2012/06/27,22070
2012/06/28,17697
2012/06/29,19071
2012/06/30,19171
2012/07/01,16808
2012/07/02,17786
2012/07/03,18015
2012/07/04,15241
2012/07/05,11595
2012/07/06,15076
2012/07/07,17015
2012/07/08,12698
2012/07/09,14860
2012/07/10,18573
2012/07/11,16522
2012/07/12,18454
2012/07/13,14005
2012/07/14,13659
2012/07/15,11275
2012/07/16,18254
2012/07/17,20895
2012/07/18,16505
2012/07/19,16963
2012/07/20,19803
2012/07/21,20880
2012/07/22,22220
2012/07/23,24708
2012/07/24,20961
2012/07/25,12389
2012/07/26,13640
2012/07/27,16324
2012/07/28,22636
2012/07/29,16877
2012/07/30,16159
2012/07/31,38577
2012/08/01,18862
2012/08/02,19448
2012/08/03,16345
2012/08/04,13685
2012/08/05,12188
2012/08/06,18563
2012/08/07,14345
2012/08/08,31543
2012/08/09,14245
2012/08/10,15860
2012/08/11,17704
2012/08/12,6650
2012/08/13,21427
2012/08/14,17332
2012/08/15,27837
2012/08/16,35545
2012/08/17,25157
2012/08/18,22068
2012/08/19,27771
2012/08/20,19896
2012/08/21,24778
2012/08/22,21455
2012/08/23,13634
2012/08/24,19379
2012/08/25,10315
2012/08/26,5108
2012/08/27,4178
2012/08/28,11366
2012/08/29,10961
2012/08/30,5047
2012/08/31,28853
2012/09/01,14588
2012/09/02,-6647
2012/09/03,-7972
2012/09/04,21875
2012/09/05,6158
2012/09/06,18577
2012/09/07,12564
2012/09/08,-134
2012/09/09,7582
2012/09/10,13865
2012/09/11,-1493
2012/09/12,-15430
2012/09/13,-14011
2012/09/14,-1072
2012/09/15,-9330
2012/09/16,-6031
2012/09/17,-2487
2012/09/18,6517
2012/09/19,13169
2012/09/20,18043
2012/09/21,8941
2012/09/22,-1188
2012/09/23,-5339
2012/09/24,-2560
2012/09/25,4171
2012/09/26,15539
2012/09/27,8967
2012/09/28,18098
2012/09/29,6747
2012/09/30,-1918
2012/10/01,3277
2012/10/02,21538
2012/10/03,22175
2012/10/04,22456
2012/10/05,13593
2012/10/06,11047
2012/10/07,11115
2012/10/08,10610
2012/10/09,16924
2012/10/10,13124
2012/10/11,9870
2012/10/12,14715
2012/10/13,9050
2012/10/14,1784
2012/10/15,6020
2012/10/16,8773
2012/10/17,8511
2012/10/18,14935
2012/10/19,9615
2012/10/20,4268
2012/10/21,-3235
2012/10/22,3068
2012/10/23,9893
2012/10/24,11017
2012/10/25,7282
2012/10/26,-820
2012/10/27,-6231
2012/10/28,-8542
2012/10/29,-23083
2012/10/30,-6263
2012/10/31,-9952
2012/11/01,-4627
2012/11/02,-2742
2012/11/03,-5122
2012/11/04,-11686
2012/11/05,-1589
2012/11/06,-10811
2012/11/07,3123
2012/11/08,-937
2012/11/09,-1678
2012/11/10,-4334
2012/11/11,-18431
2012/11/12,-11320
2012/11/13,-17719
2012/11/14,-23942
2012/11/15,-10460
2012/11/16,-3310
2012/11/17,-5215
2012/11/18,-4476
2012/11/19,-11986
2012/11/20,-5766
2012/11/21,378
2012/11/22,-3652
2012/11/23,-1404
2012/11/24,2399
2012/11/25,-2173
2012/11/26,1422
2012/11/27,-810
2012/11/28,9745
2012/11/29,-7463
2012/11/30,-7870
2012/12/01,-195
2012/12/02,-5197
2012/12/03,-15892
2012/12/04,870
2012/12/05,-2356
2012/12/06,-3079
2012/12/07,7196
2012/12/08,-1875
2012/12/09,1540
2012/12/10,-9306
2012/12/11,2826
2012/12/12,7639
2012/12/13,7899
2012/12/14,11647
2012/12/15,3025
2012/12/16,2686
2012/12/17,2210
2012/12/18,5257
2012/12/19,-3515
2012/12/20,343
2012/12/21,18812
2012/12/22,26504
2012/12/23,6491
2012/12/24,-3246
2012/12/25,-17982
2012/12/26,-3974
2012/12/27,-13460
2012/12/28,3960
2012/12/29,5326
2012/12/30,7803
2012/12/31,-18436
2013/01/01,-12252
2013/01/02,-8701
2013/01/03,6735
2013/01/04,8381
2013/01/05,10020
2013/01/06,-5430
2013/01/07,1779
2013/01/08,8666
2013/01/09,14928
2013/01/10,16571
2013/01/11,21621
2013/01/12,12151
2013/01/13,9217
2013/01/14,1252
2013/01/15,12807
2013/01/16,7371
2013/01/17,13725
2013/01/18,13833
2013/01/19,10554
2013/01/20,4604
2013/01/21,4486
2013/01/22,11624
2013/01/23,7772
2013/01/24,22891
2013/01/25,19811
2013/01/26,27000
2013/01/27,13885
2013/01/28,19835
2013/01/29,23442
2013/01/30,12800
2013/01/31,14703
2013/02/01,31692
2013/02/02,25918
2013/02/03,19923
2013/02/04,16222
2013/02/05,16432
2013/02/06,15986
2013/02/07,21579
2013/02/08,25474
2013/02/09,26190
2013/02/10,26031
2013/02/11,19602
2013/02/12,14095
2013/02/13,6860
2013/02/14,3177
2013/02/15,-2769
2013/02/16,4176
2013/02/17,3167
2013/02/18,3480
2013/02/19,5276
2013/02/20,9406
2013/02/21,15427
2013/02/22,17218
2013/02/23,15102
2013/02/24,10714
2013/02/25,18066
2013/02/26,14958
2013/02/27,13094
2013/02/28,22695
2013/03/01,28339
2013/03/02,21432
2013/03/03,15915
2013/03/04,11125
2013/03/05,12907
2013/03/06,28127
2013/03/07,25472
2013/03/08,18280
2013/03/09,15224
2013/03/10,21059
2013/03/11,16485
2013/03/12,17026
2013/03/13,16869
2013/03/14,19442
2013/03/15,28899
2013/03/16,15172
2013/03/17,10950
2013/03/18,10728
2013/03/19,24985
2013/03/20,23306
2013/03/21,23600
2013/03/22,19830
2013/03/23,27057
2013/03/24,29003
2013/03/25,35889
2013/03/26,34905
2013/03/27,36190
2013/03/28,52056
2013/03/29,43278
2013/03/30,32269
2013/03/31,29524
2013/04/01,37910
2013/04/02,48771
2013/04/03,55874
2013/04/04,61549
2013/04/05,46617
2013/04/06,40875
2013/04/07,33041
2013/04/08,57872
2013/04/09,55914
2013/04/10,72268
2013/04/11,63557
2013/04/12,52227
2013/04/13,27334
2013/04/14,27085
2013/04/15,42621
2013/04/16,41942
2013/04/17,46336
2013/04/18,25058
2013/04/19,55658
2013/04/20,28414
2013/04/21,23938
2013/04/22,38234
2013/04/23,45830
2013/04/24,41840
2013/04/25,41212
2013/04/26,31558
2013/04/27,28681
2013/04/28,63766
2013/04/29,31349
2013/04/30,32382
2013/05/01,35771
2013/05/02,17558
2013/05/03,26276
2013/05/04,12489
2013/05/05,14778
2013/05/06,25273
2013/05/07,55462
2013/05/08,44130
2013/05/09,21736
2013/05/10,27992
2013/05/11,23335
2013/05/12,17318
2013/05/13,30937
2013/05/14,30562
2013/05/15,33284
2013/05/16,34020
2013/05/17,31341
2013/05/18,22796
2013/05/19,16990
2013/05/20,22276
2013/05/21,31790
2013/05/22,24169
2013/05/23,28947
2013/05/24,33587
2013/05/25,17574
2013/05/26,13029
2013/05/27,15185
2013/05/28,21176
2013/05/29,20753
2013/05/30,15158
2013/05/31,26250
2013/06/01,21746
2013/06/02,12290
2013/06/03,22460
2013/06/04,9480
2013/06/05,12300
2013/06/06,16672
2013/06/07,19646
2013/06/08,1263
2013/06/09,3073
2013/06/10,1222
2013/06/11,3566
2013/06/12,2648
2013/06/13,2844
2013/06/14,24844
2013/06/15,1866
2013/06/16,-10081
2013/06/17,-11841
2013/06/18,714
2013/06/19,-582
2013/06/20,-7328
2013/06/21,2111
2013/06/22,-10450
2013/06/23,-14120
2013/06/24,-8151
2013/06/25,-11376
2013/06/26,-29467
2013/06/27,-22250
2013/06/28,-9435
2013/06/29,-3280
2013/06/30,-25264
2013/07/01,-23199
2013/07/02,-42984
2013/07/03,-42866
2013/07/04,-39166
2013/07/05,-22577
2013/07/06,-30562
2013/07/07,-65047
2013/07/08,-49030
2013/07/09,-65467
2013/07/10,-59753
2013/07/11,-29606
2013/07/12,-4386
2013/07/13,-8281
2013/07/14,-51846
2013/07/15,-38040
2013/07/16,-39033
2013/07/17,-19107
2013/07/18,-41837
2013/07/19,-15742
2013/07/20,-17476
2013/07/21,-40594
2013/07/22,-32859
2013/07/23,-38239
2013/07/24,-24882
2013/07/25,-19765
2013/07/26,-15373
2013/07/27,-66072
2013/07/28,-37785
2013/07/29,-9443
2013/07/30,-13745
2013/07/31,-1068
2013/08/01,31448
2013/08/02,4765
2013/08/03,-11665
2013/08/04,-24957
2013/08/05,-35949
2013/08/06,-30893
2013/08/07,-6273
2013/08/08,-11965
2013/08/09,-16287
2013/08/10,-10303
2013/08/11,-28662
2013/08/12,19669
2013/08/13,-9765
2013/08/14,-5947
2013/08/15,-2696
2013/08/16,14147
2013/08/17,-2815
2013/08/18,-14128
2013/08/19,-4022
2013/08/20,5042
2013/08/21,-590
2013/08/22,-1075
2013/08/23,12264
2013/08/24,-5269
2013/08/25,-5378
2013/08/26,-455
2013/08/27,14454
2013/08/28,5647
2013/08/29,-595
2013/08/30,21805
2013/08/31,22335
2013/09/01,-22855
2013/09/02,-15841
2013/09/03,-6567
2013/09/04,3611
2013/09/05,-3343
2013/09/06,15012
2013/09/07,5993
2013/09/08,-4478
2013/09/09,7386
2013/09/10,6907
2013/09/11,8334
2013/09/12,1267
2013/09/13,12762
2013/09/14,5268
2013/09/15,-2101
2013/09/16,6212
2013/09/17,3901
2013/09/18,11450
2013/09/19,10022
2013/09/20,18525
2013/09/21,14313
2013/09/22,-1277
2013/09/23,19157
2013/09/24,13405
2013/09/25,17473
2013/09/26,9566
2013/09/27,17118
2013/09/28,18435
2013/09/29,2633
2013/09/30,16297
2013/10/01,23765
2013/10/02,44867
2013/10/03,29761
2013/10/04,21311
2013/10/05,16893
2013/10/06,-1938
2013/10/07,8610
2013/10/08,11417
2013/10/09,6161
2013/10/10,2146
2013/10/11,16679
2013/10/12,18578
2013/10/13,25329
2013/10/14,16260
2013/10/15,22580
2013/10/16,30092
2013/10/17,22693
2013/10/18,33625
2013/10/19,41427
2013/10/20,13207
2013/10/21,32122
2013/10/22,43667
2013/10/23,41581
2013/10/24,49232
2013/10/25,49207
2013/10/26,24758
2013/10/27,-2179
2013/10/28,16726
2013/10/29,4560
2013/10/30,-18359
2013/10/31,22179
2013/11/01,26569
2013/11/02,17622
2013/11/03,10162
2013/11/04,29026
2013/11/05,42057
2013/11/06,59019
2013/11/07,65861
2013/11/08,71434
2013/11/09,75676
2013/11/10,13632
2013/11/11,41261
2013/11/12,38190
2013/11/13,47242
2013/11/14,50919
2013/11/15,58593
2013/11/16,46342
2013/11/17,29179
2013/11/18,84851
2013/11/19,125078
2013/11/20,81623
2013/11/21,106901
2013/11/22,101034
2013/11/23,82281
2013/11/24,48896
2013/11/25,48003
2013/11/26,95635
2013/11/27,124379
2013/11/28,112424
2013/11/29,101465
2013/11/30,106943
2013/12/01,103517
2013/12/02,105933
2013/12/03,97273
2013/12/04,113856
2013/12/05,110777
