Date,activeaddresses90roc
2010/07/17,-76.817
2010/07/18,67.949
2010/07/19,128.169
2010/07/20,141.6
2010/07/21,247.21
2010/07/22,146.502
2010/07/23,128.772
2010/07/24,180.233
2010/07/25,666.906
2010/07/26,353.48
2010/07/27,138.7
2010/07/28,210.599
2010/07/29,155.072
2010/07/30,120.833
2010/07/31,130.583
2010/08/01,122.222
2010/08/02,92.923
2010/08/03,229.054
2010/08/04,65.76
2010/08/05,250
2010/08/06,43.049
2010/08/07,100.781
2010/08/08,96.633
2010/08/09,386.25
2010/08/10,125.191
2010/08/11,172.763
2010/08/12,132.53
2010/08/13,429.375
2010/08/14,233.136
2010/08/15,46.048
2010/08/16,154.785
2010/08/17,58.333
2010/08/18,152.962
2010/08/19,41.141
2010/08/20,90.145
2010/08/21,17.595
2010/08/22,78.659
2010/08/23,89.275
2010/08/24,56.824
2010/08/25,30.628
2010/08/26,81.111
2010/08/27,38.056
2010/08/28,94.465
2010/08/29,38.79
2010/08/30,89.13
2010/08/31,185.603
2010/09/01,50
2010/09/02,130.085
2010/09/03,91.571
2010/09/04,67.037
2010/09/05,14.167
2010/09/06,50.294
2010/09/07,14.489
2010/09/08,89.895
2010/09/09,45.198
2010/09/10,84.642
2010/09/11,26.608
2010/09/12,68.483
2010/09/13,96.712
2010/09/14,125.85
2010/09/15,134.752
2010/09/16,150
2010/09/17,164.644
2010/09/18,82.468
2010/09/19,89.017
2010/09/20,93.681
2010/09/21,247.429
2010/09/22,182.337
2010/09/23,321.285
2010/09/24,224.096
2010/09/25,161.076
2010/09/26,115.571
2010/09/27,216.459
2010/09/28,277.556
2010/09/29,195.802
2010/09/30,71.046
2010/10/01,136.592
2010/10/02,78.49
2010/10/03,75.457
2010/10/04,211.278
2010/10/05,83.812
2010/10/06,120.382
2010/10/07,85.92
2010/10/08,102.239
2010/10/09,27.768
2010/10/10,-82.456
2010/10/11,-68.418
2010/10/12,-90.448
2010/10/13,-54.136
2010/10/14,-62.924
2010/10/15,-27.736
2010/10/16,1.745
2010/10/17,-22.634
2010/10/18,4.525
2010/10/19,74.042
2010/10/20,97.496
2010/10/21,52.454
2010/10/22,0.83
2010/10/23,-60.835
2010/10/24,-31.26
2010/10/25,-2.464
2010/10/26,28.487
2010/10/27,111.553
2010/10/28,71.184
2010/10/29,78.526
2010/10/30,6.29
2010/10/31,-8.772
2010/11/01,-38.706
2010/11/02,-37.346
2010/11/03,-29.915
2010/11/04,-4.859
2010/11/05,62.451
2010/11/06,2.055
2010/11/07,-11.311
2010/11/08,166.271
2010/11/09,-7.561
2010/11/10,12.435
2010/11/11,-29.044
2010/11/12,-19.005
2010/11/13,36.235
2010/11/14,16.71
2010/11/15,789.879
2010/11/16,363.499
2010/11/17,43.617
2010/11/18,-3.659
2010/11/19,21.402
2010/11/20,33.788
2010/11/21,16.08
2010/11/22,-1.266
2010/11/23,32.265
2010/11/24,47.699
2010/11/25,83.501
2010/11/26,127.135
2010/11/27,110.769
2010/11/28,35.249
2010/11/29,22.616
2010/11/30,32.172
2010/12/01,104.236
2010/12/02,62.4
2010/12/03,95.344
2010/12/04,33.029
2010/12/05,36.008
2010/12/06,82.134
2010/12/07,109.541
2010/12/08,75.681
2010/12/09,54.344
2010/12/10,46.882
2010/12/11,50.492
2010/12/12,66.295
2010/12/13,152.41
