Date,activeaddresses90var
2010/07/17,641764
2010/07/18,643741
2010/07/19,646196
2010/07/20,647823
2010/07/21,647978
2010/07/22,647243
2010/07/23,646839
2010/07/24,648637
2010/07/25,676148
2010/07/26,680493
2010/07/27,680356
2010/07/28,679134
2010/07/29,677689
2010/07/30,676625
2010/07/31,675211
2010/08/01,674220
2010/08/02,673496
2010/08/03,674184
2010/08/04,674128
2010/08/05,673178
2010/08/06,672914
2010/08/07,671645
2010/08/08,670567
2010/08/09,668570
2010/08/10,667158
2010/08/11,665727
2010/08/12,664156
2010/08/13,662165
2010/08/14,659766
2010/08/15,658918
2010/08/16,657785
2010/08/17,656786
2010/08/18,655354
2010/08/19,654578
2010/08/20,653483
2010/08/21,653180
2010/08/22,651998
2010/08/23,650854
2010/08/24,650082
2010/08/25,649483
2010/08/26,648397
2010/08/27,647644
2010/08/28,646058
2010/08/29,645223
2010/08/30,643677
2010/08/31,641658
2010/09/01,640822
2010/09/02,638755
2010/09/03,637082
2010/09/04,635725
2010/09/05,635445
2010/09/06,634399
2010/09/07,634032
2010/09/08,632383
2010/09/09,631416
2010/09/10,629812
2010/09/11,629160
2010/09/12,628225
2010/09/13,626858
2010/09/14,624879
2010/09/15,622752
2010/09/16,620480
2010/09/17,619883
2010/09/18,618168
2010/09/19,616511
2010/09/20,614912
2010/09/21,615502
2010/09/22,614646
2010/09/23,612512
2010/09/24,609430
2010/09/25,607031
2010/09/26,604573
2010/09/27,605366
2010/09/28,612829
2010/09/29,612556
2010/09/30,610687
2010/10/01,608247
2010/10/02,606546
2010/10/03,604570
2010/10/04,600912
2010/10/05,598762
2010/10/06,595858
2010/10/07,593500
2010/10/08,591227
2010/10/09,590534
2010/10/10,509672
2010/10/11,494661
2010/10/12,96960
2010/10/13,79138
2010/10/14,68490
2010/10/15,68624
2010/10/16,68697
2010/10/17,67989
2010/10/18,68181
2010/10/19,73356
2010/10/20,75493
2010/10/21,76188
2010/10/22,76230
2010/10/23,54405
2010/10/24,51587
2010/10/25,51567
2010/10/26,51799
2010/10/27,53142
2010/10/28,53741
2010/10/29,53174
2010/10/30,53094
2010/10/31,53256
2010/11/01,52788
2010/11/02,53587
2010/11/03,53732
2010/11/04,53800
2010/11/05,53452
2010/11/06,53416
2010/11/07,53398
2010/11/08,61046
2010/11/09,61117
2010/11/10,60925
2010/11/11,60980
2010/11/12,61509
2010/11/13,60721
2010/11/14,61015
2010/11/15,207450
2010/11/16,280927
2010/11/17,279853
2010/11/18,279941
2010/11/19,279375
2010/11/20,278818
2010/11/21,278567
2010/11/22,278600
2010/11/23,277758
2010/11/24,277691
2010/11/25,276613
2010/11/26,277129
2010/11/27,274945
2010/11/28,274034
2010/11/29,273953
2010/11/30,273346
2010/12/01,273106
2010/12/02,271761
2010/12/03,269964
2010/12/04,269084
2010/12/05,268035
