Date,confirmationtime
2010/07/17,8.324
2010/07/18,8.372
2010/07/19,8.276
2010/07/20,7.956
2010/07/21,6.957
2010/07/22,8.182
2010/07/23,7.423
2010/07/24,7.619
2010/07/25,6.234
2010/07/26,5.926
2010/07/27,8.675
2010/07/28,9.057
2010/07/29,8
2010/07/30,7.912
2010/07/31,7.094
2010/08/01,6.025
2010/08/02,5.95
2010/08/03,6.344
2010/08/04,5.926
2010/08/05,6.606
2010/08/06,9.796
2010/08/07,9.29
2010/08/08,7.236
2010/08/09,7.579
2010/08/10,7.539
2010/08/11,6.18
2010/08/12,6.636
2010/08/13,6.698
2010/08/14,5.125
2010/08/15,6.957
2010/08/16,9.796
2010/08/17,11.163
2010/08/18,10.827
2010/08/19,10.667
2010/08/20,7.461
2010/08/21,8.324
2010/08/22,6.792
2010/08/23,6.761
2010/08/24,6.698
2010/08/25,6.667
2010/08/26,6.857
2010/08/27,8.421
2010/08/28,8.471
2010/08/29,8.889
2010/08/30,9.664
2010/08/31,7.826
2010/09/01,9.172
2010/09/02,9.231
2010/09/03,8.78
2010/09/04,7.956
2010/09/05,8.727
2010/09/06,9.114
2010/09/07,9
2010/09/08,8.727
2010/09/09,10.667
2010/09/10,8.136
2010/09/11,9
2010/09/12,8.136
2010/09/13,8.421
2010/09/14,7.094
2010/09/15,8.521
2010/09/16,6.575
2010/09/17,6.923
2010/09/18,6.076
2010/09/19,6.89
2010/09/20,7.094
2010/09/21,8.372
2010/09/22,8.276
2010/09/23,6.154
2010/09/24,6.316
2010/09/25,6.957
2010/09/26,7.024
2010/09/27,6.288
2010/09/28,6.792
2010/09/29,8.78
2010/09/30,9.863
2010/10/01,9.351
2010/10/02,14.4
2010/10/03,11.803
2010/10/04,9.412
2010/10/05,11.429
2010/10/06,8.421
2010/10/07,9
2010/10/08,9.351
2010/10/09,9.114
2010/10/10,8.09
2010/10/11,9.057
2010/10/12,9.29
2010/10/13,8.182
2010/10/14,7.024
2010/10/15,8.136
2010/10/16,5.581
2010/10/17,5.333
2010/10/18,5.783
2010/10/19,5.625
2010/10/20,5.455
2010/10/21,7.742
2010/10/22,9.351
2010/10/23,8.229
2010/10/24,7.024
2010/10/25,7.094
2010/10/26,5.975
2010/10/27,6.761
2010/10/28,6.575
2010/10/29,6.457
2010/10/30,5.714
2010/10/31,8.045
2010/11/01,8.136
2010/11/02,8.182
2010/11/03,7.579
2010/11/04,7.164
2010/11/05,6.575
2010/11/06,6.606
2010/11/07,5.975
2010/11/08,5.236
2010/11/09,6.636
2010/11/10,7.094
2010/11/11,6.575
2010/11/12,8.521
2010/11/13,6.457
2010/11/14,5.625
2010/11/15,7.2
2010/11/16,7.31
2010/11/17,5.83
2010/11/18,5.603
2010/11/19,9.6
2010/11/20,12.414
2010/11/21,10.286
2010/11/22,8.834
2010/11/23,10.286
2010/11/24,8.136
2010/11/25,7.956
2010/11/26,7.423
2010/11/27,8
2010/11/28,8.372
2010/11/29,6.89
2010/11/30,7.129
2010/12/01,7.66
2010/12/02,7.66
2010/12/03,7.619
2010/12/04,6.288
2010/12/05,6.025
2010/12/06,5.975
2010/12/07,6.025
2010/12/08,6.05
2010/12/09,6.457
2010/12/10,9.796
2010/12/11,8.229
2010/12/12,8.421
