Date,confirmationtime30roc
2010/07/17,-15.607
2010/07/18,-12.791
2010/07/19,-13.793
2010/07/20,2.21
2010/07/21,-25.604
2010/07/22,-11.364
2010/07/23,-3.608
2010/07/24,-10.582
2010/07/25,-35.065
2010/07/26,-34.568
2010/07/27,7.229
2010/07/28,-4.403
2010/07/29,-6.111
2010/07/30,0
2010/07/31,3.941
2010/08/01,-30.126
2010/08/02,-12.397
2010/08/03,-26.872
2010/08/04,-26.337
2010/08/05,-22.477
2010/08/06,6.122
2010/08/07,-2.581
2010/08/08,0
2010/08/09,4.211
2010/08/10,-6.283
2010/08/11,182.833
2010/08/12,218.894
2010/08/13,168.837
2010/08/14,122.064
2010/08/15,143.961
2010/08/16,17.687
2010/08/17,33.333
2010/08/18,30.827
2010/08/19,34.074
2010/08/20,7.254
2010/08/21,1.734
2010/08/22,-8.491
2010/08/23,-11.268
2010/08/24,7.442
2010/08/25,12.5
2010/08/26,-20.952
2010/08/27,-7.018
2010/08/28,5.882
2010/08/29,12.346
2010/08/30,36.242
2010/08/31,29.891
2010/09/01,54.14
2010/09/02,45.513
2010/09/03,48.171
2010/09/04,20.442
2010/09/05,-10.909
2010/09/06,-1.899
2010/09/07,24.375
2010/09/08,15.152
2010/09/09,41.481
2010/09/10,31.638
2010/09/11,35.625
2010/09/12,21.469
2010/09/13,64.327
2010/09/14,1.97
2010/09/15,-13.018
2010/09/16,-41.096
2010/09/17,-36.058
2010/09/18,-43.038
2010/09/19,-7.656
2010/09/20,-14.778
2010/09/21,23.256
2010/09/22,22.414
2010/09/23,-8.12
2010/09/24,-5.263
2010/09/25,1.449
2010/09/26,-16.585
2010/09/27,-25.764
2010/09/28,-23.585
2010/09/29,-9.146
2010/09/30,26.027
2010/10/01,1.948
2010/10/02,56
2010/10/03,34.426
2010/10/04,18.301
2010/10/05,30.952
2010/10/06,-7.602
2010/10/07,0
2010/10/08,7.143
2010/10/09,-14.557
2010/10/10,-0.562
2010/10/11,0.629
2010/10/12,14.194
2010/10/13,-2.841
2010/10/14,-0.976
2010/10/15,-4.52
2010/10/16,-15.116
2010/10/17,-22.963
2010/10/18,-4.819
2010/10/19,-18.359
2010/10/20,-23.106
2010/10/21,-7.527
2010/10/22,12.987
2010/10/23,33.714
2010/10/24,11.22
2010/10/25,1.97
2010/10/26,-14.938
2010/10/27,7.512
2010/10/28,-3.196
2010/10/29,-26.457
2010/10/30,-42.063
2010/10/31,-13.966
2010/11/01,-43.503
2010/11/02,-30.682
2010/11/03,-19.474
2010/11/04,-37.313
2010/11/05,-21.918
2010/11/06,-26.606
2010/11/07,-36.1
2010/11/08,-42.545
2010/11/09,-17.972
2010/11/10,-21.675
2010/11/11,-29.224
2010/11/12,4.142
2010/11/13,-8.072
2010/11/14,-30.859
2010/11/15,29
2010/11/16,37.056
2010/11/17,0.81
2010/11/18,-0.389
2010/11/19,76
2010/11/20,60.345
