Date,confirmationtime30sma
2010/07/17,7.449
2010/07/18,7.408
2010/07/19,7.364
2010/07/20,7.37
2010/07/21,7.29
2010/07/22,7.255
2010/07/23,7.246
2010/07/24,7.216
2010/07/25,7.104
2010/07/26,6.999
2010/07/27,7.019
2010/07/28,7.005
2010/07/29,6.988
2010/07/30,6.988
2010/07/31,6.997
2010/08/01,6.91
2010/08/02,6.882
2010/08/03,6.804
2010/08/04,6.734
2010/08/05,6.67
2010/08/06,6.689
2010/08/07,6.68
2010/08/08,6.68
2010/08/09,6.691
2010/08/10,6.674
2010/08/11,6.807
2010/08/12,6.959
2010/08/13,7.099
2010/08/14,7.193
2010/08/15,7.33
2010/08/16,7.379
2010/08/17,7.472
2010/08/18,7.557
2010/08/19,7.647
2010/08/20,7.664
2010/08/21,7.669
2010/08/22,7.648
2010/08/23,7.619
2010/08/24,7.635
2010/08/25,7.659
2010/08/26,7.599
2010/08/27,7.577
2010/08/28,7.593
2010/08/29,7.626
2010/08/30,7.711
2010/08/31,7.771
2010/09/01,7.879
2010/09/02,7.975
2010/09/03,8.07
2010/09/04,8.115
2010/09/05,8.08
2010/09/06,8.074
2010/09/07,8.133
2010/09/08,8.171
2010/09/09,8.275
2010/09/10,8.34
2010/09/11,8.419
2010/09/12,8.467
2010/09/13,8.577
2010/09/14,8.581
2010/09/15,8.539
2010/09/16,8.386
2010/09/17,8.256
2010/09/18,8.103
2010/09/19,8.084
2010/09/20,8.043
2010/09/21,8.095
2010/09/22,8.146
2010/09/23,8.128
2010/09/24,8.116
2010/09/25,8.119
2010/09/26,8.073
2010/09/27,8
2010/09/28,7.93
2010/09/29,7.901
2010/09/30,7.969
2010/10/01,7.975
2010/10/02,8.147
2010/10/03,8.248
2010/10/04,8.296
2010/10/05,8.386
2010/10/06,8.363
2010/10/07,8.363
2010/10/08,8.384
2010/10/09,8.332
2010/10/10,8.331
2010/10/11,8.333
2010/10/12,8.371
2010/10/13,8.363
2010/10/14,8.361
2010/10/15,8.348
2010/10/16,8.315
2010/10/17,8.262
2010/10/18,8.252
2010/10/19,8.21
2010/10/20,8.155
2010/10/21,8.134
2010/10/22,8.17
2010/10/23,8.239
2010/10/24,8.263
2010/10/25,8.267
2010/10/26,8.232
2010/10/27,8.248
2010/10/28,8.241
2010/10/29,8.164
2010/10/30,8.025
2010/10/31,7.982
2010/11/01,7.773
2010/11/02,7.652
2010/11/03,7.591
2010/11/04,7.449
2010/11/05,7.387
2010/11/06,7.308
2010/11/07,7.195
2010/11/08,7.066
2010/11/09,7.017
2010/11/10,6.952
2010/11/11,6.861
2010/11/12,6.873
2010/11/13,6.854
2010/11/14,6.77
2010/11/15,6.824
2010/11/16,6.89
2010/11/17,6.892
2010/11/18,6.891
2010/11/19,7.029
2010/11/20,7.185
2010/11/21,7.216
2010/11/22,7.236
2010/11/23,7.345
2010/11/24,7.38
2010/11/25,7.446
2010/11/26,7.468
2010/11/27,7.515
2010/11/28,7.579
2010/11/29,7.618
2010/11/30,7.588
2010/12/01,7.572
2010/12/02,7.554
2010/12/03,7.556
2010/12/04,7.526
2010/12/05,7.508
2010/12/06,7.487
2010/12/07,7.489
2010/12/08,7.516
2010/12/09,7.51
2010/12/10,7.6
2010/12/11,7.655
2010/12/12,7.652
2010/12/13,7.777
2010/12/14,7.87
2010/12/15,7.875
2010/12/16,7.909
2010/12/17,8.004
2010/12/18,8.115
2010/12/19,8.056
2010/12/20,7.944
2010/12/21,7.847
2010/12/22,7.857
