Date,confirmationtime3rsi
2010/07/17,86.115
2010/07/18,86.257
2010/07/19,83.71
2010/07/20,72.964
2010/07/21,45.567
2010/07/22,67.803
2010/07/23,49.146
2010/07/24,54.051
2010/07/25,26.748
2010/07/26,22.893
2010/07/27,73.686
2010/07/28,76.862
2010/07/29,51.209
2010/07/30,49.161
2010/07/31,31.545
2010/08/01,18.537
2010/08/02,17.769
2010/08/03,38.045
2010/08/04,27.314
2010/08/05,56.949
2010/08/06,88.879
2010/08/07,75.558
2010/08/08,39.489
2010/08/09,45.947
2010/08/10,45.111
2010/08/11,23.315
2010/08/12,38.307
2010/08/13,40.664
2010/08/14,16.527
2010/08/15,59.019
2010/08/16,81.231
2010/08/17,86.511
2010/08/18,78.387
2010/08/19,73.445
2010/08/20,25.412
2010/08/21,40.989
2010/08/22,26.341
2010/08/23,26.05
2010/08/24,25.226
2010/08/25,24.649
2010/08/26,37.758
2010/08/27,80.194
2010/08/28,80.815
2010/08/29,86.271
2010/08/30,92.334
2010/08/31,35.924
2010/09/01,61.652
2010/09/02,62.635
2010/09/03,48.386
2010/09/04,29.776
2010/09/05,54.391
2010/09/06,63.903
2010/09/07,58.51
2010/09/08,44.902
2010/09/09,84.171
2010/09/10,35.141
2010/09/11,50.047
2010/09/12,37.217
2010/09/13,44.292
2010/09/14,24.8
2010/09/15,56.015
2010/09/16,30.299
2010/09/17,37.938
2010/09/18,27.089
2010/09/19,48.37
2010/09/20,53.467
2010/09/21,75.885
2010/09/22,71.971
2010/09/23,26.593
2010/09/24,31.535
2010/09/25,51.079
2010/09/26,53.202
2010/09/27,31.186
2010/09/28,51.715
2010/09/29,82.533
2010/09/30,88.518
2010/10/01,71.197
2010/10/02,92.601
2010/10/03,58.86
2010/10/04,39.153
2010/10/05,57.256
2010/10/06,34.377
2010/10/07,41.166
2010/10/08,46.22
2010/10/09,42.521
2010/10/10,27.987
2010/10/11,51.474
2010/10/12,56.607
2010/10/13,32.301
2010/10/14,19.313
2010/10/15,48.902
2010/10/16,21.596
2010/10/17,19.972
2010/10/18,33.564
2010/10/19,30.805
2010/10/20,27.191
2010/10/21,78.341
2010/10/22,87.56
2010/10/23,60.581
2010/10/24,40.495
2010/10/25,42.149
2010/10/26,25.184
2010/10/27,47.46
2010/10/28,42.938
2010/10/29,39.356
2010/10/30,22.007
2010/10/31,74.625
2010/11/01,75.589
2010/11/02,76.276
2010/11/03,49.187
2010/11/04,35.995
2010/11/05,22.91
2010/11/06,25.005
2010/11/07,13.503
2010/11/08,7.466
2010/11/09,59.246
2010/11/10,68.022
2010/11/11,49.804
2010/11/12,79.986
2010/11/13,40.88
2010/11/14,31.546
2010/11/15,58.462
2010/11/16,60.101
2010/11/17,33.419
2010/11/18,30.324
2010/11/19,79.793
2010/11/20,88.452
2010/11/21,59.519
2010/11/22,44.596
2010/11/23,59.738
2010/11/24,37.166
2010/11/25,35.484
2010/11/26,29.539
2010/11/27,44.613
2010/11/28,54.105
2010/11/29,26.732
2010/11/30,34.713
2010/12/01,52.111
2010/12/02,52.111
2010/12/03,49.83
2010/12/04,15.789
2010/12/05,13.129
2010/12/06,12.528
2010/12/07,18.153
2010/12/08,21.964
2010/12/09,63.242
2010/12/10,95.105
2010/12/11,59.056
2010/12/12,61.728
2010/12/13,79.976
2010/12/14,46.628
2010/12/15,33.912
2010/12/16,51.83
2010/12/17,57.973
2010/12/18,63.352
2010/12/19,35.257
2010/12/20,62.623
2010/12/21,33.641
2010/12/22,61.374
2010/12/23,70.201
2010/12/24,64.734
2010/12/25,38.714
2010/12/26,64.112
2010/12/27,40.721
2010/12/28,38.162
2010/12/29,45.105
2010/12/30,38.603
2010/12/31,55.683
2011/01/01,27.063
2011/01/02,40.478
2011/01/03,70.441
2011/01/04,83.011
2011/01/05,53.212
2011/01/06,69.588
2011/01/07,37.169
2011/01/08,32.287
2011/01/09,45.005
2011/01/10,47.234
2011/01/11,29.97
2011/01/12,44.68
2011/01/13,20.21
2011/01/14,36.303
2011/01/15,71.591
2011/01/16,44.403
2011/01/17,36.896
2011/01/18,77.368
2011/01/19,44.949
2011/01/20,34.864
2011/01/21,47.076
2011/01/22,57.242
2011/01/23,49.184
2011/01/24,29.501
2011/01/25,67.406
2011/01/26,41.309
2011/01/27,60.124
2011/01/28,62.195
2011/01/29,55.724
2011/01/30,64.957
2011/01/31,35.506
2011/02/01,49.506
2011/02/02,62.606
2011/02/03,55.258
2011/02/04,16.076
2011/02/05,40.875
2011/02/06,44.472
2011/02/07,21.736
2011/02/08,62.51
2011/02/09,39.903
2011/02/10,46.461
2011/02/11,46.461
2011/02/12,33.165
2011/02/13,30.69
2011/02/14,37.668
2011/02/15,12.87
2011/02/16,10.712
2011/02/17,13.731
2011/02/18,58.005
2011/02/19,89.408
2011/02/20,47.779
2011/02/21,50.858
2011/02/22,37.596
2011/02/23,23.678
2011/02/24,53.371
2011/02/25,40.582
2011/02/26,23.009
2011/02/27,44.04
2011/02/28,82.592
2011/03/01,87.678
2011/03/02,50.292
2011/03/03,41.504
2011/03/04,29.914
