Date,confirmationtime3std
2010/07/17,5.434
2010/07/18,5.182
2010/07/19,0.079
2010/07/20,0.356
2010/07/21,1.124
2010/07/22,1.065
2010/07/23,1.01
2010/07/24,0.643
2010/07/25,1.224
2010/07/26,1.473
2010/07/27,2.459
2010/07/28,2.789
2010/07/29,0.874
2010/07/30,1.04
2010/07/31,0.816
2010/08/01,1.545
2010/08/02,1.044
2010/08/03,0.341
2010/08/04,0.383
2010/08/05,0.56
2010/08/06,3.374
2010/08/07,2.8
2010/08/08,2.214
2010/08/09,1.797
2010/08/10,0.306
2010/08/11,1.3
2010/08/12,1.13
2010/08/13,0.461
2010/08/14,1.455
2010/08/15,1.619
2010/08/16,3.844
2010/08/17,3.504
2010/08/18,1.163
2010/08/19,0.413
2010/08/20,3.101
2010/08/21,2.709
2010/08/22,1.254
2010/08/23,1.459
2010/08/24,0.079
2010/08/25,0.078
2010/08/26,0.167
2010/08/27,1.572
2010/08/28,1.498
2010/08/29,0.42
2010/08/30,0.989
2010/08/31,1.507
2010/09/01,1.554
2010/09/02,1.298
2010/09/03,0.4
2010/09/04,1.056
2010/09/05,0.754
2010/09/06,0.963
2010/09/07,0.324
2010/09/08,0.324
2010/09/09,1.714
2010/09/10,2.162
2010/09/11,2.101
2010/09/12,0.815
2010/09/13,0.719
2010/09/14,1.141
2010/09/15,1.301
2010/09/16,1.645
2010/09/17,1.694
2010/09/18,0.695
2010/09/19,0.784
2010/09/20,0.879
2010/09/21,1.312
2010/09/22,1.163
2010/09/23,2.048
2010/09/24,1.929
2010/09/25,0.693
2010/09/26,0.638
2010/09/27,0.664
2010/09/28,0.615
2010/09/29,2.152
2010/09/30,2.543
2010/10/01,0.884
2010/10/02,4.538
2010/10/03,4.123
2010/10/04,4.074
2010/10/05,2.101
2010/10/06,2.503
2010/10/07,2.606
2010/10/08,0.767
2010/10/09,0.292
2010/10/10,1.094
2010/10/11,0.94
2010/10/12,1.039
2010/10/13,0.954
2010/10/14,1.85
2010/10/15,1.07
2010/10/16,2.091
2010/10/17,2.533
2010/10/18,0.368
2010/10/19,0.373
2010/10/20,0.268
2010/10/21,2.081
2010/10/22,3.197
2010/10/23,1.347
2010/10/24,1.9
2010/10/25,1.104
2010/10/26,1.023
2010/10/27,0.938
2010/10/28,0.671
2010/10/29,0.25
2010/10/30,0.762
2010/10/31,1.944
2010/11/01,2.241
2010/11/02,0.114
2010/11/03,0.548
2010/11/04,0.836
2010/11/05,0.824
2010/11/06,0.542
2010/11/07,0.581
2010/11/08,1.119
2010/11/09,1.143
2010/11/10,1.58
2010/11/11,0.463
2010/11/12,1.645
2010/11/13,1.892
2010/11/14,2.434
2010/11/15,1.287
2010/11/16,1.539
2010/11/17,1.346
2010/11/18,1.513
2010/11/19,3.666
2010/11/20,5.589
2010/11/21,2.396
2010/11/22,2.94
2010/11/23,1.368
2010/11/24,1.791
2010/11/25,2.117
