Date,confirmationtime3trx
2010/07/17,9.004
2010/07/18,20.875
2010/07/19,18.998
2010/07/20,13.08
2010/07/21,6.432
2010/07/22,4.8
2010/07/23,2.525
2010/07/24,1.378
2010/07/25,-1.544
2010/07/26,-3.603
2010/07/27,0.63
2010/07/28,4.19
2010/07/29,3.363
2010/07/30,1.892
2010/07/31,-0.436
2010/08/01,-3.365
2010/08/02,-4.766
2010/08/03,-4.14
2010/08/04,-3.797
2010/08/05,-1.95
2010/08/06,5.598
2010/08/07,7.968
2010/08/08,3.704
2010/08/09,1.17
2010/08/10,-0.098
2010/08/11,-2.76
2010/08/12,-3.279
2010/08/13,-2.792
2010/08/14,-4.839
2010/08/15,-2.433
2010/08/16,5.164
2010/08/17,10.989
2010/08/18,10.721
2010/08/19,8.082
2010/08/20,1.18
2010/08/21,-1.529
2010/08/22,-4.365
2010/08/23,-5.52
2010/08/24,-5.45
2010/08/25,-4.699
2010/08/26,-3.353
2010/08/27,0.549
2010/08/28,2.857
2010/08/29,4.049
2010/08/30,5.147
2010/08/31,2.071
2010/09/01,1.918
2010/09/02,2.004
2010/09/03,1.158
2010/09/04,-0.687
2010/09/05,-0.55
2010/09/06,0.394
2010/09/07,0.752
2010/09/08,0.37
2010/09/09,2.801
2010/09/10,0.408
2010/09/11,-0.19
2010/09/12,-1.444
2010/09/13,-1.602
2010/09/14,-3.238
2010/09/15,-1.852
2010/09/16,-3.402
2010/09/17,-3.719
2010/09/18,-4.67
2010/09/19,-3.412
2010/09/20,-1.664
2010/09/21,1.786
2010/09/22,3.27
2010/09/23,-0.318
2010/09/24,-2.373
2010/09/25,-1.879
2010/09/26,-0.937
2010/09/27,-1.598
2010/09/28,-1.044
2010/09/29,3.18
2010/09/30,7.119
2010/10/01,6.84
2010/10/02,13.131
2010/10/03,10.282
2010/10/04,3.75
2010/10/05,2.375
2010/10/06,-1.603
2010/10/07,-3.072
2010/10/08,-2.758
2010/10/09,-2.326
2010/10/10,-3.138
2010/10/11,-2.097
2010/10/12,-0.726
2010/10/13,-1.421
2010/10/14,-3.497
2010/10/15,-2.802
2010/10/16,-5.524
2010/10/17,-7.367
2010/10/18,-6.841
2010/10/19,-5.748
2010/10/20,-4.767
2010/10/21,0.926
2010/10/22,7.547
2010/10/23,7.206
2010/10/24,3.167
2010/10/25,0.628
2010/10/26,-2.426
2010/10/27,-2.463
2010/10/28,-2.121
2010/10/29,-1.855
2010/10/30,-2.877
2010/10/31,1.154
2010/11/01,3.837
2010/11/02,4.45
2010/11/03,2.826
2010/11/04,0.748
2010/11/05,-1.402
2010/11/06,-2.3
2010/11/07,-3.436
2010/11/08,-5.023
2010/11/09,-2.799
2010/11/10,0.168
2010/11/11,0.724
2010/11/12,4.344
2010/11/13,1.938
2010/11/14,-1.634
2010/11/15,-0.522
2010/11/16,0.911
2010/11/17,-1.177
2010/11/18,-2.959
2010/11/19,4.11
2010/11/20,13.14
2010/11/21,11.025
2010/11/22,5.32
2010/11/23,3.762
2010/11/24,0.046
2010/11/25,-2.281
2010/11/26,-3.804
2010/11/27,-3.283
2010/11/28,-1.792
2010/11/29,-2.885
2010/11/30,-3.124
2010/12/01,-1.934
2010/12/02,-0.883
2010/12/03,-0.325
2010/12/04,-2.256
2010/12/05,-3.768
2010/12/06,-4.206
2010/12/07,-3.742
2010/12/08,-2.893
2010/12/09,-1.259
2010/12/10,6.442
2010/12/11,6.712
2010/12/12,5.376
2010/12/13,6.807
2010/12/14,3.906
2010/12/15,0.015
2010/12/16,-0.577
