Date,confirmationtime3var
2010/07/17,7.381
2010/07/18,6.714
2010/07/19,0.002
2010/07/20,0.032
2010/07/21,0.316
2010/07/22,0.283
2010/07/23,0.255
2010/07/24,0.104
2010/07/25,0.375
2010/07/26,0.542
2010/07/27,1.512
2010/07/28,1.945
2010/07/29,0.191
2010/07/30,0.27
2010/07/31,0.167
2010/08/01,0.597
2010/08/02,0.273
2010/08/03,0.029
2010/08/04,0.037
2010/08/05,0.078
2010/08/06,2.846
2010/08/07,1.96
2010/08/08,1.225
2010/08/09,0.807
2010/08/10,0.023
2010/08/11,0.423
2010/08/12,0.319
2010/08/13,0.053
2010/08/14,0.529
2010/08/15,0.655
2010/08/16,3.693
2010/08/17,3.069
2010/08/18,0.338
2010/08/19,0.043
2010/08/20,2.403
2010/08/21,1.834
2010/08/22,0.393
2010/08/23,0.532
2010/08/24,0.002
2010/08/25,0.002
2010/08/26,0.007
2010/08/27,0.618
2010/08/28,0.561
2010/08/29,0.044
2010/08/30,0.245
2010/08/31,0.568
2010/09/01,0.604
2010/09/02,0.421
2010/09/03,0.04
2010/09/04,0.279
2010/09/05,0.142
2010/09/06,0.232
2010/09/07,0.026
2010/09/08,0.026
2010/09/09,0.735
2010/09/10,1.169
2010/09/11,1.103
2010/09/12,0.166
2010/09/13,0.129
2010/09/14,0.325
2010/09/15,0.423
2010/09/16,0.677
2010/09/17,0.718
2010/09/18,0.121
2010/09/19,0.153
2010/09/20,0.193
2010/09/21,0.43
2010/09/22,0.338
2010/09/23,1.048
2010/09/24,0.93
2010/09/25,0.12
2010/09/26,0.102
2010/09/27,0.11
2010/09/28,0.094
2010/09/29,1.158
2010/09/30,1.617
2010/10/01,0.195
2010/10/02,5.149
2010/10/03,4.25
2010/10/04,4.149
2010/10/05,1.103
2010/10/06,1.566
2010/10/07,1.698
2010/10/08,0.147
2010/10/09,0.021
2010/10/10,0.299
2010/10/11,0.221
2010/10/12,0.27
2010/10/13,0.228
2010/10/14,0.856
2010/10/15,0.286
2010/10/16,1.093
2010/10/17,1.604
2010/10/18,0.034
2010/10/19,0.035
2010/10/20,0.018
2010/10/21,1.083
2010/10/22,2.556
2010/10/23,0.454
2010/10/24,0.902
2010/10/25,0.305
2010/10/26,0.262
2010/10/27,0.22
2010/10/28,0.112
2010/10/29,0.016
2010/10/30,0.145
2010/10/31,0.945
2010/11/01,1.256
2010/11/02,0.003
2010/11/03,0.075
2010/11/04,0.175
2010/11/05,0.17
2010/11/06,0.073
2010/11/07,0.084
2010/11/08,0.313
2010/11/09,0.327
