Date,confirmationtime7ema
2010/07/17,4.934
2010/07/18,5.793
2010/07/19,6.414
2010/07/20,6.799
2010/07/21,6.839
2010/07/22,7.174
2010/07/23,7.237
2010/07/24,7.332
2010/07/25,7.058
2010/07/26,6.775
2010/07/27,7.25
2010/07/28,7.701
2010/07/29,7.776
2010/07/30,7.81
2010/07/31,7.631
2010/08/01,7.229
2010/08/02,6.91
2010/08/03,6.768
2010/08/04,6.558
2010/08/05,6.57
2010/08/06,7.376
2010/08/07,7.855
2010/08/08,7.7
2010/08/09,7.67
2010/08/10,7.637
2010/08/11,7.273
2010/08/12,7.114
2010/08/13,7.01
2010/08/14,6.538
2010/08/15,6.643
2010/08/16,7.431
2010/08/17,8.364
2010/08/18,8.98
2010/08/19,9.402
2010/08/20,8.916
2010/08/21,8.768
2010/08/22,8.274
2010/08/23,7.896
2010/08/24,7.596
2010/08/25,7.364
2010/08/26,7.237
2010/08/27,7.533
2010/08/28,7.768
2010/08/29,8.048
2010/08/30,8.452
2010/08/31,8.296
2010/09/01,8.515
2010/09/02,8.694
2010/09/03,8.715
2010/09/04,8.525
2010/09/05,8.576
2010/09/06,8.71
2010/09/07,8.783
2010/09/08,8.769
2010/09/09,9.243
2010/09/10,8.966
2010/09/11,8.975
2010/09/12,8.765
2010/09/13,8.679
2010/09/14,8.283
2010/09/15,8.342
2010/09/16,7.9
2010/09/17,7.656
2010/09/18,7.261
2010/09/19,7.168
2010/09/20,7.15
2010/09/21,7.455
2010/09/22,7.66
2010/09/23,7.284
2010/09/24,7.042
2010/09/25,7.02
2010/09/26,7.021
2010/09/27,6.838
2010/09/28,6.827
2010/09/29,7.315
2010/09/30,7.952
2010/10/01,8.302
2010/10/02,9.826
2010/10/03,10.321
2010/10/04,10.093
2010/10/05,10.427
2010/10/06,9.926
2010/10/07,9.694
2010/10/08,9.608
2010/10/09,9.485
2010/10/10,9.136
2010/10/11,9.116
2010/10/12,9.16
2010/10/13,8.915
2010/10/14,8.443
2010/10/15,8.366
2010/10/16,7.67
2010/10/17,7.086
2010/10/18,6.76
2010/10/19,6.476
2010/10/20,6.221
2010/10/21,6.601
2010/10/22,7.288
2010/10/23,7.524
2010/10/24,7.399
2010/10/25,7.322
2010/10/26,6.986
2010/10/27,6.929
2010/10/28,6.841
2010/10/29,6.745
2010/10/30,6.487
2010/10/31,6.877
2010/11/01,7.191
2010/11/02,7.439
2010/11/03,7.474
2010/11/04,7.397
2010/11/05,7.191
2010/11/06,7.045
2010/11/07,6.777
2010/11/08,6.392
2010/11/09,6.453
2010/11/10,6.613
2010/11/11,6.604
2010/11/12,7.083
2010/11/13,6.927
2010/11/14,6.601
2010/11/15,6.751
2010/11/16,6.891
2010/11/17,6.625
2010/11/18,6.37
2010/11/19,7.177
2010/11/20,8.486
2010/11/21,8.936
2010/11/22,8.911
2010/11/23,9.255
2010/11/24,8.975
2010/11/25,8.72
2010/11/26,8.396
2010/11/27,8.297
2010/11/28,8.316
2010/11/29,7.959
2010/11/30,7.752
2010/12/01,7.729
2010/12/02,7.711
2010/12/03,7.688
2010/12/04,7.338
2010/12/05,7.01
2010/12/06,6.751
2010/12/07,6.57
2010/12/08,6.44
2010/12/09,6.444
2010/12/10,7.282
2010/12/11,7.519
2010/12/12,7.744
2010/12/13,8.361
2010/12/14,8.376
2010/12/15,8.119
2010/12/16,8.17
2010/12/17,8.296
2010/12/18,8.458
2010/12/19,8.3
2010/12/20,8.489
2010/12/21,8.213
2010/12/22,8.438
2010/12/23,8.812
2010/12/24,9.041
2010/12/25,8.924
2010/12/26,9.175
2010/12/27,9.05
2010/12/28,8.918
2010/12/29,8.87
2010/12/30,8.783
2010/12/31,8.809
2011/01/01,8.596
2011/01/02,8.504
2011/01/03,8.686
2011/01/04,9.068
2011/01/05,9.138
2011/01/06,9.407
2011/01/07,9.25
2011/01/08,9.055
2011/01/09,9
2011/01/10,8.972
2011/01/11,8.822
2011/01/12,8.772
2011/01/13,8.494
2011/01/14,8.36
2011/01/15,8.563
2011/01/16,8.491
2011/01/17,8.357
2011/01/18,8.821
2011/01/19,8.746
2011/01/20,8.495
2011/01/21,8.44
2011/01/22,8.512
2011/01/23,8.502
2011/01/24,8.291
2011/01/25,8.526
2011/01/26,8.395
2011/01/27,8.546
2011/01/28,8.688
2011/01/29,8.752
2011/01/30,8.872
2011/01/31,8.771
2011/02/01,8.774
2011/02/02,8.859
2011/02/03,8.894
2011/02/04,8.526
2011/02/05,8.406
2011/02/06,8.338
2011/02/07,8.027
2011/02/08,8.163
2011/02/09,7.997
2011/02/10,7.934
2011/02/11,7.886
2011/02/12,7.751
2011/02/13,7.631
2011/02/14,7.56
2011/02/15,7.27
2011/02/16,7.004
2011/02/17,6.812
2011/02/18,6.807
2011/02/19,7.341
2011/02/20,7.324
2011/02/21,7.349
2011/02/22,7.218
2011/02/23,6.895
2011/02/24,6.91
2011/02/25,6.783
2011/02/26,6.391
2011/02/27,6.269
2011/02/28,7.102
2011/03/01,8.095
2011/03/02,8.214
2011/03/03,8.096
2011/03/04,7.701
2011/03/05,7.076
2011/03/06,6.621
2011/03/07,6.672
2011/03/08,6.929
2011/03/09,7.447
2011/03/10,8.858
2011/03/11,9.412
2011/03/12,9.631
2011/03/13,10.3
2011/03/14,10.939
2011/03/15,11.419
2011/03/16,11.211
2011/03/17,10.962
2011/03/18,11.221
2011/03/19,11.546
2011/03/20,11.287
2011/03/21,10.898
2011/03/22,11.199
2011/03/23,10.692
2011/03/24,10.387
2011/03/25,9.872
2011/03/26,10.012
2011/03/27,10.027
2011/03/28,9.663
2011/03/29,9.456
2011/03/30,9.4
