Date,confirmationtime90mom
2010/07/17,2.446
2010/07/18,2.165
2010/07/19,1.251
2010/07/20,1.38
2010/07/21,-2.1
2010/07/22,-1.418
2010/07/23,-1.149
2010/07/24,-1.495
2010/07/25,-2.547
2010/07/26,-2.074
2010/07/27,0.675
2010/07/28,-0.739
2010/07/29,-2
2010/07/30,0.043
2010/07/31,-2.197
2010/08/01,-3.031
2010/08/02,-4.638
2010/08/03,-4.167
2010/08/04,-3.739
2010/08/05,-4.304
2010/08/06,0.445
2010/08/07,-0.78
2010/08/08,-4.014
2010/08/09,-5.394
2010/08/10,-3.799
2010/08/11,-5.07
2010/08/12,-5.071
2010/08/13,-9.127
2010/08/14,-7.619
2010/08/15,-3.113
2010/08/16,1.224
2010/08/17,2.382
2010/08/18,3.733
2010/08/19,2.485
2010/08/20,0.077
2010/08/21,1.499
2010/08/22,-0.867
2010/08/23,-0.097
2010/08/24,0.24
2010/08/25,-0.833
2010/08/26,0.4
2010/08/27,0.595
2010/08/28,-1.194
2010/08/29,-1.252
2010/08/30,-1.002
2010/08/31,-1.97
2010/09/01,-0.302
2010/09/02,-2.289
2010/09/03,-1.151
2010/09/04,-1.774
2010/09/05,-0.445
2010/09/06,0.114
2010/09/07,0.429
2010/09/08,-0.273
2010/09/09,2.095
2010/09/10,-2.531
2010/09/11,0.628
2010/09/12,-0.809
2010/09/13,0.595
2010/09/14,-3.047
2010/09/15,-1.342
2010/09/16,-3.025
2010/09/17,-2.677
2010/09/18,-1.708
2010/09/19,-2.461
2010/09/20,-2.137
2010/09/21,0.672
2010/09/22,-0.245
2010/09/23,-3.446
2010/09/24,-2.741
2010/09/25,-1.133
2010/09/26,-2.449
2010/09/27,-2.233
2010/09/28,-1.12
2010/09/29,1.956
2010/09/30,1.24
2010/10/01,2.558
2010/10/02,5.725
2010/10/03,3.759
2010/10/04,0.891
2010/10/05,2.198
2010/10/06,-1.115
2010/10/07,1.764
2010/10/08,2.078
2010/10/09,1.069
2010/10/10,5.905
2010/10/11,6.976
2010/10/12,6.799
2010/10/13,5.874
2010/10/14,4.173
2010/10/15,-0.188
2010/10/16,-2.791
2010/10/17,-2.943
2010/10/18,-2.173
2010/10/19,-1.332
2010/10/20,-2.727
2010/10/21,0.319
2010/10/22,1.732
2010/10/23,1.995
2010/10/24,1.098
2010/10/25,-1.581
2010/10/26,-3.082
2010/10/27,-1.239
2010/10/28,-1.337
2010/10/29,-0.636
2010/10/30,-0.311
2010/10/31,2.094
2010/11/01,1.792
2010/11/02,2.256
2010/11/03,0.973
2010/11/04,-2.632
2010/11/05,-2.715
2010/11/06,-0.631
2010/11/07,-1.604
2010/11/08,-2.303
2010/11/09,0.456
2010/11/10,0.458
2010/11/11,-0.122
2010/11/12,3.396
2010/11/13,-0.499
2010/11/14,-4.171
2010/11/15,-3.963
2010/11/16,-3.517
2010/11/17,-4.837
2010/11/18,-1.858
2010/11/19,1.276
2010/11/20,5.621
2010/11/21,3.525
2010/11/22,2.137
2010/11/23,3.619
2010/11/24,1.278
2010/11/25,-0.465
2010/11/26,-1.048
2010/11/27,-0.889
2010/11/28,-1.292
2010/11/29,-0.936
2010/11/30,-2.043
2010/12/01,-1.571
2010/12/02,-1.121
2010/12/03,-0.337
2010/12/04,-2.439
2010/12/05,-3.089
2010/12/06,-3.025
2010/12/07,-2.702
2010/12/08,-4.616
2010/12/09,-1.678
2010/12/10,0.796
2010/12/11,0.093
2010/12/12,0
2010/12/13,3.119
2010/12/14,-0.1
2010/12/15,0.772
2010/12/16,1.401
2010/12/17,2.599
2010/12/18,2.054
2010/12/19,0.732
2010/12/20,0.685
2010/12/21,-0.891
2010/12/22,2.96
2010/12/23,3.615
2010/12/24,2.773
2010/12/25,1.547
2010/12/26,3.643
2010/12/27,1.882
2010/12/28,-0.26
2010/12/29,-1.136
2010/12/30,-0.83
2010/12/31,-5.511
2011/01/01,-3.847
2011/01/02,-1.183
2011/01/03,-2.198
2011/01/04,1.792
2011/01/05,0.351
2011/01/06,0.862
2011/01/07,-0.333
2011/01/08,0.381
2011/01/09,-0.222
2011/01/10,-0.401
2011/01/11,0.19
2011/01/12,1.598
2011/01/13,-0.476
2011/01/14,2.374
2011/01/15,3.839
2011/01/16,2.493
2011/01/17,2.331
2011/01/18,4.758
2011/01/19,0.779
2011/01/20,-1.609
2011/01/21,0.047
2011/01/22,1.703
2011/01/23,1.377
2011/01/24,1.684
2011/01/25,2.47
2011/01/26,1.425
2011/01/27,2.543
2011/01/28,3.4
2011/01/29,0.899
2011/01/30,1.095
2011/01/31,0.289
2011/02/01,1.202
2011/02/02,1.95
2011/02/03,2.425
2011/02/04,0.817
2011/02/05,2.07
2011/02/06,2.899
2011/02/07,0.458
2011/02/08,1.478
2011/02/09,0.925
2011/02/10,-0.779
2011/02/11,1.285
2011/02/12,1.722
2011/02/13,0.073
2011/02/14,0.037
2011/02/15,0.57
2011/02/16,0.604
2011/02/17,-3.366
2011/02/18,-5.621
2011/02/19,-1.342
2011/02/20,-1.562
2011/02/21,-2.863
2011/02/22,-1.311
2011/02/23,-2.03
2011/02/24,-0.466
2011/02/25,-1.6
2011/02/26,-3.155
2011/02/27,-0.988
2011/02/28,2.471
2011/03/01,3.417
2011/03/02,0.912
2011/03/03,0.123
2011/03/04,0.228
2011/03/05,-0.827
2011/03/06,-0.72
2011/03/07,0.8
2011/03/08,1.65
2011/03/09,2.543
2011/03/10,3.295
2011/03/11,2.848
2011/03/12,1.865
2011/03/13,2.095
2011/03/14,4.436
2011/03/15,5.51
2011/03/16,2.265
2011/03/17,1.538
2011/03/18,3.056
2011/03/19,4.696
2011/03/20,1.454
2011/03/21,2.345
2011/03/22,2.987
2011/03/23,-0.759
2011/03/24,-0.256
2011/03/25,-0.248
2011/03/26,0.504
2011/03/27,1.395
2011/03/28,0.051
2011/03/29,0.107
2011/03/30,0.71
2011/03/31,-1.725
2011/04/01,0.226
2011/04/02,-0.229
2011/04/03,-1.002
2011/04/04,-2.123
2011/04/05,-1.928
2011/04/06,-0.483
2011/04/07,1.015
2011/04/08,0.204
2011/04/09,0.396
2011/04/10,-0.565
2011/04/11,0.462
2011/04/12,0.212
2011/04/13,-0.237
2011/04/14,1.044
2011/04/15,1.416
2011/04/16,0.048
2011/04/17,0.044
2011/04/18,-0.483
2011/04/19,0.83
2011/04/20,2.258
2011/04/21,1.52
2011/04/22,-0.545
2011/04/23,-0.098
2011/04/24,1.229
2011/04/25,-1.731
2011/04/26,-0.615
2011/04/27,-1.131
2011/04/28,-0.333
2011/04/29,-1.744
2011/04/30,-1.612
2011/05/01,-0.426
2011/05/02,-1.471
2011/05/03,-1.767
2011/05/04,-1.69
2011/05/05,-0.847
2011/05/06,-1.439
2011/05/07,-1.407
2011/05/08,-0.518
2011/05/09,-2.546
2011/05/10,0.369
2011/05/11,-0.203
2011/05/12,0.779
2011/05/13,-0.39
2011/05/14,-1.322
2011/05/15,-0.801
2011/05/16,-0.57
2011/05/17,-0.604
2011/05/18,-1.234
2011/05/19,1.629
2011/05/20,-2.399
2011/05/21,-0.727
2011/05/22,-1.708
2011/05/23,-1.79
2011/05/24,-1.11
2011/05/25,-2.266
2011/05/26,-1.535
2011/05/27,3.405
2011/05/28,3.389
2011/05/29,-1.6
2011/05/30,-1.726
2011/05/31,1.029
2011/06/01,-0.082
2011/06/02,1.063
2011/06/03,1.93
2011/06/04,1.173
2011/06/05,0.098
2011/06/06,-1.52
2011/06/07,-0.529
2011/06/08,-5.307
2011/06/09,-4.59
2011/06/10,-3.828
2011/06/11,-6.593
2011/06/12,-6.677
2011/06/13,-6.514
2011/06/14,-4.758
2011/06/15,-5.051
2011/06/16,-4
2011/06/17,-4.78
2011/06/18,-3.201
2011/06/19,-3.272
2011/06/20,-5.947
2011/06/21,-3.48
2011/06/22,-3.935
2011/06/23,-2.324
2011/06/24,-3.768
2011/06/25,0
2011/06/26,1.093
2011/06/27,-0.314
2011/06/28,-0.231
2011/06/29,1.208
2011/06/30,-0.643
2011/07/01,0.324
2011/07/02,0.292
2011/07/03,0.637
2011/07/04,1.048
2011/07/05,0.63
2011/07/06,-0.624
2011/07/07,2.318
2011/07/08,-0.503
2011/07/09,1.341
2011/07/10,1.677
2011/07/11,0.338
2011/07/12,2.79
2011/07/13,-1.461
2011/07/14,-0.588
2011/07/15,0.565
2011/07/16,1.172
2011/07/17,-1.259
2011/07/18,-0.88
2011/07/19,0.141
2011/07/20,-0.131
2011/07/21,1.292
2011/07/22,1.164
2011/07/23,0.974
2011/07/24,1.175
2011/07/25,1.343
2011/07/26,0.313
2011/07/27,-0.505
2011/07/28,2.09
2011/07/29,1.161
2011/07/30,1.429
2011/07/31,0.919
2011/08/01,1.38
2011/08/02,2.041
2011/08/03,2.597
2011/08/04,4.557
2011/08/05,3.557
2011/08/06,5.228
2011/08/07,5.403
2011/08/08,2.719
2011/08/09,2.324
2011/08/10,0.953
2011/08/11,3.554
2011/08/12,5.042
2011/08/13,4.531
2011/08/14,5.079
2011/08/15,5.56
2011/08/16,4.796
2011/08/17,2.167
2011/08/18,3.455
2011/08/19,4.447
2011/08/20,3.759
2011/08/21,3.965
2011/08/22,3.705
2011/08/23,4.6
2011/08/24,5.881
2011/08/25,2.044
2011/08/26,0.506
2011/08/27,3.803
2011/08/28,3.063
2011/08/29,0.835
2011/08/30,2.203
2011/08/31,1.711
2011/09/01,4.034
2011/09/02,2.802
2011/09/03,3.008
2011/09/04,4.566
2011/09/05,0.76
2011/09/06,1.753
2011/09/07,4.102
2011/09/08,4.705
2011/09/09,3.636
2011/09/10,4.647
2011/09/11,5.176
2011/09/12,4.997
2011/09/13,4.98
2011/09/14,1.863
2011/09/15,1.489
2011/09/16,4.791
2011/09/17,4.289
2011/09/18,2.96
2011/09/19,5.647
2011/09/20,4.747
2011/09/21,3.863
2011/09/22,3.063
2011/09/23,0.757
2011/09/24,1.498
2011/09/25,1.99
2011/09/26,1.746
2011/09/27,2.455
2011/09/28,2.257
2011/09/29,3.196
2011/09/30,3.283
2011/10/01,1.343
2011/10/02,3.43
2011/10/03,-0.429
2011/10/04,3.685
2011/10/05,-1.061
2011/10/06,2.523
2011/10/07,0.77
2011/10/08,1.59
2011/10/09,2.167
2011/10/10,1.495
2011/10/11,7.945
2011/10/12,2
2011/10/13,5.956
2011/10/14,1.188
2011/10/15,2.276
2011/10/16,3.63
2011/10/17,2.063
2011/10/18,2.336
2011/10/19,1.353
2011/10/20,2.985
2011/10/21,2.038
2011/10/22,6.019
2011/10/23,4.606
2011/10/24,3.157
2011/10/25,2.887
2011/10/26,3.017
2011/10/27,5.62
2011/10/28,4.241
2011/10/29,4.515
2011/10/30,4.246
2011/10/31,1.642
2011/11/01,0.428
2011/11/02,-1.812
2011/11/03,1.234
2011/11/04,-2.007
2011/11/05,-1.566
2011/11/06,-0.588
2011/11/07,1.046
2011/11/08,0.191
2011/11/09,-1.567
2011/11/10,-0.78
2011/11/11,1.024
2011/11/12,-0.839
2011/11/13,-1.163
2011/11/14,0.274
2011/11/15,-1.861
2011/11/16,0.667
2011/11/17,-0.633
2011/11/18,1.353
2011/11/19,2.707
2011/11/20,1.549
2011/11/21,2.913
2011/11/22,-0.461
2011/11/23,0.08
2011/11/24,2.947
2011/11/25,-1.137
2011/11/26,-0.414
2011/11/27,2.197
2011/11/28,1.476
2011/11/29,1.144
2011/11/30,-2.274
2011/12/01,-1.319
2011/12/02,-0.068
2011/12/03,-1.273
2011/12/04,1.357
2011/12/05,-0.422
2011/12/06,-2.167
2011/12/07,-0.728
2011/12/08,-0.57
2011/12/09,-1.031
2011/12/10,-1.52
2011/12/11,-1.353
2011/12/12,1.198
2011/12/13,1.046
2011/12/14,0.181
2011/12/15,0.756
2011/12/16,1.457
2011/12/17,0.486
2011/12/18,-1.339
2011/12/19,-1.229
2011/12/20,0.883
2011/12/21,-0.065
2011/12/22,-1.097
2011/12/23,-1.022
2011/12/24,-0.58
2011/12/25,-2.47
2011/12/26,-2.691
2011/12/27,0.135
2011/12/28,-2.23
2011/12/29,-1.368
2011/12/30,0.071
2011/12/31,-2.364
2012/01/01,-0.519
2012/01/02,-3.321
2012/01/03,-0.874
2012/01/04,-1.586
2012/01/05,-0.639
2012/01/06,-3.68
2012/01/07,-3.512
2012/01/08,-2.873
2012/01/09,-6.703
2012/01/10,-1.787
2012/01/11,-5.434
2012/01/12,-1.069
2012/01/13,-0.461
2012/01/14,-2.501
2012/01/15,-1.844
2012/01/16,-3.771
2012/01/17,-1.655
2012/01/18,-1.272
2012/01/19,-2.301
2012/01/20,-4.763
2012/01/21,-4.553
2012/01/22,-0.75
2012/01/23,-2.692
2012/01/24,-1.948
2012/01/25,-4.67
2012/01/26,-3.28
2012/01/27,-2.531
2012/01/28,-3.042
2012/01/29,-2.37
2012/01/30,-1.228
2012/01/31,0.249
2012/02/01,-1.307
2012/02/02,-0.739
2012/02/03,-0.749
2012/02/04,-0.828
