Date,difficulty14mom
2010/07/17,162.138
2010/07/18,162.138
2010/07/19,162.138
2010/07/20,158.406
2010/07/21,158.042
2010/07/22,158.042
2010/07/23,158.042
2010/07/24,158.042
2010/07/25,158.042
2010/07/26,158.042
2010/07/27,204.04
2010/07/28,198.827
2010/07/29,198.827
2010/07/30,181.841
2010/07/31,62.67
2010/08/01,62.67
2010/08/02,62.67
2010/08/03,62.67
2010/08/04,62.67
2010/08/05,77.525
2010/08/06,170.618
2010/08/07,170.618
2010/08/08,170.618
2010/08/09,170.618
2010/08/10,112.856
2010/08/11,107.948
2010/08/12,107.948
2010/08/13,107.948
2010/08/14,107.948
2010/08/15,145.731
2010/08/16,267.56
2010/08/17,267.56
2010/08/18,267.56
2010/08/19,252.705
2010/08/20,159.612
2010/08/21,159.612
2010/08/22,159.612
2010/08/23,159.612
2010/08/24,159.612
2010/08/25,159.612
2010/08/26,164.396
2010/08/27,271.226
2010/08/28,271.226
2010/08/29,233.443
2010/08/30,111.613
2010/08/31,111.613
2010/09/01,111.613
2010/09/02,111.613
2010/09/03,111.613
2010/09/04,111.613
2010/09/05,111.613
2010/09/06,111.613
2010/09/07,111.613
2010/09/08,184.839
2010/09/09,196.328
2010/09/10,89.498
2010/09/11,89.498
2010/09/12,89.498
2010/09/13,89.498
2010/09/14,89.498
2010/09/15,89.498
2010/09/16,89.498
2010/09/17,89.498
2010/09/18,89.498
2010/09/19,269.929
2010/09/20,294.444
2010/09/21,294.444
2010/09/22,221.218
2010/09/23,204.946
2010/09/24,204.946
2010/09/25,204.946
2010/09/26,204.946
2010/09/27,204.946
2010/09/28,265.45
2010/09/29,605.785
2010/09/30,605.785
2010/10/01,605.785
2010/10/02,605.785
2010/10/03,425.354
2010/10/04,400.839
2010/10/05,400.839
2010/10/06,400.839
2010/10/07,400.839
2010/10/08,400.839
2010/10/09,400.839
2010/10/10,400.839
2010/10/11,400.839
2010/10/12,384.758
2010/10/13,59.358
2010/10/14,59.358
2010/10/15,59.358
2010/10/16,59.358
2010/10/17,59.358
2010/10/18,59.358
2010/10/19,59.358
2010/10/20,59.358
2010/10/21,643.821
2010/10/22,830.352
2010/10/23,830.352
2010/10/24,830.352
2010/10/25,830.352
2010/10/26,785.929
2010/10/27,770.994
2010/10/28,770.994
2010/10/29,770.994
2010/10/30,808.403
2010/10/31,1714
2010/11/01,1714
2010/11/02,1714
2010/11/03,1714
2010/11/04,1129
2010/11/05,942.715
2010/11/06,942.715
2010/11/07,942.715
2010/11/08,942.715
2010/11/09,1522
2010/11/10,2387
2010/11/11,2387
2010/11/12,2387
2010/11/13,2350
2010/11/14,1445
2010/11/15,1445
2010/11/16,1445
2010/11/17,1445
2010/11/18,1825
2010/11/19,3775
2010/11/20,3775
2010/11/21,3775
2010/11/22,3775
2010/11/23,3196
2010/11/24,2331
2010/11/25,2331
2010/11/26,2331
2010/11/27,2331
2010/11/28,2331
2010/11/29,2331
2010/11/30,2630
2010/12/01,3542
2010/12/02,3161
2010/12/03,1211
2010/12/04,1211
2010/12/05,1211
2010/12/06,1211
2010/12/07,1211
2010/12/08,1211
2010/12/09,1361
2010/12/10,5385
2010/12/11,5385
2010/12/12,5385
2010/12/13,5385
2010/12/14,5085
2010/12/15,4174
2010/12/16,4174
2010/12/17,4174
2010/12/18,4174
2010/12/19,4174
2010/12/20,4174
2010/12/21,4529
2010/12/22,6406
2010/12/23,6256
2010/12/24,2232
2010/12/25,2232
2010/12/26,2232
2010/12/27,2232
2010/12/28,2232
2010/12/29,2232
2010/12/30,2232
2010/12/31,2232
2011/01/01,2232
2011/01/02,2232
2011/01/03,3658
2011/01/04,3701
2011/01/05,1823
2011/01/06,1823
2011/01/07,1823
2011/01/08,1823
2011/01/09,1823
2011/01/10,1823
2011/01/11,1823
2011/01/12,1823
2011/01/13,1823
2011/01/14,1823
2011/01/15,2719
2011/01/16,3953
2011/01/17,2528
2011/01/18,2130
2011/01/19,2130
2011/01/20,2130
2011/01/21,2130
2011/01/22,2130
2011/01/23,2130
2011/01/24,2130
2011/01/25,2130
2011/01/26,2130
2011/01/27,4230
2011/01/28,5705
2011/01/29,4809
2011/01/30,3575
2011/01/31,3575
2011/02/01,3575
2011/02/02,3575
2011/02/03,3575
2011/02/04,3575
2011/02/05,3575
2011/02/06,3575
2011/02/07,3575
2011/02/08,6564
