Date,difficulty14roc
2010/07/17,835.559
2010/07/18,835.559
2010/07/19,835.559
2010/07/20,684.622
2010/07/21,672.483
2010/07/22,672.483
2010/07/23,672.483
2010/07/24,672.483
2010/07/25,672.483
2010/07/26,672.483
2010/07/27,578.576
2010/07/28,438.083
2010/07/29,438.083
2010/07/30,291.544
2010/07/31,34.521
2010/08/01,34.521
2010/08/02,34.521
2010/08/03,34.521
2010/08/04,34.521
2010/08/05,42.703
2010/08/06,93.982
2010/08/07,93.982
2010/08/08,93.982
2010/08/09,93.982
2010/08/10,47.16
2010/08/11,44.202
2010/08/12,44.202
2010/08/13,44.202
2010/08/14,44.202
2010/08/15,59.674
2010/08/16,109.56
2010/08/17,109.56
2010/08/18,109.56
2010/08/19,97.544
2010/08/20,45.324
2010/08/21,45.324
2010/08/22,45.324
2010/08/23,45.324
2010/08/24,45.324
2010/08/25,45.324
2010/08/26,46.682
2010/08/27,77.017
2010/08/28,77.017
2010/08/29,59.866
2010/08/30,21.809
2010/08/31,21.809
2010/09/01,21.809
2010/09/02,21.809
2010/09/03,21.809
2010/09/04,21.809
2010/09/05,21.809
2010/09/06,21.809
2010/09/07,21.809
2010/09/08,36.117
2010/09/09,38.007
2010/09/10,14.357
2010/09/11,14.357
2010/09/12,14.357
2010/09/13,14.357
2010/09/14,14.357
2010/09/15,14.357
2010/09/16,14.357
2010/09/17,14.357
2010/09/18,14.357
2010/09/19,43.3
2010/09/20,47.233
2010/09/21,47.233
2010/09/22,31.756
2010/09/23,28.749
2010/09/24,28.749
2010/09/25,28.749
2010/09/26,28.749
2010/09/27,28.749
2010/09/28,37.236
2010/09/29,84.977
2010/09/30,84.977
2010/10/01,84.977
2010/10/02,84.977
2010/10/03,47.615
2010/10/04,43.672
2010/10/05,43.672
2010/10/06,43.672
2010/10/07,43.672
2010/10/08,43.672
2010/10/09,43.672
2010/10/10,43.672
2010/10/11,43.672
2010/10/12,39.328
2010/10/13,4.501
2010/10/14,4.501
2010/10/15,4.501
2010/10/16,4.501
2010/10/17,4.501
2010/10/18,4.501
2010/10/19,4.501
2010/10/20,4.501
2010/10/21,48.824
2010/10/22,62.969
2010/10/23,62.969
2010/10/24,62.969
2010/10/25,62.969
2010/10/26,57.658
2010/10/27,55.949
2010/10/28,55.949
2010/10/29,55.949
2010/10/30,58.664
2010/10/31,124.359
2010/11/01,124.359
2010/11/02,124.359
2010/11/03,124.359
2010/11/04,57.541
2010/11/05,43.867
2010/11/06,43.867
2010/11/07,43.867
2010/11/08,43.867
2010/11/09,70.818
2010/11/10,111.089
2010/11/11,111.089
2010/11/12,111.089
2010/11/13,107.478
2010/11/14,46.725
2010/11/15,46.725
2010/11/16,46.725
2010/11/17,46.725
2010/11/18,59.044
2010/11/19,122.105
2010/11/20,122.105
2010/11/21,122.105
2010/11/22,122.105
2010/11/23,87.062
2010/11/24,51.375
2010/11/25,51.375
2010/11/26,51.375
2010/11/27,51.375
2010/11/28,51.375
2010/11/29,51.375
2010/11/30,57.984
2010/12/01,78.077
2010/12/02,64.284
2010/12/03,17.64
2010/12/04,17.64
2010/12/05,17.64
2010/12/06,17.64
2010/12/07,17.64
2010/12/08,17.64
2010/12/09,19.82
2010/12/10,78.421
2010/12/11,78.421
2010/12/12,78.421
2010/12/13,78.421
2010/12/14,70.957
2010/12/15,51.668
2010/12/16,51.668
2010/12/17,51.668
2010/12/18,51.668
2010/12/19,51.668
2010/12/20,51.668
2010/12/21,56.06
2010/12/22,79.299
2010/12/23,76.037
2010/12/24,18.219
2010/12/25,18.219
2010/12/26,18.219
2010/12/27,18.219
2010/12/28,18.219
2010/12/29,18.219
2010/12/30,18.219
2010/12/31,18.219
2011/01/01,18.219
2011/01/02,18.219
2011/01/03,29.857
2011/01/04,29.354
2011/01/05,12.588
2011/01/06,12.588
2011/01/07,12.588
2011/01/08,12.588
2011/01/09,12.588
2011/01/10,12.588
2011/01/11,12.588
2011/01/12,12.588
2011/01/13,12.588
