Date,difficulty30ema
2010/07/17,36.488
2010/07/18,45.847
2010/07/19,54.601
2010/07/20,62.791
2010/07/21,70.453
2010/07/22,77.62
2010/07/23,84.325
2010/07/24,90.597
2010/07/25,96.464
2010/07/26,101.953
2010/07/27,110.815
2010/07/28,119.421
2010/07/29,127.472
2010/07/30,135.004
2010/07/31,142.05
2010/08/01,148.641
2010/08/02,154.807
2010/08/03,160.575
2010/08/04,165.971
2010/08/05,171.977
2010/08/06,183.602
2010/08/07,194.477
2010/08/08,204.65
2010/08/09,214.167
2010/08/10,223.07
2010/08/11,231.398
2010/08/12,239.189
2010/08/13,246.478
2010/08/14,253.296
2010/08/15,262.112
2010/08/16,278.219
2010/08/17,293.287
2010/08/18,307.383
2010/08/19,320.57
2010/08/20,332.905
2010/08/21,344.445
2010/08/22,355.241
2010/08/23,365.34
2010/08/24,374.787
2010/08/25,383.625
2010/08/26,392.201
2010/08/27,407.116
2010/08/28,421.069
2010/08/29,434.122
2010/08/30,446.333
2010/08/31,457.755
2010/09/01,468.441
2010/09/02,478.438
2010/09/03,487.789
2010/09/04,496.538
2010/09/05,504.721
2010/09/06,512.377
2010/09/07,519.539
2010/09/08,530.963
2010/09/09,542.7
2010/09/10,553.68
2010/09/11,563.951
2010/09/12,573.56
2010/09/13,582.548
2010/09/14,590.957
2010/09/15,598.824
2010/09/16,606.182
2010/09/17,613.066
2010/09/18,619.506
2010/09/19,637.171
2010/09/20,655.278
2010/09/21,672.217
2010/09/22,688.063
2010/09/23,702.887
2010/09/24,716.754
2010/09/25,729.727
2010/09/26,741.863
2010/09/27,753.216
2010/09/28,767.739
2010/09/29,803.283
2010/09/30,836.534
2010/10/01,867.64
2010/10/02,896.738
2010/10/03,923.96
2010/10/04,949.425
2010/10/05,973.247
2010/10/06,995.533
2010/10/07,1016
2010/10/08,1036
2010/10/09,1054
2010/10/10,1071
2010/10/11,1087
2010/10/12,1105
2010/10/13,1123
2010/10/14,1139
2010/10/15,1154
2010/10/16,1169
2010/10/17,1182
2010/10/18,1195
2010/10/19,1207
2010/10/20,1218
2010/10/21,1266
2010/10/22,1323
2010/10/23,1376
2010/10/24,1426
2010/10/25,1473
2010/10/26,1516
2010/10/27,1557
2010/10/28,1595
2010/10/29,1631
2010/10/30,1667
2010/10/31,1759
2010/11/01,1845
2010/11/02,1925
2010/11/03,2001
2010/11/04,2071
2010/11/05,2137
2010/11/06,2198
2010/11/07,2256
2010/11/08,2310
2010/11/09,2398
2010/11/10,2536
2010/11/11,2665
2010/11/12,2786
2010/11/13,2898
2010/11/14,3004
2010/11/15,3103
2010/11/16,3195
2010/11/17,3282
2010/11/18,3387
2010/11/19,3612
2010/11/20,3822
2010/11/21,4018
2010/11/22,4202
2010/11/23,4374
2010/11/24,4535
2010/11/25,4685
2010/11/26,4826
2010/11/27,4958
2010/11/28,5081
2010/11/29,5196
2010/11/30,5323
2010/12/01,5501
2010/12/02,5667
2010/12/03,5823
2010/12/04,5968
2010/12/05,6104
2010/12/06,6232
2010/12/07,6351
2010/12/08,6462
2010/12/09,6576
2010/12/10,6942
2010/12/11,7285
2010/12/12,7605
2010/12/13,7905
2010/12/14,8186
2010/12/15,8448
2010/12/16,8693
2010/12/17,8923
2010/12/18,9138
2010/12/19,9339
2010/12/20,9527
2010/12/21,9725
2010/12/22,10032
2010/12/23,10320
2010/12/24,10588
2010/12/25,10840
2010/12/26,11075
2010/12/27,11295
2010/12/28,11501
2010/12/29,11693
2010/12/30,11873
2010/12/31,12042
2011/01/01,12199
2011/01/02,12347
2011/01/03,12576
2011/01/04,12817
2011/01/05,13042
2011/01/06,13253
2011/01/07,13450
2011/01/08,13634
2011/01/09,13807
2011/01/10,13968
2011/01/11,14119
2011/01/12,14260
2011/01/13,14392
2011/01/14,14516
2011/01/15,14689
2011/01/16,14931
2011/01/17,15157
2011/01/18,15369
2011/01/19,15567
2011/01/20,15752
