Date,difficulty30std
2010/07/17,60.125
2010/07/18,81.115
2010/07/19,96.461
2010/07/20,108.583
2010/07/21,118.475
2010/07/22,126.66
2010/07/23,133.453
2010/07/24,139.1
2010/07/25,143.761
2010/07/26,147.486
2010/07/27,156.664
2010/07/28,164.621
2010/07/29,170.901
2010/07/30,175.685
2010/07/31,179.092
2010/08/01,181.201
2010/08/02,182.055
2010/08/03,181.673
2010/08/04,180.047
2010/08/05,178.609
2010/08/06,185.617
2010/08/07,189.858
2010/08/08,191.515
2010/08/09,190.656
2010/08/10,187.248
2010/08/11,181.144
2010/08/12,173.877
2010/08/13,165.225
2010/08/14,153.39
2010/08/15,144.813
2010/08/16,167.447
2010/08/17,184.761
2010/08/18,198.156
2010/08/19,208.387
2010/08/20,215.906
2010/08/21,220.989
2010/08/22,223.803
2010/08/23,224.432
2010/08/24,222.896
2010/08/25,219.149
2010/08/26,219.542
2010/08/27,230.17
2010/08/28,237.653
2010/08/29,242.286
2010/08/30,244.228
2010/08/31,243.546
2010/09/01,240.216
2010/09/02,234.126
2010/09/03,225.052
2010/09/04,214.855
2010/09/05,213.128
2010/09/06,209.835
2010/09/07,204.899
2010/09/08,204.462
2010/09/09,203.149
2010/09/10,198.941
2010/09/11,191.647
2010/09/12,180.896
2010/09/13,166.017
2010/09/14,153.577
2010/09/15,154.624
2010/09/16,154.504
2010/09/17,153.216
2010/09/18,150.729
2010/09/19,171.686
2010/09/20,191.24
2010/09/21,205.436
2010/09/22,215.335
2010/09/23,221.516
2010/09/24,224.284
2010/09/25,224.364
2010/09/26,231.623
2010/09/27,237.041
2010/09/28,247.161
2010/09/29,314.63
2010/09/30,364.141
2010/10/01,402.378
2010/10/02,432.343
2010/10/03,455.671
2010/10/04,473.344
2010/10/05,485.979
2010/10/06,493.963
2010/10/07,497.521
2010/10/08,503.104
2010/10/09,506.521
2010/10/10,506.706
2010/10/11,503.663
2010/10/12,500.597
2010/10/13,494.858
2010/10/14,485.014
2010/10/15,470.809
2010/10/16,451.829
2010/10/17,427.442
2010/10/18,396.649
2010/10/19,384.736
2010/10/20,372.5
2010/10/21,438.342
2010/10/22,522.715
2010/10/23,583.819
2010/10/24,628.477
2010/10/25,660.037
2010/10/26,680.323
2010/10/27,690.331
2010/10/28,697.529
2010/10/29,723.828
2010/10/30,748.847
2010/10/31,910.64
2010/11/01,1034
2010/11/02,1132
2010/11/03,1211
2010/11/04,1274
2010/11/05,1324
2010/11/06,1361
2010/11/07,1388
2010/11/08,1404
2010/11/09,1473
2010/11/10,1653
2010/11/11,1793
2010/11/12,1901
2010/11/13,1981
2010/11/14,2036
2010/11/15,2068
2010/11/16,2079
2010/11/17,2068
2010/11/18,2074
2010/11/19,2355
2010/11/20,2610
2010/11/21,2819
2010/11/22,2981
2010/11/23,3102
2010/11/24,3189
2010/11/25,3242
2010/11/26,3264
2010/11/27,3256
2010/11/28,3218
2010/11/29,3152
2010/11/30,3172
2010/12/01,3260
2010/12/02,3312
2010/12/03,3331
2010/12/04,3316
2010/12/05,3268
2010/12/06,3184
2010/12/07,3062
2010/12/08,2897
2010/12/09,2783
2010/12/10,3355
2010/12/11,3773
2010/12/12,4086
2010/12/13,4315
2010/12/14,4473
2010/12/15,4569
2010/12/16,4606
2010/12/17,4585
2010/12/18,4552
2010/12/19,4647
2010/12/20,4713
2010/12/21,4781
2010/12/22,5017
2010/12/23,5192
2010/12/24,5314
2010/12/25,5386
2010/12/26,5408
2010/12/27,5384
2010/12/28,5310
2010/12/29,5186
2010/12/30,5045
2010/12/31,4958
2011/01/01,4831
2011/01/02,4663
2011/01/03,4558
2011/01/04,4428
2011/01/05,4223
2011/01/06,3932
2011/01/07,3534
2011/01/08,3024
2011/01/09,3069
2011/01/10,3091
2011/01/11,3089
2011/01/12,3063
2011/01/13,3012
2011/01/14,2936
2011/01/15,2909
2011/01/16,2996
2011/01/17,3025
2011/01/18,2997
2011/01/19,2911
2011/01/20,2821
2011/01/21,2903
2011/01/22,2960
2011/01/23,2992
2011/01/24,3001
2011/01/25,2986
2011/01/26,2948
2011/01/27,3126
2011/01/28,3485
2011/01/29,3743
2011/01/30,3921
2011/01/31,4029
2011/02/01,4073
2011/02/02,4203
2011/02/03,4321
2011/02/04,4404
2011/02/05,4453
2011/02/06,4469
2011/02/07,4453
2011/02/08,4745
2011/02/09,5099
2011/02/10,5353
2011/02/11,5520
2011/02/12,5609
2011/02/13,5622
2011/02/14,5663
2011/02/15,5759
2011/02/16,5810
2011/02/17,5816
2011/02/18,7019
2011/02/19,8369
2011/02/20,9376
2011/02/21,10144
2011/02/22,10725
2011/02/23,11146
2011/02/24,11427
2011/02/25,11576
2011/02/26,11795
2011/02/27,13135
2011/02/28,16166
2011/03/01,18442
2011/03/02,20220
2011/03/03,21624
2011/03/04,22722
2011/03/05,23558
2011/03/06,24159
2011/03/07,24542
2011/03/08,24717
2011/03/09,25423
2011/03/10,27978
2011/03/11,30009
2011/03/12,31558
2011/03/13,32694
2011/03/14,33459
2011/03/15,33878
2011/03/16,33964
2011/03/17,33718
2011/03/18,33135
2011/03/19,32196
2011/03/20,31832
2011/03/21,31454
2011/03/22,30845
2011/03/23,29990
2011/03/24,28869
2011/03/25,27175
2011/03/26,25163
2011/03/27,22769
2011/03/28,19857
2011/03/29,17976
2011/03/30,17337
2011/03/31,16626
2011/04/01,15832
2011/04/02,14944
2011/04/03,13942
2011/04/04,12801
2011/04/05,11455
2011/04/06,10474
2011/04/07,9047
2011/04/08,8711
2011/04/09,9187
2011/04/10,9622
2011/04/11,10021
2011/04/12,10389
2011/04/13,10729
2011/04/14,11043
2011/04/15,11333
2011/04/16,11602
2011/04/17,11850
2011/04/18,12820
2011/04/19,14061
2011/04/20,15123
2011/04/21,16044
2011/04/22,16846
2011/04/23,17546
2011/04/24,17827
2011/04/25,17925
2011/04/26,17887
2011/04/27,17712
2011/04/28,17396
2011/04/29,16932
2011/04/30,18128
2011/05/01,19217
2011/05/02,19881
2011/05/03,20161
2011/05/04,20075
2011/05/05,19761
2011/05/06,20469
2011/05/07,20995
2011/05/08,21353
2011/05/09,22160
2011/05/10,30894
2011/05/11,36982
2011/05/12,41604
2011/05/13,45210
2011/05/14,48030
2011/05/15,50198
2011/05/16,51794
2011/05/17,52871
2011/05/18,54552
2011/05/19,70063
2011/05/20,81468
2011/05/21,90336
2011/05/22,97362
2011/05/23,102924
2011/05/24,107250
2011/05/25,110486
2011/05/26,116695
2011/05/27,150345
2011/05/28,174775
2011/05/29,193511
2011/05/30,209122
2011/05/31,221637
2011/06/01,231461
2011/06/02,238925
2011/06/03,244246
2011/06/04,247562
2011/06/05,248953
2011/06/06,253136
2011/06/07,264597
2011/06/08,272751
2011/06/09,281231
2011/06/10,286871
2011/06/11,289839
2011/06/12,290215
2011/06/13,288010
2011/06/14,283164
2011/06/15,287994
2011/06/16,317466
2011/06/17,338284
2011/06/18,360032
2011/06/19,375833
2011/06/20,386416
2011/06/21,392205
2011/06/22,393411
2011/06/23,390076
2011/06/24,405419
2011/06/25,471116
2011/06/26,531534
2011/06/27,578948
2011/06/28,616365
2011/06/29,645527
2011/06/30,667516
2011/07/01,683025
2011/07/02,692490
2011/07/03,696158
2011/07/04,694119
2011/07/05,686325
2011/07/06,679911
2011/07/07,690052
2011/07/08,693723
2011/07/09,691027
2011/07/10,681887
2011/07/11,666040
2011/07/12,642989
2011/07/13,611920
2011/07/14,571528
2011/07/15,539898
2011/07/16,525757
2011/07/17,507116
2011/07/18,483455
2011/07/19,455149
2011/07/20,427425
2011/07/21,390300
2011/07/22,340717
2011/07/23,271942
2011/07/24,231411
2011/07/25,234525
2011/07/26,235774
2011/07/27,235187
2011/07/28,232751
2011/07/29,228406
2011/07/30,222041
2011/07/31,213475
2011/08/01,213729
2011/08/02,221873
2011/08/03,224648
2011/08/04,222255
2011/08/05,219065
2011/08/06,229529
2011/08/07,237559
2011/08/08,243397
2011/08/09,247197
2011/08/10,249053
2011/08/11,249009
2011/08/12,247063
2011/08/13,243169
2011/08/14,237233
2011/08/15,229009
2011/08/16,215219
2011/08/17,199173
2011/08/18,183691
2011/08/19,179291
2011/08/20,174444
2011/08/21,169112
2011/08/22,163249
2011/08/23,156794
