Date,difficulty30wma
2010/07/17,37.739
2010/07/18,47.58
2010/07/19,57.068
2010/07/20,66.203
2010/07/21,74.985
2010/07/22,83.414
2010/07/23,91.49
2010/07/24,99.213
2010/07/25,106.585
2010/07/26,113.609
2010/07/27,124.01
2010/07/28,134.255
2010/07/29,144.016
2010/07/30,153.294
2010/07/31,162.088
2010/08/01,170.399
2010/08/02,178.227
2010/08/03,185.571
2010/08/04,192.432
2010/08/05,199.767
2010/08/06,212.602
2010/08/07,224.729
2010/08/08,236.15
2010/08/09,246.863
2010/08/10,256.87
2010/08/11,266.171
2010/08/12,274.764
2010/08/13,282.676
2010/08/14,289.928
2010/08/15,298.958
2010/08/16,315.144
2010/08/17,330.619
2010/08/18,345.385
2010/08/19,359.44
2010/08/20,372.785
2010/08/21,385.419
2010/08/22,397.344
2010/08/23,408.558
2010/08/24,419.062
2010/08/25,428.856
2010/08/26,438.249
2010/08/27,453.937
2010/08/28,468.811
2010/08/29,482.868
2010/08/30,496.11
2010/08/31,508.537
2010/09/01,520.148
2010/09/02,530.944
2010/09/03,540.925
2010/09/04,550.09
2010/09/05,558.472
2010/09/06,566.27
2010/09/07,573.485
2010/09/08,584.841
2010/09/09,596.506
2010/09/10,607.395
2010/09/11,617.509
2010/09/12,626.847
2010/09/13,635.409
2010/09/14,643.195
2010/09/15,650.287
2010/09/16,656.946
2010/09/17,663.173
2010/09/18,668.967
2010/09/19,685.97
2010/09/20,703.733
2010/09/21,720.624
2010/09/22,736.641
2010/09/23,751.785
2010/09/24,766.055
2010/09/25,779.453
2010/09/26,791.987
2010/09/27,803.888
2010/09/28,819.06
2010/09/29,855.425
2010/09/30,890.295
2010/10/01,923.67
2010/10/02,955.55
2010/10/03,985.934
2010/10/04,1015
2010/10/05,1042
2010/10/06,1068
2010/10/07,1093
2010/10/08,1115
2010/10/09,1137
2010/10/10,1157
2010/10/11,1176
2010/10/12,1197
2010/10/13,1217
2010/10/14,1236
2010/10/15,1253
2010/10/16,1269
2010/10/17,1283
2010/10/18,1296
2010/10/19,1307
2010/10/20,1318
2010/10/21,1365
2010/10/22,1422
2010/10/23,1476
2010/10/24,1528
2010/10/25,1577
2010/10/26,1623
2010/10/27,1667
2010/10/28,1708
2010/10/29,1747
2010/10/30,1786
2010/10/31,1882
2010/11/01,1974
2010/11/02,2062
2010/11/03,2146
2010/11/04,2227
2010/11/05,2303
2010/11/06,2376
2010/11/07,2445
2010/11/08,2510
2010/11/09,2609
2010/11/10,2759
2010/11/11,2901
2010/11/12,3037
2010/11/13,3166
2010/11/14,3288
2010/11/15,3404
2010/11/16,3513
2010/11/17,3614
2010/11/18,3734
2010/11/19,3972
2010/11/20,4198
2010/11/21,4413
2010/11/22,4619
2010/11/23,4814
2010/11/24,4999
2010/11/25,5174
2010/11/26,5338
2010/11/27,5493
2010/11/28,5637
2010/11/29,5772
2010/11/30,5915
2010/12/01,6109
2010/12/02,6292
2010/12/03,6464
2010/12/04,6625
2010/12/05,6776
2010/12/06,6916
2010/12/07,7045
2010/12/08,7164
2010/12/09,7281
2010/12/10,7649
2010/12/11,8000
2010/12/12,8334
2010/12/13,8651
