Date,difficulty3rsi
2010/07/17,100
2010/07/18,100
2010/07/19,100
2010/07/20,100
2010/07/21,100
2010/07/22,100
2010/07/23,100
2010/07/24,100
2010/07/25,100
2010/07/26,100
2010/07/27,100
2010/07/28,100
2010/07/29,100
2010/07/30,100
2010/07/31,100
2010/08/01,100
2010/08/02,100
2010/08/03,100
2010/08/04,100
2010/08/05,100
2010/08/06,100
2010/08/07,100
2010/08/08,100
2010/08/09,100
2010/08/10,100
2010/08/11,100
2010/08/12,100
2010/08/13,100
2010/08/14,100
2010/08/15,100
2010/08/16,100
2010/08/17,100
2010/08/18,100
2010/08/19,100
2010/08/20,100
2010/08/21,100
2010/08/22,100
2010/08/23,100
2010/08/24,100
2010/08/25,100
2010/08/26,100
2010/08/27,100
2010/08/28,100
2010/08/29,100
2010/08/30,100
2010/08/31,100
2010/09/01,100
2010/09/02,100
2010/09/03,100
2010/09/04,100
2010/09/05,100
2010/09/06,100
2010/09/07,100
2010/09/08,100
2010/09/09,100
2010/09/10,100
2010/09/11,100
2010/09/12,100
2010/09/13,100
2010/09/14,100
2010/09/15,100
2010/09/16,100
2010/09/17,100
2010/09/18,100
2010/09/19,100
2010/09/20,100
2010/09/21,100
2010/09/22,100
2010/09/23,100
2010/09/24,100
2010/09/25,100
2010/09/26,100
2010/09/27,100
2010/09/28,100
2010/09/29,100
2010/09/30,100
2010/10/01,100
2010/10/02,100
2010/10/03,100
2010/10/04,100
2010/10/05,100
2010/10/06,100
2010/10/07,100
2010/10/08,100
2010/10/09,100
2010/10/10,100
2010/10/11,100
2010/10/12,100
2010/10/13,100
2010/10/14,100
2010/10/15,100
2010/10/16,100
2010/10/17,100
2010/10/18,100
2010/10/19,100
2010/10/20,100
2010/10/21,100
2010/10/22,100
2010/10/23,100
2010/10/24,100
2010/10/25,100
2010/10/26,100
2010/10/27,100
2010/10/28,100
2010/10/29,100
2010/10/30,100
2010/10/31,100
2010/11/01,100
2010/11/02,100
2010/11/03,100
2010/11/04,100
2010/11/05,100
2010/11/06,100
2010/11/07,100
2010/11/08,100
2010/11/09,100
2010/11/10,100
2010/11/11,100
2010/11/12,100
2010/11/13,100
2010/11/14,100
2010/11/15,100
2010/11/16,100
2010/11/17,100
2010/11/18,100
2010/11/19,100
2010/11/20,100
2010/11/21,100
2010/11/22,100
2010/11/23,100
2010/11/24,100
2010/11/25,100
2010/11/26,100
2010/11/27,100
2010/11/28,100
2010/11/29,100
2010/11/30,100
2010/12/01,100
2010/12/02,100
2010/12/03,100
2010/12/04,100
2010/12/05,100
2010/12/06,100
2010/12/07,100
2010/12/08,100
2010/12/09,100
2010/12/10,100
2010/12/11,100
2010/12/12,100
2010/12/13,100
2010/12/14,100
2010/12/15,100
2010/12/16,100
2010/12/17,100
2010/12/18,100
2010/12/19,100
2010/12/20,100
2010/12/21,100
2010/12/22,100
2010/12/23,100
2010/12/24,100
2010/12/25,100
2010/12/26,100
2010/12/27,100
2010/12/28,100
2010/12/29,100
2010/12/30,100
2010/12/31,100
2011/01/01,100
2011/01/02,100
2011/01/03,100
2011/01/04,100
2011/01/05,100
2011/01/06,100
2011/01/07,100
2011/01/08,100
2011/01/09,100
2011/01/10,100
2011/01/11,100
2011/01/12,100
2011/01/13,100
2011/01/14,100
2011/01/15,100
2011/01/16,100
