Date,difficulty90sma
2010/07/17,18.625
2010/07/18,20.555
2010/07/19,22.486
2010/07/20,24.414
2010/07/21,26.304
2010/07/22,28.194
2010/07/23,30.083
2010/07/24,31.973
2010/07/25,33.863
2010/07/26,35.753
2010/07/27,38.284
2010/07/28,40.87
2010/07/29,43.456
2010/07/30,46.043
2010/07/31,48.629
2010/08/01,51.215
2010/08/02,53.792
2010/08/03,56.363
2010/08/04,58.934
2010/08/05,61.669
2010/08/06,65.439
2010/08/07,69.21
2010/08/08,72.98
2010/08/09,76.75
2010/08/10,80.52
2010/08/11,84.29
2010/08/12,88.06
2010/08/13,91.83
2010/08/14,95.6
2010/08/15,99.79
2010/08/16,105.334
2010/08/17,110.883
2010/08/18,116.437
2010/08/19,121.992
2010/08/20,127.547
2010/08/21,133.102
2010/08/22,138.656
2010/08/23,144.211
2010/08/24,149.766
2010/08/25,155.321
2010/08/26,160.928
2010/08/27,167.706
2010/08/28,174.448
2010/08/29,181.189
2010/08/30,187.931
2010/08/31,194.673
2010/09/01,201.415
2010/09/02,208.157
2010/09/03,214.899
2010/09/04,221.641
2010/09/05,228.383
2010/09/06,235.124
2010/09/07,241.866
2010/09/08,249.422
2010/09/09,257.158
2010/09/10,264.886
2010/09/11,272.614
2010/09/12,280.341
2010/09/13,288.069
2010/09/14,295.797
2010/09/15,303.525
2010/09/16,311.253
2010/09/17,318.98
2010/09/18,326.708
2010/09/19,336.441
2010/09/20,346.446
2010/09/21,356.451
2010/09/22,366.446
2010/09/23,376.428
2010/09/24,386.411
2010/09/25,396.393
2010/09/26,406.376
2010/09/27,416.358
2010/09/28,427.013
2010/09/29,441.449
2010/09/30,455.886
2010/10/01,470.322
2010/10/02,484.758
2010/10/03,499.195
2010/10/04,513.589
2010/10/05,527.98
2010/10/06,542.371
2010/10/07,556.762
2010/10/08,571.152
2010/10/09,585.543
2010/10/10,599.934
2010/10/11,614.194
2010/10/12,628.835
2010/10/13,643.642
2010/10/14,658.261
2010/10/15,671.555
2010/10/16,684.849
2010/10/17,698.144
2010/10/18,711.438
2010/10/19,724.732
2010/10/20,738.026
2010/10/21,757.815
2010/10/22,779.676
2010/10/23,801.536
2010/10/24,823.397
2010/10/25,844.616
2010/10/26,865.781
2010/10/27,886.945
2010/10/28,908.11
2010/10/29,929.274
2010/10/30,950.855
2010/10/31,982.494
2010/11/01,1014
2010/11/02,1046
2010/11/03,1077
2010/11/04,1108
2010/11/05,1138
2010/11/06,1169
2010/11/07,1199
2010/11/08,1229
2010/11/09,1266
2010/11/10,1313
2010/11/11,1359
2010/11/12,1406
2010/11/13,1452
2010/11/14,1497
2010/11/15,1541
2010/11/16,1586
2010/11/17,1631
2010/11/18,1680
2010/11/19,1750
2010/11/20,1821
2010/11/21,1892
2010/11/22,1962
2010/11/23,2033
2010/11/24,2103
2010/11/25,2173
2010/11/26,2242
2010/11/27,2311
2010/11/28,2381
2010/11/29,2450
2010/11/30,2523
2010/12/01,2606
2010/12/02,2689
2010/12/03,2771
2010/12/04,2854
