Date,difficulty90var
2010/07/17,359.499
2010/07/18,649.391
2010/07/19,931.831
2010/07/20,1207
2010/07/21,1476
2010/07/22,1738
2010/07/23,1992
2010/07/24,2240
2010/07/25,2480
2010/07/26,2713
2010/07/27,3161
2010/07/28,3617
2010/07/29,4060
2010/07/30,4490
2010/07/31,4906
2010/08/01,5309
2010/08/02,5700
2010/08/03,6077
2010/08/04,6442
2010/08/05,6856
2010/08/06,7753
2010/08/07,8621
2010/08/08,9461
2010/08/09,10273
2010/08/10,11056
2010/08/11,11811
2010/08/12,12537
2010/08/13,13235
2010/08/14,13905
2010/08/15,14774
2010/08/16,16545
2010/08/17,18254
2010/08/18,19899
2010/08/19,21484
2010/08/20,23006
2010/08/21,24467
2010/08/22,25866
2010/08/23,27203
2010/08/24,28479
2010/08/25,29693
2010/08/26,30882
2010/08/27,32971
2010/08/28,34979
2010/08/29,36896
2010/08/30,38723
2010/08/31,40458
2010/09/01,42102
2010/09/02,43656
2010/09/03,45119
2010/09/04,46490
2010/09/05,47771
2010/09/06,48961
2010/09/07,50060
2010/09/08,51737
2010/09/09,53462
2010/09/10,55071
2010/09/11,56560
2010/09/12,57931
2010/09/13,59181
2010/09/14,60313
2010/09/15,61325
2010/09/16,62217
2010/09/17,62990
2010/09/18,63644
2010/09/19,66053
2010/09/20,68578
2010/09/21,70902
2010/09/22,73033
2010/09/23,74973
2010/09/24,76714
2010/09/25,78256
2010/09/26,79598
2010/09/27,80741
2010/09/28,82386
2010/09/29,89165
2010/09/30,95528
2010/10/01,101474
2010/10/02,107003
2010/10/03,112115
2010/10/04,116851
2010/10/05,121177
2010/10/06,125089
2010/10/07,128586
2010/10/08,131670
2010/10/09,134339
2010/10/10,136594
2010/10/11,138587
2010/10/12,141010
2010/10/13,143245
2010/10/14,145269
2010/10/15,148324
2010/10/16,151025
2010/10/17,153372
2010/10/18,155366
2010/10/19,157007
2010/10/20,158294
2010/10/21,171121
2010/10/22,188458
2010/10/23,204839
2010/10/24,220265
2010/10/25,235549
2010/10/26,250001
2010/10/27,263557
2010/10/28,276218
2010/10/29,287982
2010/10/30,299862
2010/10/31,344239
2010/11/01,386614
2010/11/02,426987
2010/11/03,465631
2010/11/04,503953
2010/11/05,540423
2010/11/06,575039
2010/11/07,607802
2010/11/08,638712
2010/11/09,695032
2010/11/10,802398
2010/11/11,905440
2010/11/12,1004160
2010/11/13,1099465
2010/11/14,1193358
2010/11/15,1283251
2010/11/16,1369145
2010/11/17,1451040
2010/11/18,1554743
2010/11/19,1833570
2010/11/20,2102425
2010/11/21,2361307
2010/11/22,2610217
2010/11/23,2849155
2010/11/24,3078290
2010/11/25,3301274
2010/11/26,3514632
2010/11/27,3718366
2010/11/28,3912474
2010/11/29,4096958
2010/11/30,4301770
2010/12/01,4597726
2010/12/02,4879961
2010/12/03,5148473
2010/12/04,5403264
2010/12/05,5644332
2010/12/06,5871679
2010/12/07,6089278
2010/12/08,6294319
2010/12/09,6502226
2010/12/10,7310252
2010/12/11,8085401
2010/12/12,8827673
2010/12/13,9537069
2010/12/14,10213587
2010/12/15,10857229
2010/12/16,11467994
2010/12/17,12045882
2010/12/18,12605396
2010/12/19,13135036
2010/12/20,13632957
2010/12/21,14159330
2010/12/22,15010922
2010/12/23,15817070
2010/12/24,16577775
2010/12/25,17293037
2010/12/26,17962856
2010/12/27,18593627
2010/12/28,19214937
2010/12/29,19793450
2010/12/30,20329166
2010/12/31,20822084
2011/01/01,21272204
2011/01/02,21679527
2011/01/03,22312136
2011/01/04,22973417
2011/01/05,23579225
2011/01/06,24129561
2011/01/07,24624425
2011/01/08,25063816
2011/01/09,25447736
2011/01/10,25782667
2011/01/11,26064681
2011/01/12,26291660
2011/01/13,26463606
2011/01/14,26580518
2011/01/15,26801817
2011/01/16,27205166
2011/01/17,27536656
2011/01/18,27796286
2011/01/19,28085803
2011/01/20,28339915
2011/01/21,28528516
2011/01/22,28651607
2011/01/23,28709186
2011/01/24,28701254
2011/01/25,28627812
2011/01/26,28488858
2011/01/27,28682368
2011/01/28,29130538
2011/01/29,29658057
2011/01/30,30097185
2011/01/31,30447919
2011/02/01,30710260
2011/02/02,30884209
2011/02/03,30969765
2011/02/04,30966928
2011/02/05,30875698
2011/02/06,30696076
2011/02/07,30555609
2011/02/08,31177323
2011/02/09,31955814
2011/02/10,32620578
2011/02/11,33171614
2011/02/12,33608922
2011/02/13,33932503
2011/02/14,34142356
2011/02/15,34238482
2011/02/16,34311393
2011/02/17,34697024
