Date,fee_to_rewardUSD
2010/07/17,0.001
2010/07/18,0.0163
2010/07/19,0.00154
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0.000195
2010/07/24,0
2010/07/25,0.0287
2010/07/26,0.0259
2010/07/27,0.0132
2010/07/28,0.0144
2010/07/29,0.0109
2010/07/30,0.00724
2010/07/31,0.00948
2010/08/01,0.00755
2010/08/02,0.00443
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0.0689
2010/08/08,0
2010/08/09,0.0823
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,0
2010/08/16,0.0135
2010/08/17,0
2010/08/18,0.0362
2010/08/19,0
2010/08/20,0
2010/08/21,0
2010/08/22,0
2010/08/23,0
2010/08/24,0.0172
2010/08/25,0
2010/08/26,0
2010/08/27,0
2010/08/28,2.6E-8
2010/08/29,0.00753
2010/08/30,0.00883
2010/08/31,0.00373
2010/09/01,0.00174
2010/09/02,0
2010/09/03,0
2010/09/04,0
2010/09/05,0.000258
2010/09/06,2.93E-9
2010/09/07,0
2010/09/08,4.72E-9
2010/09/09,0.00279
2010/09/10,2.22E-9
2010/09/11,0
2010/09/12,0.00318
2010/09/13,1.92E-9
2010/09/14,0.000182
2010/09/15,0
2010/09/16,0
2010/09/17,0
2010/09/18,0.00374
2010/09/19,0
2010/09/20,0
2010/09/21,1.48E-9
2010/09/22,0
2010/09/23,0
2010/09/24,0
2010/09/25,0
2010/09/26,0
2010/09/27,0.000282
2010/09/28,0.0239
2010/09/29,0
2010/09/30,0
2010/10/01,0.00988
2010/10/02,0.000194
2010/10/03,0.000188
2010/10/04,2.07E-8
2010/10/05,0
2010/10/06,2.2E-8
2010/10/07,0
2010/10/08,0
2010/10/09,0
2010/10/10,0
2010/10/11,2.56E-8
2010/10/12,0
2010/10/13,0.0077
2010/10/14,0
2010/10/15,0
2010/10/16,0
2010/10/17,0
2010/10/18,0.000282
2010/10/19,0
2010/10/20,0
2010/10/21,0.000126
2010/10/22,0
2010/10/23,0.000864
2010/10/24,0
2010/10/25,0
2010/10/26,0
2010/10/27,0
2010/10/28,0
2010/10/29,0
2010/10/30,0
2010/10/31,0
2010/11/01,0
2010/11/02,0
2010/11/03,0
2010/11/04,0
2010/11/05,0
2010/11/06,0
2010/11/07,0
2010/11/08,0.013
2010/11/09,0
2010/11/10,0
2010/11/11,0
2010/11/12,0
2010/11/13,0
2010/11/14,0
2010/11/15,0.00501
2010/11/16,0
2010/11/17,0
2010/11/18,0
2010/11/19,0.00108
2010/11/20,0.0174
2010/11/21,0.0151
2010/11/22,0.0131
2010/11/23,0.0116
2010/11/24,0.00225
2010/11/25,0
2010/11/26,0.00447
2010/11/27,0.000373
2010/11/28,0
2010/11/29,0.000532
2010/11/30,0.000178
2010/12/01,0.000672
2010/12/02,0.00108
2010/12/03,0.000208
2010/12/04,0.000211
2010/12/05,0.000559
2010/12/06,0.000778
2010/12/07,0.00118
2010/12/08,0.000617
2010/12/09,0.000618
2010/12/10,0.00157
2010/12/11,0.00197
2010/12/12,0.00237
2010/12/13,0.00565
2010/12/14,0.000775
2010/12/15,0.00099
2010/12/16,0.00178
2010/12/17,0.00441
2010/12/18,0.00122
2010/12/19,0.00189
2010/12/20,0.00102
2010/12/21,0.00164
2010/12/22,0.00295
2010/12/23,0.00115
2010/12/24,0.00147
2010/12/25,0.00109
2010/12/26,0.00175
2010/12/27,0.00135
2010/12/28,0.00164
2010/12/29,0.00243
2010/12/30,0.00153
2010/12/31,0.000407
2011/01/01,0.00136
2011/01/02,0.00145
2011/01/03,0.0108
2011/01/04,0.000519
2011/01/05,0.00137
2011/01/06,0.00148
2011/01/07,0.000778
2011/01/08,0.000236
2011/01/09,0.00198
2011/01/10,0.00097
2011/01/11,0.000553
2011/01/12,0.00406
2011/01/13,0.000312
2011/01/14,0.000838
2011/01/15,0.0016
2011/01/16,0.00122
