Date,hashrate14ema
2010/07/17,1053882206
2010/07/18,1120626088
2010/07/19,1178047608
2010/07/20,1239698632
2010/07/21,1304204522
2010/07/22,1357708084
2010/07/23,1405497550
2010/07/24,1440106706
2010/07/25,1502432211
2010/07/26,1598595422
2010/07/27,1709015266
2010/07/28,1741183763
2010/07/29,1788381720
2010/07/30,1841833921
2010/07/31,1898295025
2010/08/01,2001404032
2010/08/02,2132260399
2010/08/03,2235279534
2010/08/04,2302822451
2010/08/05,2414702398
2010/08/06,2519282581
2010/08/07,2531121802
2010/08/08,2610722231
2010/08/09,2722839670
2010/08/10,2802924892
2010/08/11,2930328803
2010/08/12,3057228549
2010/08/13,3172059861
2010/08/14,3308876824
2010/08/15,3640080505
2010/08/16,3651168516
2010/08/17,3637241494
2010/08/18,3595763120
2010/08/19,3577060655
2010/08/20,3649952207
2010/08/21,3783672537
2010/08/22,3942004774
2010/08/23,4137802937
2010/08/24,4309751133
2010/08/25,4487294280
2010/08/26,4615999372
2010/08/27,4779150962
2010/08/28,4880213219
2010/08/29,4901501396
2010/08/30,4875527320
2010/08/31,4932766478
2010/09/01,4988388913
2010/09/02,4971297711
2010/09/03,4968688296
2010/09/04,5021780675
2010/09/05,5065685755
2010/09/06,5069647124
2010/09/07,5031230034
2010/09/08,5093371755
2010/09/09,5138076270
2010/09/10,5206717839
2010/09/11,5307776240
2010/09/12,5418946738
2010/09/13,5527531875
2010/09/14,5666002171
2010/09/15,5770481370
2010/09/16,5918522616
2010/09/17,6165061464
2010/09/18,6399586864
2010/09/19,6871381944
2010/09/20,7219772760
2010/09/21,7408762748
2010/09/22,7464215900
2010/09/23,7685651016
2010/09/24,8090455519
2010/09/25,8358119099
2010/09/26,8472541827
2010/09/27,8690745301
2010/09/28,8970946144
2010/09/29,9452356219
2010/09/30,9476299629
2010/10/01,9593558790
2010/10/02,9414106435
2010/10/03,9126374298
2010/10/04,9126992281
2010/10/05,9103201064
2010/10/06,9177339194
2010/10/07,9426326372
2010/10/08,9575297076
2010/10/09,9662804264
2010/10/10,9835674393
2010/10/11,10003646844
2010/10/12,10121332528
2010/10/13,10290479352
2010/10/14,10628895460
2010/10/15,10975861623
2010/10/16,11482107705
2010/10/17,12508726542
2010/10/18,13223658944
2010/10/19,13636792505
2010/10/20,14142721459
2010/10/21,15397950937
2010/10/22,15661228055
2010/10/23,15998747098
2010/10/24,16428913639
2010/10/25,17231236472
2010/10/26,18166447620
2010/10/27,19034095698
2010/10/28,19514264824
2010/10/29,20180174593
2010/10/30,20913392384
2010/10/31,22548506763
2010/11/01,23152715699
2010/11/02,23688637959
2010/11/03,24397369509
2010/11/04,25129908403
2010/11/05,26093338623
2010/11/06,26918153940
2010/11/07,28242741671
2010/11/08,29679069845
2010/11/09,31997925826
2010/11/10,33541361921
2010/11/11,35849404011
2010/11/12,36782012587
2010/11/13,37728531906
2010/11/14,39989324992
2010/11/15,41339310654
2010/11/16,41607078815
2010/11/17,43004695066
2010/11/18,45756763214
2010/11/19,48830710915
2010/11/20,47960549252
2010/11/21,47686185930
2010/11/22,48305177121
2010/11/23,48715766702
2010/11/24,49735346999
2010/11/25,50363504722
2010/11/26,52638473028
2010/11/27,54399940602
2010/11/28,54822543727
2010/11/29,56315126811
2010/11/30,59063713435
2010/12/01,60908527380
2010/12/02,63241650692
2010/12/03,65012769729
2010/12/04,67776697776
2010/12/05,71165583400
2010/12/06,74593741144
2010/12/07,76986250125
2010/12/08,79585765292
2010/12/09,82548624999
2010/12/10,85429807284
2010/12/11,87246945741
2010/12/12,89951437798
2010/12/13,91025047306
2010/12/14,91498879601
2010/12/15,93934512448
2010/12/16,96543436872
2010/12/17,97923883849
2010/12/18,97961384462
2010/12/19,98669654622
2010/12/20,99982786519
2010/12/21,101594431673
2010/12/22,105198648079
2010/12/23,105077535822
2010/12/24,105336947905
2010/12/25,106381455699
2010/12/26,106671218820
2010/12/27,107390683503
2010/12/28,109802937987
2010/12/29,111378859085
2010/12/30,112162646707
2010/12/31,113199308582
2011/01/01,114770464013
2011/01/02,116675749988
2011/01/03,119275272888
2011/01/04,119108107412
2011/01/05,119156307951
2011/01/06,120159782860
2011/01/07,119945268715
2011/01/08,123034872389
2011/01/09,123543168172
2011/01/10,125581938166
2011/01/11,126428951188
2011/01/12,127764634188
2011/01/13,129911345452
2011/01/14,131941544125
2011/01/15,134487072023
2011/01/16,137358218337
2011/01/17,140298092614
2011/01/18,141275978126
2011/01/19,142000848971
2011/01/20,144138851023
2011/01/21,148077439479
2011/01/22,147851693088
2011/01/23,149424737715
2011/01/24,150843499416
2011/01/25,150869520637
2011/01/26,153073213983
2011/01/27,156094091663
2011/01/28,158449943310
2011/01/29,159627246604
2011/01/30,162155897291
2011/01/31,162800163182
2011/02/01,167065011585
2011/02/02,168303032327
2011/02/03,168658244958
2011/02/04,172107751551
2011/02/05,177076368295
2011/02/06,179469101591
2011/02/07,183074443854
2011/02/08,190142974294
2011/02/09,195585837142
2011/02/10,201796329892
2011/02/11,207162275715
2011/02/12,213064119841
2011/02/13,218533673111
2011/02/14,223471823770
2011/02/15,229506328878
2011/02/16,237286227079
2011/02/17,248072015391
2011/02/18,264282829100
2011/02/19,273314687133
2011/02/20,281440579281
2011/02/21,290577729472
2011/02/22,301901102986
2011/02/23,315738417427
2011/02/24,327997018002
2011/02/25,337823406262
2011/02/26,352836244719
2011/02/27,389597614281
2011/02/28,403433263130
2011/03/01,402000616106
2011/03/02,405695391746
2011/03/03,414369664733
2011/03/04,433397826391
2011/03/05,466136755790
2011/03/06,507243096503
2011/03/07,533067891187
2011/03/08,534670900693
2011/03/09,533584006357
2011/03/10,529938111513
2011/03/11,521956140667
2011/03/12,518337980164
2011/03/13,515412961845
2011/03/14,503457698864
2011/03/15,490846733570
2011/03/16,492982036072
2011/03/17,492828354860
2011/03/18,497800822525
2011/03/19,489176822078
2011/03/20,487297380201
2011/03/21,495791920542
2011/03/22,498309857207
2011/03/23,501762819888
2011/03/24,516417102313
2011/03/25,517820967056
2011/03/26,519034278467
2011/03/27,517882039220
2011/03/28,518862432535
2011/03/29,525392217730
2011/03/30,526363154637
2011/03/31,541537634254
2011/04/01,553984298238
2011/04/02,562765664365
2011/04/03,566947899767
2011/04/04,574713336094
2011/04/05,585863695718
2011/04/06,598013238995
2011/04/07,600716168105
2011/04/08,604926718465
2011/04/09,613429115733
2011/04/10,621523145058
2011/04/11,626883624409
2011/04/12,633997094662
2011/04/13,653374746372
2011/04/14,660394195142
2011/04/15,652436483281
2011/04/16,652135920001
2011/04/17,658987446888
2011/04/18,666703732112
2011/04/19,665620139008
2011/04/20,669443320307
2011/04/21,675256086413
2011/04/22,684901563616
2011/04/23,698360662596
2011/04/24,708806003830
2011/04/25,720741151540
2011/04/26,746964548812
2011/04/27,764685139160
2011/04/28,762559734818
2011/04/29,778788228681
2011/04/30,811777372536
2011/05/01,837346252972
2011/05/02,865524494871
2011/05/03,893614724777
2011/05/04,916044298596
2011/05/05,946923448502
2011/05/06,975692073868
2011/05/07,1005058959862
2011/05/08,1023277237096
2011/05/09,1068865293615
2011/05/10,1148464696457
2011/05/11,1190244229689
2011/05/12,1215968656537
2011/05/13,1250911407753
2011/05/14,1326963331238
2011/05/15,1392122980445
2011/05/16,1447366774848
2011/05/17,1519277389035
2011/05/18,1612803528018
2011/05/19,1741089084195
2011/05/20,1846370154188
2011/05/21,1945236552301
2011/05/22,2087277491123
2011/05/23,2230348353760
2011/05/24,2403635827792
2011/05/25,2573911900261
2011/05/26,2805811607688
2011/05/27,3089763613119
2011/05/28,3153478883330
2011/05/29,3206562380026
2011/05/30,3251023750927
2011/05/31,3261875892000
2011/06/01,3310423414491
2011/06/02,3426729171575
2011/06/03,3545148292082
2011/06/04,3678990712746
2011/06/05,3800582677313
2011/06/06,4057916334282
2011/06/07,4208603313407
2011/06/08,4327201676106
2011/06/09,4532906072393
2011/06/10,4765629985380
2011/06/11,4988298417303
2011/06/12,5240774889110
2011/06/13,5412821183767
2011/06/14,5577685045923
2011/06/15,6090168991221
2011/06/16,6593168404602
2011/06/17,6792395446677
2011/06/18,6992438779627
2011/06/19,7301368235046
2011/06/20,7665241634471
2011/06/21,8032477991144
2011/06/22,8487996709514
2011/06/23,8772553677207
2011/06/24,9364925854354
2011/06/25,9601362335582
2011/06/26,9709236908895
2011/06/27,9849426290362
2011/06/28,9971830058491
2011/06/29,10200765684800
2011/06/30,10484006330571
2011/07/01,10793851296223
2011/07/02,10949896164801
2011/07/03,11018747112815
2011/07/04,11044349199658
2011/07/05,11008539005373
2011/07/06,10962356204992
2011/07/07,10996859682234
2011/07/08,11001020239102
2011/07/09,11199617129598
2011/07/10,11208724772797
2011/07/11,11279841128072
2011/07/12,11283109451624
2011/07/13,11528693309685
2011/07/14,11695768220110
2011/07/15,11765227575146
2011/07/16,11924789434956
2011/07/17,11975606604022
2011/07/18,12080795249506
2011/07/19,12218403850602
2011/07/20,12155965521030
2011/07/21,12251970537865
2011/07/22,12295660759060
2011/07/23,12330844721376
2011/07/24,12481183759798
2011/07/25,12663293118399
2011/07/26,12835416931516
2011/07/27,13176097721674
2011/07/28,13302920902909
2011/07/29,13311178890608
2011/07/30,13251257163248
2011/07/31,13361133259931
2011/08/01,13691928333293
2011/08/02,13807595640188
2011/08/03,13907447575156
2011/08/04,13851714689939
2011/08/05,13668768863175
2011/08/06,13500546242951
2011/08/07,13272460090724
2011/08/08,13131499509110
2011/08/09,13110123258448
2011/08/10,13360038994857
2011/08/11,13316205019378
2011/08/12,13201330508233
2011/08/13,13156001196474
2011/08/14,12947414971942
2011/08/15,12958631576022
2011/08/16,12814123188822
2011/08/17,12781378791188
2011/08/18,12850607635560
2011/08/19,12788888012328
2011/08/20,12768723365867
2011/08/21,12854707070271
2011/08/22,13228849878258
2011/08/23,13468831000545
2011/08/24,13387294292274
2011/08/25,13193619506026
2011/08/26,13192868729803
2011/08/27,12992256493581
2011/08/28,12675043272835
2011/08/29,12499827152793
2011/08/30,12559907879906
2011/08/31,12701787472073
2011/09/01,12628148434844
2011/09/02,12679715247584
2011/09/03,12734575985775
2011/09/04,12628609947068
2011/09/05,12664589994497
2011/09/06,12749221756506
2011/09/07,12827118377817
2011/09/08,12638717151285
2011/09/09,12593018422559
2011/09/10,12648092423856
2011/09/11,12575278886050
2011/09/12,12371132670363
2011/09/13,12360102174913
2011/09/14,12412300432330
2011/09/15,12454968674038
2011/09/16,12370905903625
2011/09/17,12158641932863
2011/09/18,12365009260233
2011/09/19,12361767327393
2011/09/20,12218798862103
2011/09/21,12302769393704
2011/09/22,12387079829817
2011/09/23,12394648830282
2011/09/24,12212928945584
2011/09/25,12203190192681
2011/09/26,12097625759315
2011/09/27,12085610606606
2011/09/28,12023135764224
2011/09/29,11951958214093
2011/09/30,11803711504416
2011/10/01,11626666156154
2011/10/02,11611669466520
2011/10/03,11560013300994
2011/10/04,11510451726728
2011/10/05,11387077961612
2011/10/06,11460775708348
2011/10/07,11363570817258
2011/10/08,11341852193655
2011/10/09,11171041725271
2011/10/10,11068116464025
2011/10/11,10830720427371
2011/10/12,10652955820888
2011/10/13,10306007680551
2011/10/14,10153794762149
2011/10/15,10190124737765
2011/10/16,10062247691151
2011/10/17,9864906603422
2011/10/18,9728122829134
2011/10/19,9670827077184
2011/10/20,9541253726072
2011/10/21,9520221473277
2011/10/22,9288624648411
2011/10/23,9047894371820
2011/10/24,8939265388120
2011/10/25,9013954910281
2011/10/26,8999244017982
2011/10/27,8891986968520
2011/10/28,8698793687670
2011/10/29,8669571172345
2011/10/30,8511733153254
2011/10/31,8413061128039
2011/11/01,8396115765090
2011/11/02,8477906622121
2011/11/03,8476645543970
2011/11/04,8414731333949
2011/11/05,8514297607725
2011/11/06,8554176626768
2011/11/07,8466683503037
2011/11/08,8446747913130
2011/11/09,8591034799363
2011/11/10,8686960571491
2011/11/11,8548751059755
2011/11/12,8455165032341
2011/11/13,8488103189763
2011/11/14,8487838755976
2011/11/15,8605925754554
2011/11/16,8606192196728
2011/11/17,8560795071357
2011/11/18,8476015736449
2011/11/19,8445041295204
2011/11/20,8270608017781
2011/11/21,8266623592264
2011/11/22,8215745014402
2011/11/23,8204704212126
2011/11/24,8066448888294
2011/11/25,7969086775149
2011/11/26,7897757710771
2011/11/27,7794095135273
2011/11/28,7710844418377
2011/11/29,7717480366196
2011/11/30,7727137422797
2011/12/01,7972849999902
2011/12/02,8168317087210
2011/12/03,8105926133063
2011/12/04,8075504847395
2011/12/05,8105135486104
2011/12/06,8197886469209
2011/12/07,8225870407172
2011/12/08,8191311063177
2011/12/09,8194281715029
2011/12/10,8249456413007
2011/12/11,8176440567845
2011/12/12,8141384629506
2011/12/13,8030614536073
2011/12/14,8068295424807
2011/12/15,8002661449647
2011/12/16,7858200554542
2011/12/17,7827459744332
2011/12/18,7937713300615
2011/12/19,8011302327138
2011/12/20,8056423993839
2011/12/21,8109628008152
2011/12/22,8111809350201
2011/12/23,8186854006571
2011/12/24,8165870177609
2011/12/25,8275162232323
2011/12/26,8565306759676
2011/12/27,8703237999269
2011/12/28,8685029028533
2011/12/29,8692731975466
2011/12/30,8508164418032
2011/12/31,8563796126415
2012/01/01,8572992608842
2012/01/02,8586967006866
2012/01/03,8677961110947
2012/01/04,8746858765050
2012/01/05,8662825446950
2012/01/06,8797487314746
2012/01/07,8990460746838
2012/01/08,9111791391479
2012/01/09,9251183542735
2012/01/10,9278411521941
2012/01/11,9266196777480
2012/01/12,9405193414025
2012/01/13,9279598769763
2012/01/14,9280558296814
2012/01/15,9298144996314
2012/01/16,9325469094855
2012/01/17,9458552626740
2012/01/18,9415676426452
2012/01/19,9278229215305
2012/01/20,9202691569520
2012/01/21,9349282928717
2012/01/22,9393076612157
2012/01/23,9514999659242
2012/01/24,9494932451203
2012/01/25,9545189517050
2012/01/26,9436163900856
2012/01/27,9405395498599
2012/01/28,9432486149034
2012/01/29,9527507592714
2012/01/30,9731612653317
2012/01/31,9865650003574
2012/02/01,9800638159055
2012/02/02,9771931979923
2012/02/03,9941312623416
2012/02/04,9984667108623
2012/02/05,10012392386214
2012/02/06,10019807300090
2012/02/07,9983803202489
2012/02/08,9922744237974
2012/02/09,9882518096155
2012/02/10,9929069206994
2012/02/11,9882556938442
2012/02/12,10010085204677
2012/02/13,10075337913996
2012/02/14,9936349965158
2012/02/15,9834948215416
2012/02/16,9815732637775
2012/02/17,9783245353134
2012/02/18,9973596072726
2012/02/19,10195016505875
2012/02/20,10234413081261
2012/02/21,10042891082309
2012/02/22,10068534757052
2012/02/23,10218995869863
2012/02/24,10195329293516
2012/02/25,10362503817424
2012/02/26,10439283115397
2012/02/27,10446469497930
2012/02/28,10461014911425
2012/02/29,10680595433074
2012/03/01,10707925013124
2012/03/02,10682483835301
2012/03/03,10398867748520
2012/03/04,10282930781165
2012/03/05,10279297727188
2012/03/06,10359987991151
2012/03/07,10409920274665
2012/03/08,10594889270850
2012/03/09,10760720397927
2012/03/10,11066956030441
2012/03/11,10970568251970
2012/03/12,11070616506136
2012/03/13,11188096844371
2012/03/14,11175032281992
2012/03/15,10931628585789
2012/03/16,10856613184486
2012/03/17,11027982877081
2012/03/18,11201762141119
2012/03/19,11264845908110
2012/03/20,11256927632820
2012/03/21,11377894167590
2012/03/22,11431575594459
2012/03/23,11243484116317
2012/03/24,11333250222718
2012/03/25,11563196511788
2012/03/26,11551312264184
2012/03/27,11520760690628
2012/03/28,11516467362413
2012/03/29,11531606075545
2012/03/30,11574568486282
2012/03/31,11787587223751
2012/04/01,11833226589983
2012/04/02,11704513966004
2012/04/03,11515141378879
2012/04/04,11485376711757
2012/04/05,11273321301121
2012/04/06,11103825346552
2012/04/07,11061225792283
2012/04/08,11083087429814
2012/04/09,11254024822677
2012/04/10,11293956710266
2012/04/11,11397395471271
2012/04/12,11372593704917
2012/04/13,11185292887015
2012/04/14,11046749286385
2012/04/15,10848852539465
2012/04/16,10758516043979
2012/04/17,10785152513968
2012/04/18,10699933742391
2012/04/19,10794789257831
2012/04/20,11044500878443
2012/04/21,11132804484206
2012/04/22,11201673932404
2012/04/23,11269325275721
2012/04/24,11133284868658
2012/04/25,11061658074682
2012/04/26,11063533141512
2012/04/27,10968572502109
2012/04/28,11020365633208
2012/04/29,11181174028173
2012/04/30,11416029029507
2012/05/01,11660961763238
2012/05/02,11728817440880
2012/05/03,11723557637796
2012/05/04,11785960159285
2012/05/05,11793190277233
2012/05/06,11909506893583
2012/05/07,12006306916502
2012/05/08,12235336760269
2012/05/09,12409145976272
2012/05/10,12497839332825
2012/05/11,12224945197225
2012/05/12,12244583628643
2012/05/13,12155432191157
2012/05/14,12128499173807
2012/05/15,12086147422572
2012/05/16,11822995715551
2012/05/17,11640689387394
2012/05/18,11650287612053
2012/05/19,11745332972195
2012/05/20,11809145108802
2012/05/21,11822693460296
2012/05/22,11614099429552
2012/05/23,11466012190520
2012/05/24,11395651961849
2012/05/25,11151648496934
2012/05/26,11068192778670
2012/05/27,11238302807305
2012/05/28,11283011057649
2012/05/29,11195899468283
2012/05/30,11037839776443
2012/05/31,11090798376321
2012/06/01,11068150348285
2012/06/02,11259292892704
2012/06/03,11459053664386
2012/06/04,11552902773149
2012/06/05,11502670015487
2012/06/06,11647403839378
2012/06/07,11564852696593
2012/06/08,11530859248252
2012/06/09,11685065664389
2012/06/10,11854242775359
2012/06/11,12004111473177
2012/06/12,11867801945626
2012/06/13,11972083263515
2012/06/14,11917556739066
2012/06/15,12026697565940
2012/06/16,12051313514656
2012/06/17,12161661738546
2012/06/18,12199223622790
2012/06/19,12530294222215
2012/06/20,12314257408935
2012/06/21,12230391496930
2012/06/22,12103344253412
2012/06/23,12328013248099
2012/06/24,12440894232602
2012/06/25,12452850067499
2012/06/26,12490507258353
2012/06/27,12640857765049
2012/06/28,12600419530513
2012/06/29,12541804805748
2012/06/30,12457954083280
2012/07/01,12380702851387
2012/07/02,12463835521196
2012/07/03,12525470763683
2012/07/04,12687094517086
2012/07/05,12691900081374
2012/07/06,12733390554115
2012/07/07,12925955363301
2012/07/08,13093426117052
2012/07/09,13229378718256
2012/07/10,13226709261611
2012/07/11,13148224500438
2012/07/12,13027711500201
2012/07/13,13105681067512
2012/07/14,13234040129103
2012/07/15,13260575865594
2012/07/16,13190923995019
2012/07/17,13378900545104
2012/07/18,13567591962622
2012/07/19,13618997013694
2012/07/20,13535652647659
2012/07/21,13515471999936
2012/07/22,13535018850465
2012/07/23,13562325895676
2012/07/24,13664427233701
2012/07/25,13813922512041
2012/07/26,14088124262118
2012/07/27,14256475701021
2012/07/28,14522660346402
2012/07/29,14403195944816
2012/07/30,14882673487933
2012/07/31,14872634815472
2012/08/01,14693090249624
2012/08/02,14779490495150
2012/08/03,15081695603635
2012/08/04,15190032789094
2012/08/05,15191012070568
2012/08/06,15087748543338
2012/08/07,15084725132328
2012/08/08,15252169650468
2012/08/09,15478071194018
2012/08/10,15629277164155
2012/08/11,15785979843141
2012/08/12,15981121133705
2012/08/13,16123110253755
2012/08/14,16322536950947
2012/08/15,16527262123330
2012/08/16,16675264366190
2012/08/17,16565390753661
2012/08/18,16437454087130
2012/08/19,16525380044759
2012/08/20,17054143362797
2012/08/21,17456400621192
2012/08/22,17330447340287
2012/08/23,17405649339579
2012/08/24,17468859222442
2012/08/25,17355006626262
2012/08/26,17693116220647
2012/08/27,17900145210320
2012/08/28,17891905544499
2012/08/29,18147015688779
2012/08/30,18335086761383
2012/08/31,18245062452193
2012/09/01,18373420637987
2012/09/02,18414343243540
2012/09/03,18715249033659
2012/09/04,18491839061325
2012/09/05,18889272372770
2012/09/06,19348996191768
2012/09/07,19806501204774
2012/09/08,19938597838662
2012/09/09,19898948360963
2012/09/10,19976657266037
2012/09/11,20118236821164
2012/09/12,19974509358043
2012/09/13,19883614888683
2012/09/14,20042298037587
2012/09/15,19959469667272
2012/09/16,20016798103314
2012/09/17,20317384825659
2012/09/18,20713700236774
2012/09/19,20739526676727
2012/09/20,20673011602291
2012/09/21,20975288208900
2012/09/22,21458601313904
2012/09/23,21472415613749
2012/09/24,21522682550283
2012/09/25,21609941298998
2012/09/26,21325543973826
2012/09/27,21218919550609
2012/09/28,21557391335795
2012/09/29,21725648137420
2012/09/30,21907342275285
2012/10/01,21780248984426
2012/10/02,21525408542103
2012/10/03,21527998639809
2012/10/04,21339917678907
2012/10/05,21244642694743
2012/10/06,21244361159101
2012/10/07,21264874873901
2012/10/08,21565767857644
2012/10/09,21785242059522
2012/10/10,21902305847652
2012/10/11,21965066854087
2012/10/12,22016137844816
2012/10/13,22014582698094
2012/10/14,21902231845740
2012/10/15,22034709812419
2012/10/16,22271037071467
2012/10/17,22346885233736
2012/10/18,22370142519241
2012/10/19,22585195282040
2012/10/20,22463304465573
2012/10/21,22790731682296
2012/10/22,22907104946973
2012/10/23,22914438303013
2012/10/24,22874539925016
2012/10/25,22776974765975
2012/10/26,22861213827448
2012/10/27,23474562343427
2012/10/28,23640972518466
2012/10/29,23876862696391
2012/10/30,24012209065229
2012/10/31,23924339778610
2012/11/01,23751865585551
2012/11/02,23716540795307
2012/11/03,23712241982286
2012/11/04,24000100987409
2012/11/05,24169069197412
2012/11/06,24112910938956
2012/11/07,24118596497853
2012/11/08,24450415713100
2012/11/09,24443814489342
2012/11/10,24609825051476
2012/11/11,24458562152582
2012/11/12,24357473122315
2012/11/13,24064058508309
2012/11/14,24128038962742
2012/11/15,24043975988378
2012/11/16,23928345767426
2012/11/17,23983195511197
2012/11/18,24239149392189
2012/11/19,23956854540329
2012/11/20,24165997103036
2012/11/21,24253983146758
2012/11/22,24469764893662
2012/11/23,24431061092411
2012/11/24,24765939490361
2012/11/25,24795956857883
2012/11/26,25041991524934
2012/11/27,25149718796227
2012/11/28,25478734140619
2012/11/29,25967591234452
2012/11/30,25664731703830
2012/12/01,25660525602428
2012/12/02,25747570553840
2012/12/03,25683423382870
2012/12/04,25186495234291
2012/12/05,24492803072465
2012/12/06,24230897464971
2012/12/07,23946944929551
2012/12/08,23953436116027
2012/12/09,23746560219323
2012/12/10,23632230890265
2012/12/11,23633908315187
2012/12/12,23673755198314
2012/12/13,23443875403864
2012/12/14,22948014124521
2012/12/15,22303740168966
2012/12/16,21957436813013
2012/12/17,21700150111815
2012/12/18,21685805388007
2012/12/19,21892276127540
2012/12/20,21590001787151
2012/12/21,21430326118387
2012/12/22,21544251608061
2012/12/23,22058758592779
2012/12/24,21909515392383
2012/12/25,21883847335794
2012/12/26,21773561306574
2012/12/27,22047962303599
2012/12/28,22373038028761
2012/12/29,22399137951555
2012/12/30,22397053443966
2012/12/31,22801839218909
2013/01/01,23005799260241
2013/01/02,22978979087726
2013/01/03,23078433289326
2013/01/04,23015733002407
2013/01/05,22959061334011
2013/01/06,22666731684799
2013/01/07,22678711019658
2013/01/08,22950773659151
2013/01/09,22712446527166
2013/01/10,22764371784008
2013/01/11,22571133245969
2013/01/12,22082450387913
2013/01/13,21864027255566
2013/01/14,22063130396982
