Date,hashrate14rsi
2010/07/17,97.81
2010/07/18,62.705
2010/07/19,62.642
2010/07/20,63.743
2010/07/21,64.784
2010/07/22,64.352
2010/07/23,64.503
2010/07/24,63.126
2010/07/25,66.755
2010/07/26,70.79
2010/07/27,73.053
2010/07/28,61.094
2010/07/29,63.074
2010/07/30,64.343
2010/07/31,65.378
2010/08/01,70.335
2010/08/02,73.468
2010/08/03,71.434
2010/08/04,67.238
2010/08/05,71.64
2010/08/06,72.214
2010/08/07,58.925
2010/08/08,65.025
2010/08/09,68.189
2010/08/10,65.655
2010/08/11,69.763
2010/08/12,70.831
2010/08/13,71.153
2010/08/14,73.575
2010/08/15,82.563
2010/08/16,55.961
2010/08/17,54.352
2010/08/18,52.328
2010/08/19,53.424
2010/08/20,58.703
2010/08/21,62.343
2010/08/22,64.377
2010/08/23,67.024
2010/08/24,67.125
2010/08/25,68.446
2010/08/26,65.93
2010/08/27,68.488
2010/08/28,64.417
2010/08/29,58.285
2010/08/30,54.538
2010/08/31,59.563
2010/09/01,59.923
2010/09/02,54.277
2010/09/03,55.128
2010/09/04,58.867
2010/09/05,58.667
2010/09/06,55.381
2010/09/07,51.564
2010/09/08,58.576
2010/09/09,57.713
2010/09/10,59.797
2010/09/11,62.559
2010/09/12,64.068
2010/09/13,64.859
2010/09/14,67.641
2010/09/15,65.681
2010/09/16,69.235
2010/09/17,74.975
2010/09/18,75.831
2010/09/19,83.61
2010/09/20,77.554
2010/09/21,67.696
2010/09/22,59.839
2010/09/23,66.533
2010/09/24,72.578
2010/09/25,67.452
2010/09/26,60.905
2010/09/27,64.647
2010/09/28,67.232
2010/09/29,72.834
2010/09/30,55.876
2010/10/01,58.433
2010/10/02,49.444
2010/10/03,45.87
2010/10/04,52.816
2010/10/05,52.115
2010/10/06,54.64
2010/10/07,59.161
2010/10/08,56.95
2010/10/09,55.558
2010/10/10,58.129
2010/10/11,58.611
2010/10/12,57.515
2010/10/13,59.48
2010/10/14,64.528
2010/10/15,65.811
2010/10/16,70.25
2010/10/17,78.749
2010/10/18,72.149
2010/10/19,65.198
2010/10/20,67.605
