Date,hashrate14trx
2010/07/17,15.102
2010/07/18,16.229
2010/07/19,16.083
2010/07/20,15.313
2010/07/21,14.294
2010/07/22,13.17
2010/07/23,12.044
2010/07/24,10.942
2010/07/25,10
2010/07/26,9.276
2010/07/27,8.733
2010/07/28,8.129
2010/07/29,7.549
2010/07/30,7.018
2010/07/31,6.542
2010/08/01,6.192
2010/08/02,5.972
2010/08/03,5.788
2010/08/04,5.578
2010/08/05,5.414
2010/08/06,5.271
2010/08/07,5.028
2010/08/08,4.809
2010/08/09,4.644
2010/08/10,4.483
2010/08/11,4.374
2010/08/12,4.298
2010/08/13,4.23
2010/08/14,4.186
2010/08/15,4.318
2010/08/16,4.291
2010/08/17,4.14
2010/08/18,3.892
2010/08/19,3.605
2010/08/20,3.367
2010/08/21,3.207
2010/08/22,3.118
2010/08/23,3.102
2010/08/24,3.117
2010/08/25,3.153
2010/08/26,3.171
2010/08/27,3.193
2010/08/28,3.181
2010/08/29,3.102
2010/08/30,2.956
2010/08/31,2.81
2010/09/01,2.667
2010/09/02,2.495
2010/09/03,2.314
2010/09/04,2.157
2010/09/05,2.016
2010/09/06,1.873
2010/09/07,1.713
2010/09/08,1.588
2010/09/09,1.482
2010/09/10,1.401
2010/09/11,1.354
2010/09/12,1.335
2010/09/13,1.334
2010/09/14,1.359
2010/09/15,1.387
2010/09/16,1.432
2010/09/17,1.524
2010/09/18,1.642
2010/09/19,1.857
2010/09/20,2.089
2010/09/21,2.27
2010/09/22,2.362
2010/09/23,2.443
2010/09/24,2.57
2010/09/25,2.679
2010/09/26,2.724
2010/09/27,2.752
2010/09/28,2.784
2010/09/29,2.87
2010/09/30,2.865
2010/10/01,2.822
2010/10/02,2.676
2010/10/03,2.439
2010/10/04,2.216
2010/10/05,2.003
2010/10/06,1.824
2010/10/07,1.713
2010/10/08,1.63
2010/10/09,1.555
2010/10/10,1.505
2010/10/11,1.472
2010/10/12,1.443
2010/10/13,1.426
2010/10/14,1.453
2010/10/15,1.511
2010/10/16,1.621
2010/10/17,1.866
2010/10/18,2.136
2010/10/19,2.355
2010/10/20,2.547
2010/10/21,2.844
2010/10/22,3.025
2010/10/23,3.131
2010/10/24,3.194
2010/10/25,3.282
2010/10/26,3.402
2010/10/27,3.523
2010/10/28,3.58
2010/10/29,3.616
2010/10/30,3.641
2010/10/31,3.772
2010/11/01,3.833
2010/11/02,3.833
2010/11/03,3.81
2010/11/04,3.772
2010/11/05,3.747
2010/11/06,3.714
2010/11/07,3.723
2010/11/08,3.767
2010/11/09,3.908
2010/11/10,4.033
2010/11/11,4.201
2010/11/12,4.271
2010/11/13,4.269
2010/11/14,4.318
2010/11/15,4.324
2010/11/16,4.223
2010/11/17,4.129
2010/11/18,4.126
2010/11/19,4.197
2010/11/20,4.074
2010/11/21,3.863
2010/11/22,3.65
2010/11/23,3.43
2010/11/24,3.242
2010/11/25,3.062
2010/11/26,2.97
2010/11/27,2.914
2010/11/28,2.821
2010/11/29,2.754
2010/11/30,2.757
2010/12/01,2.768
2010/12/02,2.802
2010/12/03,2.826
2010/12/04,2.879
2010/12/05,2.969
2010/12/06,3.081
2010/12/07,3.164
2010/12/08,3.228
2010/12/09,3.285
2010/12/10,3.332
2010/12/11,3.333
2010/12/12,3.327
2010/12/13,3.268
2010/12/14,3.156
2010/12/15,3.065
2010/12/16,2.994
2010/12/17,2.905
2010/12/18,2.772
2010/12/19,2.629
2010/12/20,2.498
2010/12/21,2.383
2010/12/22,2.328
2010/12/23,2.232
2010/12/24,2.118
2010/12/25,2.012
2010/12/26,1.897
2010/12/27,1.787
2010/12/28,1.718
2010/12/29,1.662
2010/12/30,1.6
2010/12/31,1.541
2011/01/01,1.495
2011/01/02,1.465
2011/01/03,1.459
2011/01/04,1.421
2011/01/05,1.364
2011/01/06,1.312
2011/01/07,1.243
2011/01/08,1.22
2011/01/09,1.186
2011/01/10,1.171
2011/01/11,1.149
2011/01/12,1.132
2011/01/13,1.13
2011/01/14,1.138
2011/01/15,1.159
2011/01/16,1.196
2011/01/17,1.242
2011/01/18,1.264
2011/01/19,1.265
2011/01/20,1.271
2011/01/21,1.305
2011/01/22,1.3
2011/01/23,1.291
2011/01/24,1.277
2011/01/25,1.241
2011/01/26,1.219
2011/01/27,1.218
2011/01/28,1.224
2011/01/29,1.218
2011/01/30,1.221
2011/01/31,1.207
2011/02/01,1.225
2011/02/02,1.228
2011/02/03,1.209
2011/02/04,1.213
2011/02/05,1.25
2011/02/06,1.28
2011/02/07,1.316
2011/02/08,1.397
2011/02/09,1.488
2011/02/10,1.592
2011/02/11,1.691
2011/02/12,1.789
2011/02/13,1.878
2011/02/14,1.951
2011/02/15,2.021
2011/02/16,2.104
2011/02/17,2.22
2011/02/18,2.408
