Date,hashrate30var
2010/07/17,392977652888932480
2010/07/18,428619504774221504
2010/07/19,459691349735541440
2010/07/20,492470192395738176
2010/07/21,526415242847880512
2010/07/22,552960999866223296
2010/07/23,575206973387004544
2010/07/24,589794710163534976
2010/07/25,614049333791270784
2010/07/26,655501169575265664
2010/07/27,705596358350770560
2010/07/28,708913702507328896
2010/07/29,713630003259500032
2010/07/30,716726483610714624
2010/07/31,717598313600376064
2010/08/01,738856954578726400
2010/08/02,775238381858701312
2010/08/03,786977182715092992
2010/08/04,767227115751195136
2010/08/05,770168374546464256
2010/08/06,756532787336797696
2010/08/07,682649898270206464
2010/08/08,630143041951099904
2010/08/09,586466395789037056
2010/08/10,508799908149217280
2010/08/11,479262657833919488
2010/08/12,524305027553319936
2010/08/13,557813100244783104
2010/08/14,606943020508476416
2010/08/15,919202052889801728
2010/08/16,952717841868349440
2010/08/17,923854233970884608
2010/08/18,877474375067109376
2010/08/19,836022864252934144
2010/08/20,830076626580640768
2010/08/21,855475269738913792
2010/08/22,896785137404225536
2010/08/23,963659338945001472
2010/08/24,1028527654176995328
2010/08/25,1125548814377248768
2010/08/26,1191230236492388352
2010/08/27,1234180098304184320
2010/08/28,1226066476879415296
2010/08/29,1161109966610552832
2010/08/30,1070194666466291712
2010/08/31,1045453339708663808
2010/09/01,1038176387436961792
2010/09/02,985777001337360384
2010/09/03,911059012827938816
2010/09/04,885328730109054976
2010/09/05,852940091942096896
2010/09/06,732487047219879936
2010/09/07,656174201554182144
2010/09/08,624213095764066304
2010/09/09,567806099311378432
2010/09/10,550254471248211968
2010/09/11,551981495770411008
2010/09/12,558994714647375872
2010/09/13,580988160606814208
2010/09/14,636604659039010816
2010/09/15,623450725646671872
2010/09/16,613216618398072832
2010/09/17,659842808252977152
2010/09/18,705082492097843200
2010/09/19,1217373682672185344
2010/09/20,1598056460036825088
2010/09/21,1787678380872892416
2010/09/22,1866206276274364416
2010/09/23,2123723651020005376
2010/09/24,2734615299884498944
2010/09/25,3117188843539636224
2010/09/26,3309511540067074048
2010/09/27,3619490439607754752
2010/09/28,3979167537594236928
2010/09/29,4734534474802847744
2010/09/30,4751764453690548224
2010/10/01,4848090222969569280
2010/10/02,4588351129194373120
2010/10/03,4327950982151503872
2010/10/04,4164551230620286976
2010/10/05,3955184270682234880
2010/10/06,3717411119865659392
2010/10/07,3539482580890091520
2010/10/08,3368816129327923200
2010/10/09,3092878536818458624
2010/10/10,2896793067988467712
2010/10/11,2724299721241001984
2010/10/12,2507617590600843264
2010/10/13,2317741778547523584
2010/10/14,2377464489895788544
2010/10/15,2408517336143937536
2010/10/16,2834947930974453760
2010/10/17,5221765740859670528
2010/10/18,6682829845502083072
2010/10/19,7603801711196618752
2010/10/20,8797290169652068352
2010/10/21,1.3284057757959E+19
2010/10/22,1.3668922229977E+19
2010/10/23,1.448777885853E+19
2010/10/24,1.5834857325914E+19
2010/10/25,1.8574174384481E+19
2010/10/26,2.1910535799059E+19
2010/10/27,2.5306373466261E+19
2010/10/28,2.7185132837153E+19
2010/10/29,3.0218294619519E+19
2010/10/30,3.284895291397E+19
2010/10/31,4.1858354197151E+19
2010/11/01,4.3271012291949E+19
2010/11/02,4.3310350689427E+19
2010/11/03,4.4926589894375E+19
2010/11/04,4.6172090004791E+19
2010/11/05,4.8823333464424E+19
2010/11/06,5.1194087107739E+19
2010/11/07,5.6312528898359E+19
2010/11/08,6.1926056831674E+19
2010/11/09,7.6937000550588E+19
2010/11/10,8.4324330542154E+19
2010/11/11,9.9614635661407E+19
2010/11/12,1.0128479035717E+20
2010/11/13,1.033394271732E+20
2010/11/14,1.1822707318848E+20
2010/11/15,1.2433613919903E+20
2010/11/16,1.2501645635895E+20
2010/11/17,1.3223543473999E+20
2010/11/18,1.5371759364168E+20
2010/11/19,1.8215403840735E+20
2010/11/20,1.7833253210606E+20
2010/11/21,1.6855879205503E+20
2010/11/22,1.6273267332656E+20
2010/11/23,1.5496965469591E+20
2010/11/24,1.5356226211245E+20
2010/11/25,1.5003955697547E+20
2010/11/26,1.6069436709466E+20
2010/11/27,1.6212972407401E+20
2010/11/28,1.5336546055082E+20
2010/11/29,1.5231495506742E+20
2010/11/30,1.7393721848789E+20
2010/12/01,1.7655447056184E+20
2010/12/02,1.8351840876586E+20
2010/12/03,1.8468407264197E+20
2010/12/04,1.9845061688709E+20
2010/12/05,2.2566605915572E+20
2010/12/06,2.5332754866214E+20
2010/12/07,2.7016468217626E+20
2010/12/08,2.9201545249628E+20
2010/12/09,3.3041621074278E+20
2010/12/10,3.628408270763E+20
2010/12/11,3.8631517578313E+20
2010/12/12,4.1070213471199E+20
2010/12/13,4.0864465063508E+20
2010/12/14,4.1277304481647E+20
2010/12/15,4.3345906427468E+20
2010/12/16,4.4058010287684E+20
2010/12/17,4.4243766015414E+20
2010/12/18,4.434770011331E+20
2010/12/19,4.5362711956906E+20
2010/12/20,4.1879414375144E+20
2010/12/21,3.900235549944E+20
2010/12/22,4.0321900850853E+20
2010/12/23,3.6019235809995E+20
2010/12/24,3.2618314608592E+20
2010/12/25,2.8790650245365E+20
2010/12/26,2.6800096362887E+20
2010/12/27,2.4412998129417E+20
2010/12/28,2.1206664770225E+20
2010/12/29,1.8668506532563E+20
2010/12/30,1.7278005549739E+20
2010/12/31,1.4987962425286E+20
2011/01/01,1.3874249786988E+20
2011/01/02,1.2423933131306E+20
2011/01/03,1.3199728948637E+20
2011/01/04,1.2488563132523E+20
2011/01/05,1.2108834715733E+20
2011/01/06,1.1646747985347E+20
2011/01/07,1.0902302701274E+20
2011/01/08,1.3333849056919E+20
2011/01/09,1.3455238710513E+20
2011/01/10,1.4305181801465E+20
2011/01/11,1.4780578169837E+20
2011/01/12,1.4618363210276E+20
2011/01/13,1.4586077896624E+20
2011/01/14,1.6170937550199E+20
2011/01/15,1.8753375799652E+20
2011/01/16,2.1395688698986E+20
2011/01/17,2.2855166102446E+20
2011/01/18,2.2401017996575E+20
2011/01/19,2.2210277755574E+20
2011/01/20,2.3830082579362E+20
2011/01/21,2.9797430429296E+20
2011/01/22,2.7721025686576E+20
2011/01/23,2.7377608376743E+20
2011/01/24,2.7579022883956E+20
2011/01/25,2.5407575100699E+20
2011/01/26,2.5643091683676E+20
2011/01/27,2.8910114169379E+20
2011/01/28,3.0694315458425E+20
2011/01/29,3.0029338410691E+20
2011/01/30,3.1277138194213E+20
2011/01/31,3.0782590499618E+20
2011/02/01,3.6205601556686E+20
2011/02/02,3.7531235878309E+20
2011/02/03,3.4576944342918E+20
2011/02/04,3.5578758724154E+20
2011/02/05,4.1312295729179E+20
2011/02/06,3.9531542533947E+20
2011/02/07,4.4688593215366E+20
2011/02/08,5.6326503648507E+20
2011/02/09,6.6187742996054E+20
2011/02/10,7.7088018468844E+20
2011/02/11,8.6542331044464E+20
2011/02/12,9.9649973278761E+20
2011/02/13,1.1173383724656E+21
2011/02/14,1.2342010333247E+21
2011/02/15,1.4011777930115E+21
2011/02/16,1.653438021859E+21
2011/02/17,2.0371677343849E+21
2011/02/18,2.8169927612701E+21
2011/02/19,3.1962719413434E+21
2011/02/20,3.5823374895633E+21
2011/02/21,3.9108088676019E+21
2011/02/22,4.4376414059465E+21
2011/02/23,5.1616537001751E+21
2011/02/24,5.7148032032222E+21
2011/02/25,6.173025061491E+21
2011/02/26,7.0773301485558E+21
2011/02/27,1.0876395600421E+22
2011/02/28,1.1777622434989E+22
2011/03/01,1.1603084625238E+22
2011/03/02,1.147231730985E+22
2011/03/03,1.1803027549408E+22
2011/03/04,1.2843100047964E+22
2011/03/05,1.570139166041E+22
2011/03/06,2.0564863132774E+22
2011/03/07,2.3140986793775E+22
2011/03/08,2.266231581538E+22
2011/03/09,2.1910923484926E+22
2011/03/10,2.1183198582857E+22
2011/03/11,2.007469936891E+22
2011/03/12,1.9068084464436E+22
2011/03/13,1.7923738858899E+22
2011/03/14,1.6700437296781E+22
2011/03/15,1.5484266164337E+22
2011/03/16,1.4229702840156E+22
2011/03/17,1.2984379892229E+22
2011/03/18,1.1970472718844E+22
2011/03/19,1.1188348953409E+22
2011/03/20,1.0773494893086E+22
2011/03/21,1.0112392240685E+22
2011/03/22,9.2826240114105E+21
2011/03/23,8.5592144024773E+21
2011/03/24,8.3605272547319E+21
2011/03/25,7.9898629662683E+21
2011/03/26,7.6013514949275E+21
2011/03/27,7.1381046390851E+21
2011/03/28,6.9625288039002E+21
2011/03/29,6.6592712318857E+21
2011/03/30,6.6333586291906E+21
2011/03/31,6.4476242988681E+21
2011/04/01,6.407515549541E+21
2011/04/02,6.4488859248038E+21
2011/04/03,6.526368125743E+21
2011/04/04,6.138987694968E+21
2011/04/05,4.7825686773807E+21
2011/04/06,4.542872979687E+21
2011/04/07,4.7481664131854E+21
2011/04/08,5.007726224164E+21
2011/04/09,5.4452432088107E+21
2011/04/10,5.7027053774168E+21
2011/04/11,5.9131424881624E+21
2011/04/12,6.1963767959699E+21
2011/04/13,6.8652372766306E+21
2011/04/14,6.3192577310685E+21
2011/04/15,6.0831349753821E+21
2011/04/16,5.8221335219704E+21
2011/04/17,6.002049763045E+21
2011/04/18,5.3610411508978E+21
2011/04/19,4.7513971286902E+21
2011/04/20,4.7565470975233E+21
2011/04/21,4.5721028237124E+21
2011/04/22,4.5880029319584E+21
2011/04/23,5.2533139378073E+21
2011/04/24,5.3082159272095E+21
2011/04/25,5.4060690782209E+21
2011/04/26,6.6376038943549E+21
2011/04/27,7.1420989054284E+21
2011/04/28,6.7579838411967E+21
2011/04/29,6.979718802127E+21
2011/04/30,1.0116414173879E+22
2011/05/01,1.2459337501356E+22
2011/05/02,1.5234951742868E+22
2011/05/03,1.7896203584159E+22
2011/05/04,2.0103925840359E+22
2011/05/05,2.4014566636895E+22
2011/05/06,2.7915821130443E+22
2011/05/07,3.1383228636541E+22
2011/05/08,3.3142405704856E+22
2011/05/09,4.064821565222E+22
2011/05/10,5.9594691066666E+22
2011/05/11,6.7514243577061E+22
2011/05/12,7.1889479143072E+22
2011/05/13,7.9667517812973E+22
2011/05/14,9.9870684644637E+22
2011/05/15,1.1424040392362E+23
2011/05/16,1.264214569141E+23
2011/05/17,1.464524012792E+23
