Date,hashrate3roc
2010/07/17,106.753
2010/07/18,13.097
2010/07/19,-17.109
2010/07/20,-40.897
2010/07/21,10.874
2010/07/22,9.94
2010/07/23,4.615
2010/07/24,-3.39
2010/07/25,11.848
2010/07/26,29.574
2010/07/27,45.745
2010/07/28,2.24
2010/07/29,-5.778
2010/07/30,-9.786
2010/07/31,16.152
2010/08/01,27.513
2010/08/02,36.247
2010/08/03,28.235
2010/08/04,2.629
2010/08/05,5.334
2010/08/06,10.126
2010/08/07,-4.879
2010/08/08,-0.439
2010/08/09,7.894
2010/08/10,27.43
2010/08/11,20.15
2010/08/12,12.472
2010/08/13,17.902
2010/08/14,11.7
2010/08/15,49.222
2010/08/16,-4.982
2010/08/17,-15.518
2010/08/18,-42.582
2010/08/19,-7.191
2010/08/20,16.269
2010/08/21,39.887
2010/08/22,43.863
2010/08/23,31.203
2010/08/24,16.647
2010/08/25,13.481
2010/08/26,0.778
2010/08/27,7.595
2010/08/28,-1.847
2010/08/29,-7.569
2010/08/30,-19.401
2010/08/31,-4.195
2010/09/01,6.152
2010/09/02,3.262
2010/09/03,-6.656
2010/09/04,0.317
2010/09/05,10.1
2010/09/06,2.901
2010/09/07,-10.907
2010/09/08,2.733
2010/09/09,6.54
2010/09/10,18.224
2010/09/11,8.502
2010/09/12,13.132
2010/09/13,10.268
2010/09/14,10.083
2010/09/15,5.016
2010/09/16,10.387
2010/09/17,18.299
2010/09/18,22.86
2010/09/19,44.432
2010/09/20,22.102
2010/09/21,9
2010/09/22,-21.266
2010/09/23,-3.789
2010/09/24,24.134
2010/09/25,29.053
2010/09/26,1.001
2010/09/27,-5.714
2010/09/28,6.876
2010/09/29,36.514
2010/09/30,-4.72
2010/10/01,-4.045
2010/10/02,-34.446
2010/10/03,-24.666
2010/10/04,-11.827
2010/10/05,8.498
2010/10/06,33.119
2010/10/07,20.959
2010/10/08,17.825
2010/10/09,5.926
2010/10/10,-0.773
2010/10/11,5.234
2010/10/12,6.399
2010/10/13,3.929
2010/10/14,15.62
2010/10/15,21.539
2010/10/16,29.7
2010/10/17,49.523
2010/10/18,35.066
2010/10/19,10.489
2010/10/20,-9.126
2010/10/21,31.819
2010/10/22,6.435
2010/10/23,4.368
2010/10/24,-18.389
2010/10/25,29.206
2010/10/26,33.27
2010/10/27,28.342
2010/10/28,0.842
2010/10/29,1.086
2010/10/30,4.075
2010/10/31,46.57
2010/11/01,10.492
2010/11/02,5.813
2010/11/03,-12.577
2010/11/04,10.382
2010/11/05,19.077
2010/11/06,11.293
2010/11/07,23.288
2010/11/08,20.582
2010/11/09,45.822
2010/11/10,18.238
2010/11/11,30.338
2010/11/12,-8.979
2010/11/13,0.705
2010/11/14,7.537
2010/11/15,16.969
2010/11/16,-1.215
2010/11/17,-4.746
2010/11/18,27
2010/11/19,58.743
2010/11/20,-18.785
2010/11/21,-27.877
2010/11/22,-23.954
2010/11/23,21.464
2010/11/24,22.787
2010/11/25,4.047
2010/11/26,31.218
2010/11/27,16.832
2010/11/28,5.736
2010/11/29,-2.089
2010/11/30,16.826
2010/12/01,26.629
2010/12/02,18.768
2010/12/03,-0.526
2010/12/04,17.617
2010/12/05,18.859
2010/12/06,26.595
2010/12/07,7.925
2010/12/08,3.53
2010/12/09,5.089
2010/12/10,12.557
2010/12/11,2.67
2010/12/12,5.622
2010/12/13,-5.908
2010/12/14,-4.522
2010/12/15,2.079
2010/12/16,15.814
2010/12/17,13.024
2010/12/18,-10.532
2010/12/19,-9.011
2010/12/20,1.517
2010/12/21,14.118
2010/12/22,24.549
2010/12/23,-3.896
