Date,hashrate3sma
2010/07/17,2007163881
2010/07/18,2067165886
2010/07/19,1960436661
2010/07/20,1582059698
2010/07/21,1638403528
2010/07/22,1689801444
2010/07/23,1715034377
2010/07/24,1695558846
2010/07/25,1762914431
2010/07/26,1932090167
2010/07/27,2185982846
2010/07/28,2200226513
2010/07/29,2157397230
2010/07/30,2078240220
2010/07/31,2183244622
2010/08/01,2375392668
2010/08/02,2639910521
2010/08/03,2853114425
2010/08/04,2876527368
2010/08/05,2929559126
2010/08/06,3027609078
2010/08/07,2983017521
2010/08/08,2978418509
2010/08/09,3062601594
2010/08/10,3301068960
2010/08/11,3511178694
2010/08/12,3654669986
2010/08/13,3852998169
2010/08/14,3999575791
2010/08/15,4636518301
2010/08/16,4571444034
2010/08/17,4354286955
2010/08/18,3532036710
2010/08/19,3442788058
2010/08/20,3635131872
2010/08/21,4077365535
2010/08/22,4582588764
2010/08/23,5011503332
2010/08/24,5269689906
2010/08/25,5493076711
2010/08/26,5507107204
2010/08/27,5644514501
2010/08/28,5609778886
2010/08/29,5472209576
2010/08/30,5094562753
2010/08/31,5017130459
2010/09/01,5120483858
2010/09/02,5171653548
2010/09/03,5053955581
2010/09/04,5059604377
2010/09/05,5223225672
2010/09/06,5271115310
2010/09/07,5075994583
2010/09/08,5124735971
2010/09/09,5235822505
2010/09/10,5526278866
2010/09/11,5682066500
2010/09/12,5919699619
2010/09/13,6113182029
2010/09/14,6313649778
2010/09/15,6416330176
2010/09/16,6632148657
2010/09/17,7032650285
2010/09/18,7524118884
2010/09/19,8543205302
2010/09/20,9115454998
2010/09/21,9353186900
2010/09/22,8648724040
2010/09/23,8528946109
2010/09/24,9223775148
2010/09/25,9981532143
2010/09/26,10011968907
2010/09/27,9807763270
2010/09/28,10039203022
2010/09/29,11160947069
2010/09/30,11001901708
2010/10/01,10856398945
2010/10/02,9411780420
2010/10/03,8619841624
2010/10/04,8211596903
2010/10/05,8445227577
2010/10/06,9246268120
2010/10/07,9884179407
2010/10/08,10415862240
2010/10/09,10606650223
2010/10/10,10578179290
2010/10/11,10762132997
2010/10/12,10980362494
2010/10/13,11123896985
2010/10/14,11701607781
2010/10/15,12483225185
2010/10/16,13610816361
2010/10/17,15728532636
2010/10/18,17275058593
2010/10/19,17791543065
2010/10/20,17208046623
2010/10/21,19103454285
2010/10/22,19453577176
2010/10/23,19707364248
2010/10/24,18263382117
2010/10/25,19954650639
2010/10/26,21972217041
2010/10/27,23788487725
2010/10/28,23851497478
2010/10/29,23939253481
2010/10/30,24274420086
2010/10/31,27788215447
2010/11/01,28645377345
2010/11/02,29142985555
2010/11/03,27752110339
2010/11/04,28689222815
2010/11/05,30417056950
2010/11/06,31508833256
2010/11/07,33829216825
2010/11/08,36049072799
2010/11/09,40979418202
2010/11/10,43219796406
2010/11/11,47165287944
2010/11/12,45756447488
2010/11/13,45858851137
2010/11/14,47136451956
2010/11/15,49559868329
2010/11/16,49382089790
2010/11/17,48516996672
2010/11/18,53027326246
2010/11/19,61515259280
2010/11/20,58253691864
2010/11/21,52339564582
2010/11/22,46845314214
2010/11/23,49872014392
2010/11/24,53358612589
2010/11/25,54064582611
2010/11/26,59411638622
2010/11/27,62573925591
2010/11/28,63614903630
2010/11/29,63145286909
2010/11/30,66838635796
2010/12/01,71948753791
2010/12/02,76078765578
2010/12/03,75943937903
2010/12/04,80224741924
2010/12/05,85153537836
2010/12/06,91937445508
2010/12/07,94202554978
2010/12/08,95298979620
2010/12/09,96942461822
2010/12/10,100815773036
2010/12/11,101674350315
2010/12/12,103582158008
2010/12/13,101530830328
2010/12/14,100037644930
2010/12/15,100782808192
2010/12/16,105948787033
2010/12/17,110054786928
2010/12/18,106201124424
2010/12/19,102791779436
2010/12/20,103332230986
2010/12/21,107953893229
2010/12/22,116404774583
2010/12/23,114995495347
2010/12/24,113313162439
2010/12/25,108161396318
2010/12/26,109582853970
2010/12/27,111264213134
2010/12/28,115368158395
2010/12/29,119724047432
2010/12/30,121454068202
2010/12/31,119605741080
2011/01/01,120725950444
2011/01/02,124660231304
2011/01/03,130071751625
2011/01/04,127751270794
2011/01/05,124554438336
2011/01/06,121391171015
2011/01/07,121567635999
2011/01/08,129450197603
2011/01/09,129505104602
2011/01/10,136266110053
2011/01/11,132538523240
2011/01/12,135738350881
2011/01/13,137415359395
2011/01/14,141816459285
2011/01/15,146678602509
2011/01/16,150730502746
2011/01/17,155486982718
2011/01/18,154353392917
2011/01/19,151250672946
2011/01/20,150793535925
2011/01/21,159475546088
2011/01/22,159366156782
2011/01/23,159904044594
2011/01/24,155366439937
2011/01/25,156917878945
2011/01/26,159500443259
2011/01/27,164721891963
2011/01/28,172296665443
2011/01/29,172257497870
2011/01/30,173211607929
2011/01/31,170953245417
2011/02/01,180122181478
2011/02/02,179374861608
2011/02/03,180701273470
2011/02/04,180615612872
2011/02/05,191623016199
2011/02/06,199641263183
2011/02/07,203634471236
2011/02/08,212539819579
2011/02/09,224520678791
2011/02/10,236405800192
2011/02/11,238389967326
2011/02/12,245210520997
2011/02/13,249184266531
2011/02/14,253693893027
2011/02/15,259462061500
2011/02/16,270718660173
2011/02/17,291588605629
2011/02/18,325229441006
2011/02/19,339951507325
2011/02/20,345311253600
2011/02/21,338749949435
2011/02/22,353243704928
2011/02/23,377051065944
2011/02/24,396287304618
2011/02/25,405017937660
2011/02/26,419930848794
2011/02/27,493553713694
2011/02/28,524110397257
2011/03/01,504866635844
2011/03/02,438588274835
2011/03/03,431050761003
2011/03/04,485848249909
2011/03/05,568924371066
2011/03/06,670151661728
2011/03/07,718101054884
2011/03/08,673484610084
2011/03/09,590846237430
2011/03/10,525949816895
2011/03/11,500944106123
2011/03/12,490377687363
2011/03/13,487097869945
2011/03/14,472322923052
2011/03/15,443674763806
2011/03/16,447161816993
