Date,hashrate3wma
2010/07/17,2240681526
2010/07/18,2014330245
2010/07/19,1756391046
2010/07/20,1596387859
2010/07/21,1667104415
2010/07/22,1700643269
2010/07/23,1713807089
2010/07/24,1688823009
2010/07/25,1794817583
2010/07/26,2025188512
2010/07/27,2272515556
2010/07/28,2154663631
2010/07/29,2102134594
2010/07/30,2118072591
2010/07/31,2211598582
2010/08/01,2455782561
2010/08/02,2759499618
2010/08/03,2891996313
2010/08/04,2836364806
2010/08/05,2969062151
2010/08/06,3103809471
2010/08/07,2894043301
2010/08/08,2966597052
2010/08/09,3203189308
2010/08/10,3333627929
2010/08/11,3562320561
2010/08/12,3747769663
2010/08/13,3879666363
2010/08/14,4052260823
2010/08/15,4948925142
2010/08/16,4492286283
2010/08/17,3979922192
2010/08/18,3465855562
2010/08/19,3427584522
2010/08/20,3768064139
2010/08/21,4276925544
2010/08/22,4723824935
2010/08/23,5137776051
2010/08/24,5345731587
2010/08/25,5531549001
2010/08/26,5511301882
2010/08/27,5677566428
2010/08/28,5623868122
2010/08/29,5338915951
2010/08/30,4956159076
2010/08/31,5061288202
2010/09/01,5227690344
2010/09/02,5097550863
2010/09/03,4987587641
2010/09/04,5144050417
2010/09/05,5289782617
2010/09/06,5225867791
2010/09/07,4981069611
2010/09/08,5191718791
2010/09/09,5343678616
2010/09/10,5552211382
2010/09/11,5771399870
2010/09/12,6001144109
2010/09/13,6157961933
2010/09/14,6384400464
2010/09/15,6452373659
2010/09/16,6684603927
2010/09/17,7252311586
2010/09/18,7697987426
2010/09/19,8904952967
2010/09/20,9375506848
2010/09/21,9136378185
2010/09/22,8372115427
2010/09/23,8610243041
2010/09/24,9706612382
2010/09/25,10143690993
2010/09/26,9761069703
2010/09/27,9809619188
2010/09/28,10301863366
2010/09/29,11573022707
2010/09/30,10808515069
2010/10/01,10485435884
2010/10/02,9181069476
2010/10/03,8103236969
2010/10/04,8358820744
2010/10/05,8727301368
2010/10/06,9334306097
2010/10/07,10233543554
2010/10/08,10563257177
2010/10/09,10471126548
2010/10/10,10647466554
2010/10/11,10906110796
2010/10/12,10968189033
2010/10/13,11172974641
2010/10/14,12025326229
2010/10/15,12790093181
2010/10/16,13934834207
2010/10/17,16720300519
2010/10/18,17791393980
2010/10/19,17314945009
2010/10/20,17134803306
2010/10/21,20309251268
2010/10/22,19443788786
2010/10/23,18813310636
2010/10/24,18572126589
2010/10/25,20663602974
2010/10/26,22808937695
2010/10/27,24159733277
2010/10/28,23583171489
2010/10/29,23911716795
2010/10/30,24781744065
2010/10/31,29232909137
2010/11/01,28878838305
2010/11/02,28142215958
2010/11/03,28072785472
2010/11/04,29142435908
2010/11/05,30975642030
2010/11/06,31906840304
2010/11/07,34578704636
2010/11/08,37171697713
2010/11/09,42682406166
2010/11/10,43979545331
2010/11/11,47795485926
2010/11/12,45634826123
2010/11/13,44697056118
2010/11/14,49109870575
2010/11/15,50598753325
2010/11/16,47492605092
2010/11/17,48846160545
2010/11/18,56410265299
2010/11/19,64302287659
2010/11/20,54696907242
2010/11/21,48521473477
2010/11/22,48516001116
2010/11/23,50785643501
2010/11/24,54030945767
2010/11/25,54574904434
2010/11/26,61255496638
2010/11/27,64474417242
2010/11/28,61972186467
2010/11/29,63173193080
2010/11/30,70065312871
2010/12/01,73095903986
2010/12/02,76325003199
2010/12/03,76548142144
2010/12/04,81447288236
2010/12/05,87931587250
2010/12/06,93793201574
2010/12/07,94093258069
2010/12/08,95233287519
2010/12/09,98487404254
2010/12/10,102094919414
2010/12/11,101216205752
2010/12/12,104144348679
2010/12/13,101355024227
2010/12/14,97879003822
2010/12/15,102743244334
2010/12/16,109102563051
2010/12/17,109576564137
