Date,hashrate7mom
2010/07/17,2550241960
2010/07/18,1334618511
2010/07/19,1073035904
2010/07/20,287786886
2010/07/21,381041279
2010/07/22,331025935
2010/07/23,-155346082
2010/07/24,-1110494958
2010/07/25,353086674
2010/07/26,672368802
2010/07/27,786313969
2010/07/28,226786185
2010/07/29,389687203
2010/07/30,473144141
2010/07/31,600225984
2010/08/01,764064588
2010/08/02,759170492
2010/08/03,478159657
2010/08/04,791572416
2010/08/05,1046753618
2010/08/06,1009780543
2010/08/07,342784538
2010/08/08,456512442
2010/08/09,468776238
2010/08/10,418574926
2010/08/11,1016602813
2010/08/12,740154841
2010/08/13,719409619
2010/08/14,1590110350
2010/08/15,2664779408
2010/08/16,271637563
2010/08/17,223237014
2010/08/18,-432300529
2010/08/19,-426582269
2010/08/20,205283908
2010/08/21,454667594
2010/08/22,-821740113
2010/08/23,1687250413
2010/08/24,1880698552
2010/08/25,2315171040
2010/08/26,1997087844
2010/08/27,1715889003
2010/08/28,884263206
2010/08/29,68710226
2010/08/30,-703795170
2010/08/31,-122593398
2010/09/01,-291389993
2010/09/02,-592377578
2010/09/03,-887909192
2010/09/04,-170236757
2010/09/05,311194235
2010/09/06,388700192
2010/09/07,-523302055
2010/09/08,147358201
2010/09/09,568450724
2010/09/10,701160932
2010/09/11,597774712
2010/09/12,790486198
2010/09/13,1137939248
2010/09/14,1784540142
2010/09/15,952303226
2010/09/16,1452135091
2010/09/17,2114675939
2010/09/18,1959346122
2010/09/19,3796494988
2010/09/20,3250977797
2010/09/21,2071138580
2010/09/22,1375065217
2010/09/23,2244188557
2010/09/24,2954120817
2010/09/25,2173930403
2010/09/26,-721760403
2010/09/27,624754814
2010/09/28,2155053954
2010/09/29,4756860318
2010/09/30,506952524
2010/10/01,-365941452
2010/10/02,-1850266240
2010/10/03,-1960174157
2010/10/04,-978058704
2010/10/05,-1843693474
2010/10/06,-2922284668
2010/10/07,1412811240
2010/10/08,187863314
2010/10/09,1983934854
2010/10/10,3703214829
2010/10/11,1964458601
2010/10/12,1937731320
2010/10/13,1730696674
2010/10/14,1783857127
2010/10/15,2687535033
2010/10/16,4541106253
2010/10/17,8222418750
2010/10/18,6775251784
2010/10/19,5435871179
2010/10/20,6041325950
2010/10/21,10728342385
2010/10/22,4141387637
2010/10/23,3419913638
2010/10/24,43247169
2010/10/25,4575615330
2010/10/26,7923159430
2010/10/27,7242548545
2010/10/28,-921578398
2010/10/29,7136058767
2010/10/30,7486687146
2010/10/31,13951754076
2010/11/01,4633738895
2010/11/02,2926812570
2010/11/03,4330316376
2010/11/04,7256047064
2010/11/05,7847046968
2010/11/06,6600145478
2010/11/07,3675811690
2010/11/08,11935129197
2010/11/09,19898357053
2010/11/10,14569571951
2010/11/11,20960266383
2010/11/12,10488333280
2010/11/13,11601453980
2010/11/14,17831918133
2010/11/15,11099014474
2010/11/16,-3722917842
2010/11/17,8515504166
2010/11/18,12793528583
2010/11/19,25967402628
2010/11/20,-1576409031
2010/11/21,-8781655719
2010/11/22,2214402405
2010/11/23,8037027120
2010/11/24,4273418227
2010/11/25,-9198676254
2010/11/26,-1385603948
2010/11/27,23544981384
2010/11/28,11666639707
2010/11/29,13688296995
2010/11/30,25544927508
2010/12/01,16537199102
2010/12/02,23960422292
2010/12/03,9099276450
2010/12/04,19892750256
2010/12/05,35623875912
2010/12/06,30859849629
2010/12/07,15608032007
2010/12/08,23582795851
2010/12/09,23400260875
2010/12/10,27632448673
2010/12/11,13316115625
2010/12/12,14337296217
2010/12/13,1126742618
2010/12/14,2041231020
2010/12/15,13283512078
2010/12/16,11694232535
2010/12/17,2739297063
2010/12/18,-853207271
2010/12/19,-4257225509
2010/12/20,10514634753
2010/12/21,17491335654
2010/12/22,18859928766
2010/12/23,-9211139478
2010/12/24,126337244
2010/12/25,14965617914
2010/12/26,5281268445
2010/12/27,3549060086
2010/12/28,13412466965
2010/12/29,-7003708503
2010/12/30,12966960103
2010/12/31,12914484322
2011/01/01,11812217955
2011/01/02,20505429726
2011/01/03,24104967791
2011/01/04,-7461060319
2011/01/05,-2152734760
2011/01/06,9425103518
2011/01/07,-1386684000
2011/01/08,18134321957
2011/01/09,-2213018065
2011/01/10,2661771393
2011/01/11,13913004011
2011/01/12,16976962231
2011/01/13,17182598897
2011/01/14,26586908730
2011/01/15,7915707092
2011/01/16,29173578612
2011/01/17,20573332292
2011/01/18,15697698127
2011/01/19,10265935775
2011/01/20,14170895690
2011/01/21,28540428944
2011/01/22,-4648661813
2011/01/23,3628858413
2011/01/24,658175055
2011/01/25,3406424616
2011/01/26,20684711270
2011/01/27,17693932228
2011/01/28,84714567
2011/01/29,20895376469
2011/01/30,18942598970
2011/01/31,6922441001
2011/02/01,43747867630
2011/02/02,8952946415
2011/02/03,-4762669523
2011/02/04,20766565394
2011/02/05,42092659115
2011/02/06,16429741253
2011/02/07,39521277092
2011/02/08,41301895957
2011/02/09,54614278500
2011/02/10,71197405707
2011/02/11,47511379158
2011/02/12,42053729530
2011/02/13,59063901355
2011/02/14,49060634485
2011/02/15,32642189921
2011/02/16,56891119742
2011/02/17,76015106647
2011/02/18,127612194648
2011/02/19,80595657689
2011/02/20,80173108870
2011/02/21,94399402667
