Date,hashrate7std
2010/07/17,1575136351
2010/07/18,1279599117
2010/07/19,951133962
2010/07/20,913578197
2010/07/21,858466208
2010/07/22,797199566
2010/07/23,800182995
2010/07/24,135302896
2010/07/25,201125244
2010/07/26,382842766
2010/07/27,555287182
2010/07/28,534102045
2010/07/29,504232824
2010/07/30,459989253
2010/07/31,336805336
2010/08/01,432055334
2010/08/02,661193575
2010/08/03,762140695
2010/08/04,668878104
2010/08/05,663170323
2010/08/06,591780521
2010/08/07,425528996
2010/08/08,409514519
2010/08/09,537194589
2010/08/10,562943650
2010/08/11,651588140
2010/08/12,786321183
2010/08/13,871397207
2010/08/14,698894556
2010/08/15,1526152606
2010/08/16,1476690725
2010/08/17,1417982079
2010/08/18,1509776132
2010/08/19,1566220995
2010/08/20,1567118813
2010/08/21,1627187734
2010/08/22,1173896981
2010/08/23,1514591617
2010/08/24,1611106020
2010/08/25,1471474415
2010/08/26,1011504978
2010/08/27,745995926
2010/08/28,492786923
2010/08/29,453976832
2010/08/30,709425793
2010/08/31,709715280
2010/09/01,672082685
2010/09/02,730005639
2010/09/03,551837616
2010/09/04,484845762
2010/09/05,516927748
2010/09/06,392883193
2010/09/07,464269984
2010/09/08,516632111
2010/09/09,500453311
2010/09/10,532915028
2010/09/11,705349385
2010/09/12,873528433
2010/09/13,927141540
2010/09/14,777475510
2010/09/15,762688342
2010/09/16,750190658
2010/09/17,1123409740
2010/09/18,1335117666
2010/09/19,2400065858
2010/09/20,2573678290
2010/09/21,2380195858
2010/09/22,1977922110
2010/09/23,1615040604
2010/09/24,1957237853
2010/09/25,1799943434
2010/09/26,1747719910
2010/09/27,1837547806
2010/09/28,1948484398
2010/09/29,2166712489
2010/09/30,2023546656
2010/10/01,2011653078
2010/10/02,2521447208
2010/10/03,3208481791
2010/10/04,3236849134
2010/10/05,3141594941
2010/10/06,1896063042
2010/10/07,2353706796
2010/10/08,2407884056
2010/10/09,2329566408
2010/10/10,1567418170
2010/10/11,1493264250
2010/10/12,977274919
2010/10/13,706501233
2010/10/14,1547978107
2010/10/15,2030264207
2010/10/16,2747520147
2010/10/17,5414975795
2010/10/18,5866798123
2010/10/19,5256469437
2010/10/20,4471326116
2010/10/21,6173817266
2010/10/22,5138300269
2010/10/23,4385569764
2010/10/24,4389169856
2010/10/25,5086904554
2010/10/26,5511383387
2010/10/27,5646654360
2010/10/28,5478665255
2010/10/29,4825700123
2010/10/30,3975988801
2010/10/31,6742254317
2010/11/01,6376650114
2010/11/02,6244074728
2010/11/03,6288166649
2010/11/04,5369444582
2010/11/05,5198371269
2010/11/06,4674030795
2010/11/07,6421363436
2010/11/08,7883102345
2010/11/09,11744532434
2010/11/10,11771712774
2010/11/11,13285237514
2010/11/12,11632909462
2010/11/13,8673575864
2010/11/14,9833744810
2010/11/15,8281576240
2010/11/16,8804335552
2010/11/17,8903720842
2010/11/18,14048249672
2010/11/19,17683002671
2010/11/20,18214530933
2010/11/21,18930536899
2010/11/22,18846585459
2010/11/23,17365066498
2010/11/24,17384709468
2010/11/25,15696791542
2010/11/26,14913549801
2010/11/27,14470186324
2010/11/28,11755212857
2010/11/29,11943640403
2010/11/30,14652081333
2010/12/01,14610527081
2010/12/02,13478191695
2010/12/03,14238251715
2010/12/04,16987013951
2010/12/05,16246362319
2010/12/06,17001649724
2010/12/07,17354491813
2010/12/08,15585453975
2010/12/09,15497565540
2010/12/10,11367900983
2010/12/11,7911204903
2010/12/12,9430032351
2010/12/13,9263398063
2010/12/14,8401400962
2010/12/15,10005026292
2010/12/16,12758671358
2010/12/17,12945262031
2010/12/18,13150703154
2010/12/19,12844274969
2010/12/20,12391446204
2010/12/21,9788838717
2010/12/22,17880507481
2010/12/23,18056866379
2010/12/24,18049312188
2010/12/25,15914599785
2010/12/26,14843326272
2010/12/27,14607643198
2010/12/28,17280714134
2010/12/29,14386350330
2010/12/30,12557320724
2010/12/31,11012137800
2011/01/01,11817966593
2011/01/02,10544618156
2011/01/03,11673847495
2011/01/04,12603120840
2011/01/05,12908357059
2011/01/06,11927872269
2011/01/07,12291714182
2011/01/08,17829876775
