Date,mediantransactionvalue3momUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,4.858
2010/07/21,3.473
2010/07/22,0.625
2010/07/23,-4.291
2010/07/24,-3.391
2010/07/25,-0.596
2010/07/26,1.836
2010/07/27,-0.25
2010/07/28,-0.455
2010/07/29,-2.647
2010/07/30,0.689
2010/07/31,1.338
2010/08/01,3.049
2010/08/02,2.178
2010/08/03,-0.462
2010/08/04,-0.069
2010/08/05,-0.085
2010/08/06,-0.623
2010/08/07,-1.546
2010/08/08,-2.826
2010/08/09,3.314
2010/08/10,2.012
2010/08/11,3.024
2010/08/12,-0.12
2010/08/13,-0.175
2010/08/14,0.137
2010/08/15,-0.143
2010/08/16,1.327
2010/08/17,0.075
2010/08/18,0.142
2010/08/19,-1.237
2010/08/20,-0.083
2010/08/21,-0.152
2010/08/22,-0.09
2010/08/23,-0.032
2010/08/24,-0.05
2010/08/25,0.005
2010/08/26,-2.956
2010/08/27,-0.023
2010/08/28,-2.634
2010/08/29,0.032
2010/08/30,-2.977
2010/08/31,2.457
2010/09/01,0.337
2010/09/02,2.871
2010/09/03,3.06
2010/09/04,5.48
2010/09/05,-0.017
2010/09/06,-3.055
2010/09/07,-3.101
2010/09/08,-2.994
2010/09/09,-0.052
2010/09/10,-2.758
2010/09/11,0.136
2010/09/12,-2.976
2010/09/13,0.438
2010/09/14,2.855
2010/09/15,2.065
2010/09/16,2.35
2010/09/17,-0.102
2010/09/18,0.856
2010/09/19,1.919
2010/09/20,-2.252
2010/09/21,-2.844
2010/09/22,-4.978
2010/09/23,0.312
2010/09/24,1.044
2010/09/25,0.017
2010/09/26,-0.819
2010/09/27,-1.06
2010/09/28,2.388
2010/09/29,6.207
2010/09/30,1.064
2010/10/01,-1.672
2010/10/02,-6.322
2010/10/03,4.004
2010/10/04,16.644
2010/10/05,14.709
2010/10/06,-2.099
2010/10/07,-4.698
2010/10/08,-2.251
2010/10/09,9.054
2010/10/10,-3.092
2010/10/11,-6.298
2010/10/12,-8.046
2010/10/13,-4.699
2010/10/14,86.641
2010/10/15,58.168
2010/10/16,113.615
2010/10/17,-67.425
