Date,mediantransactionvalue3rsiUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,100
2010/07/21,71.853
2010/07/22,37.305
2010/07/23,35.125
2010/07/24,30.945
2010/07/25,31.361
2010/07/26,73.406
2010/07/27,36.179
2010/07/28,34.145
2010/07/29,34.153
2010/07/30,58.319
2010/07/31,67.566
2010/08/01,85.573
2010/08/02,85.643
2010/08/03,33.121
2010/08/04,64.555
2010/08/05,64.415
2010/08/06,27.247
2010/08/07,47.116
2010/08/08,32.582
2010/08/09,69.766
2010/08/10,67.795
2010/08/11,61.8
2010/08/12,66.274
2010/08/13,59.61
2010/08/14,60.875
2010/08/15,60.477
2010/08/16,88.432
2010/08/17,44.322
2010/08/18,46.378
2010/08/19,43.126
2010/08/20,40.137
2010/08/21,39.622
2010/08/22,37.46
2010/08/23,37.156
2010/08/24,32.727
2010/08/25,45.335
2010/08/26,1.69
2010/08/27,59.33
2010/08/28,33.329
2010/08/29,30.988
2010/08/30,29.914
2010/08/31,71.616
2010/09/01,40.795
2010/09/02,64.118
2010/09/03,79.367
2010/09/04,79.382
2010/09/05,40.464
2010/09/06,40.531
2010/09/07,39.921
2010/09/08,15.528
2010/09/09,55.855
2010/09/10,33.486
2010/09/11,33.037
2010/09/12,31.353
2010/09/13,47.469
2010/09/14,76.597
2010/09/15,57.265
2010/09/16,68.958
2010/09/17,66.167
2010/09/18,66.225
2010/09/19,88.245
2010/09/20,28.718
2010/09/21,25.196
2010/09/22,24.291
2010/09/23,48.171
2010/09/24,51.369
2010/09/25,29.394
2010/09/26,36.03
2010/09/27,33.515
2010/09/28,80.684
2010/09/29,93.227
2010/09/30,40.977
2010/10/01,38.311
2010/10/02,33.453
2010/10/03,73.354
2010/10/04,91.567
2010/10/05,75.254
2010/10/06,33.989
2010/10/07,60.567
2010/10/08,60.063
2010/10/09,57.79
2010/10/10,43.049
2010/10/11,28.631
2010/10/12,21.588
2010/10/13,31.083
2010/10/14,96.677
2010/10/15,64.575
2010/10/16,81.496
2010/10/17,37.299
2010/10/18,34.274
2010/10/19,30.113
2010/10/20,31.243
2010/10/21,31.452
