Date,mediantransactionvalue3wmaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0.377
2010/07/20,2.756
2010/07/21,3.691
2010/07/22,2.657
2010/07/23,1.398
2010/07/24,0.67
2010/07/25,0.513
2010/07/26,1.552
2010/07/27,1.057
2010/07/28,0.508
2010/07/29,0.035
2010/07/30,0.444
2010/07/31,0.966
2010/08/01,2.121
2010/08/02,2.772
2010/08/03,1.969
2010/08/04,2.295
2010/08/05,2.63
2010/08/06,1.618
2010/08/07,1.301
2010/08/08,0.598
2010/08/09,2.075
2010/08/10,2.94
2010/08/11,3.333
2010/08/12,3.358
2010/08/13,3.317
2010/08/14,3.323
2010/08/15,3.304
2010/08/16,3.956
2010/08/17,3.779
2010/08/18,3.621
2010/08/19,3.397
2010/08/20,3.349
2010/08/21,3.311
2010/08/22,3.287
2010/08/23,3.278
2010/08/24,3.261
2010/08/25,3.268
2010/08/26,1.793
2010/08/27,2.265
2010/08/28,1.451
2010/08/29,0.927
2010/08/30,0.348
2010/08/31,1.692
2010/09/01,1.419
2010/09/02,2.306
2010/09/03,4.235
2010/09/04,5.657
2010/09/05,4.634
2010/09/06,3.616
2010/09/07,3.085
2010/09/08,1.594
2010/09/09,2.075
2010/09/10,1.19
2010/09/11,0.734
2010/09/12,0.172
2010/09/13,0.44
2010/09/14,1.811
2010/09/15,2.229
2010/09/16,2.779
2010/09/17,2.888
2010/09/18,3.015
2010/09/19,4.007
2010/09/20,2.544
2010/09/21,1.162
2010/09/22,0.194
2010/09/23,0.567
2010/09/24,0.958
2010/09/25,0.602
2010/09/26,0.337
2010/09/27,0.158
2010/09/28,1.307
2010/09/29,4.059
2010/09/30,3.157
2010/10/01,1.86
2010/10/02,0.518
2010/10/03,2.773
2010/10/04,10.463
2010/10/05,14.088
2010/10/06,9.4
2010/10/07,9.866
2010/10/08,11.047
2010/10/09,12.394
2010/10/10,10.963
2010/10/11,8.377
2010/10/12,5.756
2010/10/13,4.882
2010/10/14,48.79
2010/10/15,62.937
2010/10/16,95.518
2010/10/17,62.644
2010/10/18,35.959
2010/10/19,11.355
2010/10/20,6.368
2010/10/21,4.867
