Date,mining_profitability14rsi
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,59.035
2010/08/01,57.131
2010/08/02,55.208
2010/08/03,54.09
2010/08/04,56.128
2010/08/05,51.384
2010/08/06,46.689
2010/08/07,49.438
2010/08/08,50.426
2010/08/09,49.676
2010/08/10,51.113
2010/08/11,50.977
2010/08/12,50.578
2010/08/13,49.206
2010/08/14,53.541
2010/08/15,43.656
2010/08/16,44.598
2010/08/17,44.254
2010/08/18,45.987
2010/08/19,45.318
2010/08/20,48.211
2010/08/21,44.693
2010/08/22,46.912
2010/08/23,45.66
2010/08/24,45.639
2010/08/25,45.241
2010/08/26,45.025
2010/08/27,41.055
2010/08/28,41.923
2010/08/29,42.768
2010/08/30,42.633
2010/08/31,43.74
2010/09/01,41.05
2010/09/02,42.984
2010/09/03,43.246
2010/09/04,44.111
2010/09/05,42.323
2010/09/06,42.536
2010/09/07,44.412
2010/09/08,41.97
2010/09/09,38.361
2010/09/10,44.686
2010/09/11,41.943
2010/09/12,43.464
2010/09/13,42.502
2010/09/14,46.029
2010/09/15,42.041
2010/09/16,47.765
2010/09/17,43.116
2010/09/18,46.05
2010/09/19,40.213
2010/09/20,40.694
2010/09/21,39.79
2010/09/22,42.163
2010/09/23,45.831
2010/09/24,42.1
2010/09/25,41.46
2010/09/26,43.499
2010/09/27,44.05
2010/09/28,41.098
2010/09/29,35.589
2010/09/30,38.403
2010/10/01,38.181
2010/10/02,35.764
2010/10/03,42.177
2010/10/04,42.118
2010/10/05,39.504
2010/10/06,44.876
2010/10/07,42.186
2010/10/08,46.173
2010/10/09,51.042
2010/10/10,54.249
2010/10/11,50.06
2010/10/12,50.302
2010/10/13,53.839
2010/10/14,56.257
2010/10/15,50.096
2010/10/16,57.071
2010/10/17,50.72
2010/10/18,50.629
2010/10/19,52.798
2010/10/20,51.979
2010/10/21,39.724
2010/10/22,42.373
2010/10/23,44.322
