Date,mining_profitability30mom
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,0
2010/08/16,-27264
2010/08/17,-278625
2010/08/18,-343498
2010/08/19,-300367
2010/08/20,-306102
2010/08/21,-212035
2010/08/22,-180026
2010/08/23,-200760
2010/08/24,-192174
2010/08/25,-164039
2010/08/26,-74374
2010/08/27,-147934
2010/08/28,-179292
2010/08/29,-171960
2010/08/30,-195087
2010/08/31,-165458
2010/09/01,-156834
2010/09/02,-134608
2010/09/03,-163437
2010/09/04,-102355
2010/09/05,-47166
2010/09/06,-81690
2010/09/07,-88129
2010/09/08,-89318
2010/09/09,-122292
2010/09/10,-100704
2010/09/11,-108645
2010/09/12,-90639
2010/09/13,-136558
2010/09/14,-22345
2010/09/15,-46525
2010/09/16,-24702
2010/09/17,-57714
2010/09/18,-41736
2010/09/19,-89692
2010/09/20,-56147
2010/09/21,-77061
2010/09/22,-59628
2010/09/23,-48906
2010/09/24,-59511
2010/09/25,-60349
2010/09/26,-25460
2010/09/27,-28719
2010/09/28,-42590
2010/09/29,-62171
2010/09/30,-60769
2010/10/01,-45583
2010/10/02,-62455
2010/10/03,-49396
2010/10/04,-52925
2010/10/05,-52400
2010/10/06,-41341
2010/10/07,-55408
2010/10/08,-36121
2010/10/09,-7724
2010/10/10,-19180
2010/10/11,-17567
2010/10/12,-21816
2010/10/13,-9054
2010/10/14,-13337
2010/10/15,-11949
2010/10/16,-10747
2010/10/17,-8473
2010/10/18,-18181
2010/10/19,12256
2010/10/20,8889
2010/10/21,-22296
2010/10/22,-22562
2010/10/23,-28416
2010/10/24,-6627
2010/10/25,-13452
2010/10/26,1424
2010/10/27,2725
