Date,mining_profitability30sma
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,261479
2010/08/16,260570
2010/08/17,251283
2010/08/18,239833
2010/08/19,229820
2010/08/20,219617
2010/08/21,212549
2010/08/22,206548
2010/08/23,199856
2010/08/24,193451
2010/08/25,187983
2010/08/26,185503
2010/08/27,180572
2010/08/28,174596
2010/08/29,168864
2010/08/30,162361
2010/08/31,156846
2010/09/01,151618
2010/09/02,147131
2010/09/03,141683
2010/09/04,138271
2010/09/05,136699
2010/09/06,133976
2010/09/07,131038
2010/09/08,128061
2010/09/09,123985
2010/09/10,120628
2010/09/11,117006
2010/09/12,113985
2010/09/13,109433
2010/09/14,108688
2010/09/15,107138
2010/09/16,106314
2010/09/17,104390
2010/09/18,102999
2010/09/19,100009
2010/09/20,98138
2010/09/21,95569
2010/09/22,93582
2010/09/23,91951
2010/09/24,89968
2010/09/25,87956
2010/09/26,87107
2010/09/27,86150
2010/09/28,84730
2010/09/29,82658
2010/09/30,80632
2010/10/01,79113
2010/10/02,77031
2010/10/03,75385
2010/10/04,73620
2010/10/05,71874
2010/10/06,70496
2010/10/07,68649
2010/10/08,67445
2010/10/09,67187
2010/10/10,66548
2010/10/11,65962
2010/10/12,65235
2010/10/13,64933
2010/10/14,64489
2010/10/15,64090
2010/10/16,63732
2010/10/17,63450
2010/10/18,62844
2010/10/19,63252
2010/10/20,63549
2010/10/21,62805
2010/10/22,62053
2010/10/23,61106
2010/10/24,60885
2010/10/25,60437
2010/10/26,60484
2010/10/27,60575
2010/10/28,61430
2010/10/29,62889
2010/10/30,64488
2010/10/31,64691
2010/11/01,65559
2010/11/02,65925
2010/11/03,66326
