Date,mining_profitability30var
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,8344621223
2010/08/16,8563384178
2010/08/17,8440879102
2010/08/18,6971483961
2010/08/19,6033914363
2010/08/20,4339885617
2010/08/21,4162619070
2010/08/22,3921024344
2010/08/23,3572781254
2010/08/24,3212797306
2010/08/25,3028083414
2010/08/26,3154724081
2010/08/27,3299052004
2010/08/28,3165751847
2010/08/29,2963119681
2010/08/30,2514670040
2010/08/31,2175498069
2010/09/01,2010095838
2010/09/02,1850785907
2010/09/03,1434540870
2010/09/04,1329203748
2010/09/05,1386667978
2010/09/06,1376506696
2010/09/07,1293556640
2010/09/08,1249465562
2010/09/09,1158951140
2010/09/10,996674436
2010/09/11,853929187
2010/09/12,739851400
2010/09/13,359952217
2010/09/14,363012609
2010/09/15,375857311
2010/09/16,369052539
2010/09/17,354565536
2010/09/18,335361844
2010/09/19,285549414
2010/09/20,302548336
2010/09/21,280553305
2010/09/22,262854543
2010/09/23,225537598
2010/09/24,206206184
2010/09/25,186579702
2010/09/26,196467295
2010/09/27,200100807
2010/09/28,209499350
2010/09/29,260187827
2010/09/30,278043351
2010/10/01,311561567
2010/10/02,351018184
2010/10/03,351066472
2010/10/04,339523483
2010/10/05,351121422
2010/10/06,338710212
2010/10/07,319186828
2010/10/08,304285100
2010/10/09,301812752
2010/10/10,276663173
2010/10/11,265930867
2010/10/12,247679963
2010/10/13,238295115
2010/10/14,216551665
2010/10/15,208390220
2010/10/16,187453573
2010/10/17,180430391
2010/10/18,159229778
2010/10/19,165822383
2010/10/20,170268281
2010/10/21,187690503
2010/10/22,194453644
2010/10/23,186930378
2010/10/24,186149470
