Date,mining_profitability7ema
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,369222
2010/07/24,359317
2010/07/25,349697
2010/07/26,334680
2010/07/27,300607
2010/07/28,286048
2010/07/29,284131
2010/07/30,281945
2010/07/31,285868
2010/08/01,282671
2010/08/02,274120
2010/08/03,264198
2010/08/04,264231
2010/08/05,249821
2010/08/06,223064
2010/08/07,211810
2010/08/08,206530
2010/08/09,200301
2010/08/10,199793
2010/08/11,199052
2010/08/12,197501
2010/08/13,193050
2010/08/14,200217
2010/08/15,179707
2010/08/16,166539
2010/08/17,155706
2010/08/18,151273
2010/08/19,146321
2010/08/20,148411
2010/08/21,141960
2010/08/22,141386
2010/08/23,138250
2010/08/24,135854
2010/08/25,133287
2010/08/26,130969
2010/08/27,121836
2010/08/28,116150
2010/08/29,112968
2010/08/30,110364
2010/08/31,109679
2010/09/01,105167
2010/09/02,103831
2010/09/03,103096
2010/09/04,103381
2010/09/05,101443
2010/09/06,100172
2010/09/07,100769
2010/09/08,98651
2010/09/09,92983
2010/09/10,93769
2010/09/11,91377
2010/09/12,90797
2010/09/13,89387
2010/09/14,90999
2010/09/15,88377
2010/09/16,90909
2010/09/17,88247
2010/09/18,88617
2010/09/19,82710
2010/09/20,78647
2010/09/21,74637
2010/09/22,73281
2010/09/23,74900
2010/09/24,72694
2010/09/25,70437
2010/09/26,70072
2010/09/27,70147
2010/09/28,67819
2010/09/29,60959
2010/09/30,57432
2010/10/01,54587
2010/10/02,50282
2010/10/03,50586
2010/10/04,50767
2010/10/05,48882
2010/10/06,50416
2010/10/07,49600
2010/10/08,51244
2010/10/09,55497
2010/10/10,60859
2010/10/11,62303
2010/10/12,63537
2010/10/13,66679
2010/10/14,70633
2010/10/15,70115
2010/10/16,74526
2010/10/17,73841
2010/10/18,73268
2010/10/19,74262
2010/10/20,74534
2010/10/21,65977
2010/10/22,61146
2010/10/23,58695
2010/10/24,58884
2010/10/25,56716
2010/10/26,60137
2010/10/27,63377
2010/10/28,69157
2010/10/29,72903
2010/10/30,78383
2010/10/31,71820
