Date,mining_profitability7roc
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,113.614
2010/07/25,-20.156
2010/07/26,-39.846
2010/07/27,-54.059
2010/07/28,-47.4
2010/07/29,-16.812
2010/07/30,-13.859
2010/07/31,-9.698
2010/08/01,-14.885
2010/08/02,-14.211
2010/08/03,18.168
2010/08/04,9.059
2010/08/05,-25.788
2010/08/06,-48.148
2010/08/07,-40.179
2010/08/08,-30.171
2010/08/09,-26.907
2010/08/10,-15.425
2010/08/11,-25.536
2010/08/12,-6.653
2010/08/13,25.842
2010/08/14,24.527
2010/08/15,-38.026
2010/08/16,-30.052
2010/08/17,-37.858
2010/08/18,-29.902
2010/08/19,-31.83
2010/08/20,-13.92
2010/08/21,-44.702
2010/08/22,18.181
2010/08/23,1.423
2010/08/24,4.428
2010/08/25,-8.978
2010/08/26,-5.667
2010/08/27,-38.948
2010/08/28,-19.18
2010/08/29,-25.948
2010/08/30,-20.406
2010/08/31,-16.354
2010/09/01,-27.036
2010/09/02,-19.507
2010/09/03,6.835
2010/09/04,5.194
2010/09/05,-7.54
2010/09/06,-6.037
2010/09/07,-4.703
2010/09/08,0.721
2010/09/09,-23.886
2010/09/10,-4.723
2010/09/11,-19.22
2010/09/12,-6.872
2010/09/13,-11.622
2010/09/14,-6.56
2010/09/15,-12.77
2010/09/16,29.65
2010/09/17,-16.505
2010/09/18,6.563
2010/09/19,-27.024
2010/09/20,-21.96
2010/09/21,-34.674
2010/09/22,-14.03
2010/09/23,-19.032
2010/09/24,-17.672
2010/09/25,-29.047
2010/09/26,6.136
2010/09/27,5.888
2010/09/28,-2.826
2010/09/29,-41.66
2010/09/30,-41.257
2010/10/01,-30.306
2010/10/02,-41.305
2010/10/03,-25.343
2010/10/04,-27.085
2010/10/05,-28.944
2010/10/06,36.252
2010/10/07,0.641
2010/10/08,21.983
2010/10/09,82.656
2010/10/10,49.423
2010/10/11,29.865
2010/10/12,55.549
2010/10/13,38.33
2010/10/14,74.952
2010/10/15,22.048
2010/10/16,28.576
2010/10/17,-6.705
