Date,mining_profitability7wma
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,381404
2010/07/24,371499
2010/07/25,353142
2010/07/26,329875
2010/07/27,290651
2010/07/28,270759
2010/07/29,267670
2010/07/30,265841
2010/07/31,271158
2010/08/01,271477
2010/08/02,267349
2010/08/03,261181
2010/08/04,261200
2010/08/05,246001
2010/08/06,217417
2010/08/07,202381
2010/08/08,194777
2010/08/09,187847
2010/08/10,187468
2010/08/11,188021
2010/08/12,189989
2010/08/13,189159
2010/08/14,197517
2010/08/15,178431
2010/08/16,164148
2010/08/17,150859
2010/08/18,143941
2010/08/19,137498
2010/08/20,139051
2010/08/21,133479
2010/08/22,135712
2010/08/23,134471
2010/08/24,133121
2010/08/25,130808
2010/08/26,128543
2010/08/27,119150
2010/08/28,113072
2010/08/29,108918
2010/08/30,105839
2010/08/31,104967
2010/09/01,100849
2010/09/02,99992
2010/09/03,100265
2010/09/04,101145
2010/09/05,99688
2010/09/06,98692
2010/09/07,99468
2010/09/08,97859
2010/09/09,92147
2010/09/10,92323
2010/09/11,89689
2010/09/12,88983
2010/09/13,87538
2010/09/14,89161
2010/09/15,87194
2010/09/16,90147
2010/09/17,87733
2010/09/18,88254
2010/09/19,82392
2010/09/20,77757
2010/09/21,72827
2010/09/22,70735
2010/09/23,71683
2010/09/24,69881
2010/09/25,67982
2010/09/26,68341
2010/09/27,68907
2010/09/28,66949
2010/09/29,59941
2010/09/30,55580
2010/10/01,52195
2010/10/02,47353
2010/10/03,46983
2010/10/04,47191
2010/10/05,46059
2010/10/06,48503
2010/10/07,48458
2010/10/08,50658
2010/10/09,55517
2010/10/10,61445
2010/10/11,63886
2010/10/12,65932
2010/10/13,69336
2010/10/14,73585
2010/10/15,73087
2010/10/16,76947
2010/10/17,76117
2010/10/18,75412
2010/10/19,75955
2010/10/20,75667
2010/10/21,66646
2010/10/22,60718
2010/10/23,56745
2010/10/24,56099
2010/10/25,53585
2010/10/26,56880
2010/10/27,61092
2010/10/28,68736
2010/10/29,74141
2010/10/30,80877
2010/10/31,75388
