Date,price3rsiUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,82.751
2010/07/21,78.603
2010/07/22,49.814
2010/07/23,35.999
2010/07/24,40.518
2010/07/25,29.869
2010/07/26,30.004
2010/07/27,55.661
2010/07/28,61.759
2010/07/29,78.286
2010/07/30,81.531
2010/07/31,82.018
2010/08/01,37.052
2010/08/02,38.921
2010/08/03,30.446
2010/08/04,27.895
2010/08/05,26.928
2010/08/06,68.931
2010/08/07,39.476
2010/08/08,40.326
2010/08/09,83.095
2010/08/10,89.059
2010/08/11,45.534
2010/08/12,68.573
2010/08/13,48.849
2010/08/14,53.178
2010/08/15,52.249
2010/08/16,36.059
2010/08/17,65.975
2010/08/18,72.924
2010/08/19,51.462
2010/08/20,39.208
2010/08/21,37.533
2010/08/22,31.479
2010/08/23,30.735
2010/08/24,22.053
2010/08/25,49.602
2010/08/26,24.972
2010/08/27,29.356
2010/08/28,32.323
2010/08/29,25.818
2010/08/30,55.219
2010/08/31,11.672
2010/09/01,24.58
2010/09/02,21.586
2010/09/03,11.172
2010/09/04,40.983
2010/09/05,47.249
2010/09/06,51.816
2010/09/07,27.515
2010/09/08,37.809
2010/09/09,26.613
2010/09/10,44.894
2010/09/11,79.947
2010/09/12,47.656
2010/09/13,55.497
2010/09/14,51.82
2010/09/15,32.351
2010/09/16,53.833
2010/09/17,17.539
2010/09/18,19.82
2010/09/19,66.052
2010/09/20,70.256
2010/09/21,80.011
2010/09/22,57.284
2010/09/23,55.579
2010/09/24,52.456
2010/09/25,50.335
2010/09/26,42.225
2010/09/27,54.858
2010/09/28,34.365
2010/09/29,38.662
2010/09/30,25.266
2010/10/01,47.499
2010/10/02,21.824
2010/10/03,10.51
2010/10/04,10.302
2010/10/05,38.576
2010/10/06,81.404
2010/10/07,96.339
2010/10/08,99.373
2010/10/09,99.716
2010/10/10,99.804
2010/10/11,88.398
2010/10/12,89.841
2010/10/13,93.321
2010/10/14,95.833
2010/10/15,87.996
2010/10/16,66.306
2010/10/17,73.621
2010/10/18,77.101
2010/10/19,35.249
2010/10/20,45.764
2010/10/21,66.793
2010/10/22,80.533
