Date,price3trxUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,-4.609
2010/07/25,-5.09
2010/07/26,-4.841
2010/07/27,-3.044
2010/07/28,-1.193
2010/07/29,1.057
2010/07/30,2.38
2010/07/31,2.611
2010/08/01,1.155
2010/08/02,0.146
2010/08/03,-0.572
2010/08/04,-0.9
2010/08/05,-0.928
2010/08/06,-0.26
2010/08/07,-0.262
2010/08/08,-0.306
2010/08/09,0.943
2010/08/10,2.219
2010/08/11,1.434
2010/08/12,1.712
2010/08/13,1.067
2010/08/14,0.651
2010/08/15,0.37
2010/08/16,-0.142
2010/08/17,0.238
2010/08/18,0.745
2010/08/19,0.595
2010/08/20,0.142
2010/08/21,-0.168
2010/08/22,-0.368
2010/08/23,-0.419
2010/08/24,-0.468
2010/08/25,-0.312
2010/08/26,-0.398
2010/08/27,-0.403
2010/08/28,-0.336
2010/08/29,-0.29
2010/08/30,-0.15
2010/08/31,-0.576
2010/09/01,-0.716
2010/09/02,-0.712
2010/09/03,-0.855
2010/09/04,-0.666
2010/09/05,-0.404
2010/09/06,-0.187
2010/09/07,-0.232
2010/09/08,-0.218
2010/09/09,-0.257
2010/09/10,-0.191
2010/09/11,0.159
2010/09/12,0.151
2010/09/13,0.141
2010/09/14,0.099
2010/09/15,-0.047
2010/09/16,-0.037
2010/09/17,-0.403
2010/09/18,-0.574
2010/09/19,-0.197
2010/09/20,0.148
2010/09/21,0.455
2010/09/22,0.417
2010/09/23,0.294
2010/09/24,0.174
2010/09/25,0.086
2010/09/26,0.016
2010/09/27,0.004
2010/09/28,-0.036
2010/09/29,-0.05
2010/09/30,-0.074
2010/10/01,-0.057
2010/10/02,-0.094
2010/10/03,-0.185
2010/10/04,-0.217
2010/10/05,-0.167
2010/10/06,0.042
2010/10/07,0.759
2010/10/08,3.459
2010/10/09,6.709
2010/10/10,8.325
2010/10/11,7.241
2010/10/12,5.658
2010/10/13,4.689
2010/10/14,4.32
2010/10/15,3.502
2010/10/16,2.33
2010/10/17,1.617
2010/10/18,1.202
