Date,price7rocUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,17.3
2010/07/25,-27.057
2010/07/26,-38.264
2010/07/27,-25.902
2010/07/28,-22.521
2010/07/29,-0.085
2010/07/30,17.132
2010/07/31,14.378
2010/08/01,15.243
2010/08/02,15.566
2010/08/03,3.448
2010/08/04,0.336
2010/08/05,-8.102
2010/08/06,-6.189
2010/08/07,-9.823
2010/08/08,-1.802
2010/08/09,7.682
2010/08/10,15
2010/08/11,6.454
2010/08/12,15.869
2010/08/13,5.39
2010/08/14,10.601
2010/08/15,10.334
2010/08/16,-2.441
2010/08/17,-1.812
2010/08/18,8.654
2010/08/19,-2.464
2010/08/20,0.916
2010/08/21,-0.453
2010/08/22,-0.975
2010/08/23,1.725
2010/08/24,-4.125
2010/08/25,-4.921
2010/08/26,-4.309
2010/08/27,-2.421
2010/08/28,-2.123
2010/08/29,-1.756
2010/08/30,-1.024
2010/08/31,-4.465
2010/09/01,-4.802
2010/09/02,-3.416
2010/09/03,-5.543
2010/09/04,-4.237
2010/09/05,-3.613
2010/09/06,-4.067
2010/09/07,-1.217
2010/09/08,-1.521
2010/09/09,-1.76
2010/09/10,0.78
2010/09/11,1.561
2010/09/12,-0.363
2010/09/13,-0.105
2010/09/14,1.134
2010/09/15,-0.081
2010/09/16,1.301
2010/09/17,-2.37
2010/09/18,-4.428
2010/09/19,0.008
2010/09/20,0.024
2010/09/21,1.419
2010/09/22,1.302
2010/09/23,0.493
2010/09/24,3.67
2010/09/25,3.525
2010/09/26,0.348
2010/09/27,0.048
2010/09/28,-1.503
2010/09/29,-0.474
2010/09/30,-0.619
2010/10/01,-0.346
2010/10/02,-0.765
2010/10/03,-1.233
2010/10/04,-1.424
2010/10/05,-0.856
2010/10/06,0.323
2010/10/07,5.306
2010/10/08,24.205
2010/10/09,43.413
2010/10/10,54.681
2010/10/11,51.849
2010/10/12,53.827
2010/10/13,58.475
2010/10/14,58.602
2010/10/15,33.255
2010/10/16,13.688
2010/10/17,7.652
2010/10/18,10.43
2010/10/19,4.288
