Date,sentbyaddress
2010/07/17,390
2010/07/18,424
2010/07/19,553
2010/07/20,632
2010/07/21,440
2010/07/22,412
2010/07/23,405
2010/07/24,645
2010/07/25,1793
2010/07/26,408
2010/07/27,419
2010/07/28,343
2010/07/29,367
2010/07/30,293
2010/07/31,263
2010/08/01,331
2010/08/02,335
2010/08/03,596
2010/08/04,465
2010/08/05,544
2010/08/06,369
2010/08/07,245
2010/08/08,387
2010/08/09,442
2010/08/10,299
2010/08/11,362
2010/08/12,353
2010/08/13,529
2010/08/14,355
2010/08/15,226
2010/08/16,449
2010/08/17,320
2010/08/18,387
2010/08/19,301
2010/08/20,385
2010/08/21,332
2010/08/22,324
2010/08/23,352
2010/08/24,336
2010/08/25,338
2010/08/26,314
2010/08/27,253
2010/08/28,311
2010/08/29,241
2010/08/30,316
2010/08/31,387
2010/09/01,365
2010/09/02,259
2010/09/03,315
2010/09/04,242
2010/09/05,296
2010/09/06,260
2010/09/07,245
2010/09/08,306
2010/09/09,313
2010/09/10,312
2010/09/11,280
2010/09/12,373
2010/09/13,457
2010/09/14,388
2010/09/15,430
2010/09/16,363
2010/09/17,319
2010/09/18,338
2010/09/19,311
2010/09/20,458
2010/09/21,899
2010/09/22,782
2010/09/23,663
2010/09/24,530
2010/09/25,563
2010/09/26,387
2010/09/27,649
2010/09/28,429
2010/09/29,912
2010/09/30,380
2010/10/01,613
2010/10/02,561
2010/10/03,455
2010/10/04,456
2010/10/05,454
2010/10/06,435
2010/10/07,347
2010/10/08,392
2010/10/09,440
2010/10/10,396
2010/10/11,372
2010/10/12,396
2010/10/13,408
2010/10/14,388
2010/10/15,372
2010/10/16,455
2010/10/17,479
2010/10/18,644
2010/10/19,1113
2010/10/20,842
2010/10/21,639
2010/10/22,710
2010/10/23,618
2010/10/24,626
2010/10/25,462
2010/10/26,620
2010/10/27,695
2010/10/28,593
2010/10/29,494
2010/10/30,417
2010/10/31,300
2010/11/01,354
2010/11/02,276
2010/11/03,354
2010/11/04,336
2010/11/05,444
2010/11/06,409
2010/11/07,438
2010/11/08,487
2010/11/09,393
2010/11/10,410
2010/11/11,379
2010/11/12,271
2010/11/13,334
2010/11/14,400
2010/11/15,4121
2010/11/16,3006
2010/11/17,453
2010/11/18,412
2010/11/19,357
2010/11/20,610
2010/11/21,528
2010/11/22,370
2010/11/23,369
2010/11/24,544
2010/11/25,611
2010/11/26,870
2010/11/27,474
2010/11/28,480
2010/11/29,469
2010/11/30,498
2010/12/01,589
2010/12/02,477
2010/12/03,410
2010/12/04,459
2010/12/05,454
2010/12/06,493
2010/12/07,644
2010/12/08,575
2010/12/09,524
2010/12/10,430
2010/12/11,708
2010/12/12,747
2010/12/13,766
2010/12/14,794
2010/12/15,772
2010/12/16,606
2010/12/17,514
2010/12/18,589
2010/12/19,620
2010/12/20,1027
2010/12/21,762
2010/12/22,799
2010/12/23,708
2010/12/24,626
2010/12/25,831
2010/12/26,773
2010/12/27,628
2010/12/28,789
2010/12/29,623
2010/12/30,718
2010/12/31,668
2011/01/01,823
2011/01/02,685
2011/01/03,956
2011/01/04,845
2011/01/05,1035
2011/01/06,775
2011/01/07,935
2011/01/08,1199
2011/01/09,1069
2011/01/10,1126
2011/01/11,1174
2011/01/12,974
2011/01/13,1083
2011/01/14,1041
2011/01/15,1107
2011/01/16,1130
2011/01/17,1025
2011/01/18,1054
2011/01/19,1157
2011/01/20,1137
2011/01/21,1411
2011/01/22,1594
2011/01/23,1318
2011/01/24,1585
2011/01/25,1075
2011/01/26,1171
2011/01/27,1058
2011/01/28,1339
2011/01/29,1615
2011/01/30,2802
2011/01/31,1672
2011/02/01,1266
2011/02/02,1076
2011/02/03,953
2011/02/04,1122
2011/02/05,1009
2011/02/06,1057
2011/02/07,1046
2011/02/08,1038
2011/02/09,1588
2011/02/10,2625
2011/02/11,2964
2011/02/12,2455
2011/02/13,2311
2011/02/14,2516
2011/02/15,2681
2011/02/16,2407
2011/02/17,2753
2011/02/18,2640
2011/02/19,2030
2011/02/20,2441
2011/02/21,2522
2011/02/22,2803
2011/02/23,2905
2011/02/24,2747
2011/02/25,2598
2011/02/26,2432
2011/02/27,2762
2011/02/28,2196
2011/03/01,3621
2011/03/02,2574
2011/03/03,3930
2011/03/04,2508
2011/03/05,2622
2011/03/06,2565
2011/03/07,2531
2011/03/08,3255
2011/03/09,2661
2011/03/10,2352
2011/03/11,2406
2011/03/12,2556
2011/03/13,2329
2011/03/14,2006
2011/03/15,2686
2011/03/16,2408
2011/03/17,2617
2011/03/18,2418
2011/03/19,2620
2011/03/20,3896
2011/03/21,3632
2011/03/22,3013
2011/03/23,5127
2011/03/24,3194
2011/03/25,3078
2011/03/26,3834
2011/03/27,3825
2011/03/28,3920
2011/03/29,3709
2011/03/30,2832
2011/03/31,3324
2011/04/01,2483
2011/04/02,2705
2011/04/03,2791
2011/04/04,3469
2011/04/05,3241
2011/04/06,2932
2011/04/07,2592
2011/04/08,2737
2011/04/09,2761
2011/04/10,2684
2011/04/11,2977
2011/04/12,3149
2011/04/13,3437
2011/04/14,5011
2011/04/15,3033
2011/04/16,3144
2011/04/17,3412
2011/04/18,4281
2011/04/19,4978
2011/04/20,4077
2011/04/21,3098
2011/04/22,3211
2011/04/23,3610
2011/04/24,3418
2011/04/25,3939
2011/04/26,4857
2011/04/27,6019
2011/04/28,4688
2011/04/29,5267
2011/04/30,6467
2011/05/01,5824
2011/05/02,4614
2011/05/03,4693
2011/05/04,4737
2011/05/05,5462
2011/05/06,5451
2011/05/07,5806
2011/05/08,4829
2011/05/09,5665
2011/05/10,5254
2011/05/11,5182
2011/05/12,5360
2011/05/13,6581
2011/05/14,7032
2011/05/15,6352
2011/05/16,7763
2011/05/17,7753
2011/05/18,9233
2011/05/19,8217
2011/05/20,8307
2011/05/21,8501
2011/05/22,8815
2011/05/23,9347
2011/05/24,9922
2011/05/25,10651
2011/05/26,11233
2011/05/27,8197
2011/05/28,8645
2011/05/29,8280
2011/05/30,9516
2011/05/31,10273
2011/06/01,11056
2011/06/02,11962
2011/06/03,13875
2011/06/04,14910
2011/06/05,14334
2011/06/06,16288
2011/06/07,14875
2011/06/08,19582
2011/06/09,20704
2011/06/10,19152
2011/06/11,18665
2011/06/12,21197
2011/06/13,19705
2011/06/14,23674
2011/06/15,21753
2011/06/16,22352
2011/06/17,19978
2011/06/18,19874
2011/06/19,20705
2011/06/20,19542
2011/06/21,18066
2011/06/22,20420
2011/06/23,18557
2011/06/24,19140
2011/06/25,17412
2011/06/26,17364
2011/06/27,21468
2011/06/28,19446
2011/06/29,17806
2011/06/30,17404
2011/07/01,17795
2011/07/02,14481
2011/07/03,15409
2011/07/04,17250
2011/07/05,16717
2011/07/06,18553
2011/07/07,15613
2011/07/08,15642
2011/07/09,13901
2011/07/10,14423
2011/07/11,17720
2011/07/12,14775
2011/07/13,16562
2011/07/14,16231
2011/07/15,14448
2011/07/16,15656
2011/07/17,14622
2011/07/18,15905
2011/07/19,15895
2011/07/20,15764
2011/07/21,14491
2011/07/22,15911
2011/07/23,13661
2011/07/24,14533
2011/07/25,16542
2011/07/26,15114
2011/07/27,14680
2011/07/28,15007
2011/07/29,13678
2011/07/30,11424
2011/07/31,14784
2011/08/01,14686
2011/08/02,15819
2011/08/03,13650
2011/08/04,14258
2011/08/05,13405
2011/08/06,11841
2011/08/07,12295
2011/08/08,13052
2011/08/09,16183
2011/08/10,15098
2011/08/11,13872
2011/08/12,12820
2011/08/13,13683
2011/08/14,13986
2011/08/15,14601
2011/08/16,16144
2011/08/17,13453
2011/08/18,13879
2011/08/19,13414
2011/08/20,12986
2011/08/21,13501
2011/08/22,14114
2011/08/23,13195
2011/08/24,13202
2011/08/25,12928
2011/08/26,13065
2011/08/27,11723
2011/08/28,10448
2011/08/29,13536
2011/08/30,13859
2011/08/31,13322
2011/09/01,12889
2011/09/02,12588
2011/09/03,11237
2011/09/04,13084
2011/09/05,12749
2011/09/06,14460
2011/09/07,12886
2011/09/08,11978
2011/09/09,13047
2011/09/10,11283
2011/09/11,11895
2011/09/12,12228
2011/09/13,11535
2011/09/14,11236
2011/09/15,11851
2011/09/16,11006
2011/09/17,10084
2011/09/18,11112
2011/09/19,11878
2011/09/20,13256
2011/09/21,12742
2011/09/22,10797
2011/09/23,11003
2011/09/24,10296
2011/09/25,9894
2011/09/26,10158
2011/09/27,10660
2011/09/28,10714
2011/09/29,9991
2011/09/30,10401
2011/10/01,9693
2011/10/02,9118
2011/10/03,11030
2011/10/04,10134
2011/10/05,10583
2011/10/06,10742
2011/10/07,10470
2011/10/08,9534
2011/10/09,9613
2011/10/10,10356
2011/10/11,10628
2011/10/12,10455
2011/10/13,8976
2011/10/14,10644
2011/10/15,10103
2011/10/16,8878
2011/10/17,10344
2011/10/18,8873
2011/10/19,9172
2011/10/20,8370
2011/10/21,9185
2011/10/22,9134
2011/10/23,9868
2011/10/24,10436
2011/10/25,9751
2011/10/26,9290
2011/10/27,8449
2011/10/28,9021
2011/10/29,9809
2011/10/30,8623
2011/10/31,9248
2011/11/01,9740
2011/11/02,9978
2011/11/03,9985
2011/11/04,11522
2011/11/05,10204
2011/11/06,8910
2011/11/07,9396
2011/11/08,10430
2011/11/09,11068
2011/11/10,11091
2011/11/11,9024
2011/11/12,9213
2011/11/13,9246
2011/11/14,10212
2011/11/15,10624
2011/11/16,10088
2011/11/17,8890
2011/11/18,9376
2011/11/19,7410
2011/11/20,7778
2011/11/21,7330
2011/11/22,8175
2011/11/23,8144
2011/11/24,7587
2011/11/25,8338
2011/11/26,7328
2011/11/27,7772
2011/11/28,9223
2011/11/29,10407
2011/11/30,10312
2011/12/01,9833
2011/12/02,9707
2011/12/03,8760
2011/12/04,8451
2011/12/05,9365
2011/12/06,11511
2011/12/07,9172
2011/12/08,8782
2011/12/09,8634
2011/12/10,8733
2011/12/11,8108
2011/12/12,7834
2011/12/13,8036
2011/12/14,8681
2011/12/15,7212
2011/12/16,7644
2011/12/17,7475
2011/12/18,7387
2011/12/19,9229
2011/12/20,9641
2011/12/21,8440
2011/12/22,8874
2011/12/23,8824
2011/12/24,7285
2011/12/25,8374
2011/12/26,8721
2011/12/27,8234
2011/12/28,7725
2011/12/29,8254
2011/12/30,7684
2011/12/31,7607
2012/01/01,7852
2012/01/02,8281
2012/01/03,8853
2012/01/04,8793
2012/01/05,10809
2012/01/06,10244
2012/01/07,9173
2012/01/08,9837
2012/01/09,9500
2012/01/10,10318
2012/01/11,10893
2012/01/12,9864
2012/01/13,10357
2012/01/14,10513
2012/01/15,9503
2012/01/16,10642
2012/01/17,10321
2012/01/18,10350
2012/01/19,10446
2012/01/20,10217
2012/01/21,9599
2012/01/22,8097
2012/01/23,9611
2012/01/24,10693
2012/01/25,11977
2012/01/26,10121
2012/01/27,9845
2012/01/28,9364
2012/01/29,9838
2012/01/30,9780
2012/01/31,10999
2012/02/01,10532
2012/02/02,11480
2012/02/03,11423
2012/02/04,11203
2012/02/05,10610
2012/02/06,9807
2012/02/07,10614
2012/02/08,10803
2012/02/09,11280
2012/02/10,11899
2012/02/11,10910
2012/02/12,10428
2012/02/13,11910
2012/02/14,13529
2012/02/15,13146
2012/02/16,13367
2012/02/17,10091
2012/02/18,10396
2012/02/19,9311
2012/02/20,10132
2012/02/21,10159
2012/02/22,11385
2012/02/23,12408
2012/02/24,11211
2012/02/25,10194
2012/02/26,9508
2012/02/27,10748
2012/02/28,11318
2012/02/29,11071
2012/03/01,11155
2012/03/02,12164
2012/03/03,8778
2012/03/04,11133
2012/03/05,11606
2012/03/06,10741
2012/03/07,11052
2012/03/08,11366
2012/03/09,11072
2012/03/10,9235
2012/03/11,9136
2012/03/12,10456
2012/03/13,12011
2012/03/14,11251
2012/03/15,10305
2012/03/16,10997
2012/03/17,11271
2012/03/18,9637
2012/03/19,10692
2012/03/20,11202
2012/03/21,11502
2012/03/22,11146
2012/03/23,9838
2012/03/24,10125
2012/03/25,9735
2012/03/26,10753
2012/03/27,10859
2012/03/28,11576
2012/03/29,11956
2012/03/30,10810
2012/03/31,10094
2012/04/01,8970
2012/04/02,10343
2012/04/03,12355
2012/04/04,11465
2012/04/05,10948
2012/04/06,10791
2012/04/07,9818
2012/04/08,9771
2012/04/09,10545
2012/04/10,12469
2012/04/11,12977
2012/04/12,13075
2012/04/13,11096
2012/04/14,12436
2012/04/15,11311
2012/04/16,13536
2012/04/17,12608
2012/04/18,13598
2012/04/19,12428
2012/04/20,13573
2012/04/21,11520
2012/04/22,10502
2012/04/23,11746
2012/04/24,12324
2012/04/25,12494
2012/04/26,13977
2012/04/27,11853
2012/04/28,11405
2012/04/29,11527
2012/04/30,14299
2012/05/01,14553
2012/05/02,14566
2012/05/03,16548
2012/05/04,16649
2012/05/05,15209
2012/05/06,14108
2012/05/07,19154
2012/05/08,18495
2012/05/09,19191
2012/05/10,15167
2012/05/11,19997
2012/05/12,17929
