Date,sentbyaddress14trx
2010/07/17,15.508
2010/07/18,13.249
2010/07/19,11.086
2010/07/20,9.201
2010/07/21,7.508
2010/07/22,6.02
2010/07/23,4.73
2010/07/24,3.707
2010/07/25,3.292
2010/07/26,2.756
2010/07/27,2.183
2010/07/28,1.589
2010/07/29,1.018
2010/07/30,0.464
2010/07/31,-0.067
2010/08/01,-0.54
2010/08/02,-0.957
2010/08/03,-1.236
2010/08/04,-1.454
2010/08/05,-1.594
2010/08/06,-1.733
2010/08/07,-1.906
2010/08/08,-2.045
2010/08/09,-2.134
2010/08/10,-2.233
2010/08/11,-2.311
2010/08/12,-2.371
2010/08/13,-2.345
2010/08/14,-2.323
2010/08/15,-2.356
2010/08/16,-2.329
2010/08/17,-2.313
2010/08/18,-2.272
2010/08/19,-2.25
2010/08/20,-2.2
2010/08/21,-2.154
2010/08/22,-2.111
2010/08/23,-2.057
2010/08/24,-2
2010/08/25,-1.94
2010/08/26,-1.888
2010/08/27,-1.874
2010/08/28,-1.852
2010/08/29,-1.861
2010/08/30,-1.846
2010/08/31,-1.772
2010/09/01,-1.668
2010/09/02,-1.607
2010/09/03,-1.542
2010/09/04,-1.519
2010/09/05,-1.489
2010/09/06,-1.476
2010/09/07,-1.482
2010/09/08,-1.458
2010/09/09,-1.408
2010/09/10,-1.34
2010/09/11,-1.281
2010/09/12,-1.164
2010/09/13,-0.953
2010/09/14,-0.731
2010/09/15,-0.483
2010/09/16,-0.275
2010/09/17,-0.135
2010/09/18,-0.032
2010/09/19,0.021
2010/09/20,0.144
2010/09/21,0.621
2010/09/22,1.212
2010/09/23,1.749
2010/09/24,2.115
2010/09/25,2.365
2010/09/26,2.403
2010/09/27,2.471
2010/09/28,2.405
2010/09/29,2.552
2010/09/30,2.486
2010/10/01,2.426
2010/10/02,2.336
2010/10/03,2.167
2010/10/04,1.955
2010/10/05,1.723
2010/10/06,1.479
2010/10/07,1.19
2010/10/08,0.911
2010/10/09,0.673
2010/10/10,0.449
2010/10/11,0.233
2010/10/12,0.042
2010/10/13,-0.117
2010/10/14,-0.258
2010/10/15,-0.389
2010/10/16,-0.465
2010/10/17,-0.488
2010/10/18,-0.39
2010/10/19,0.023
2010/10/20,0.483
2010/10/21,0.843
2010/10/22,1.149
2010/10/23,1.353
2010/10/24,1.479
2010/10/25,1.465
2010/10/26,1.437
2010/10/27,1.433
2010/10/28,1.392
2010/10/29,1.282
2010/10/30,1.096
2010/10/31,0.819
2010/11/01,0.522
2010/11/02,0.19
2010/11/03,-0.115
2010/11/04,-0.398
2010/11/05,-0.605
2010/11/06,-0.77
2010/11/07,-0.885
2010/11/08,-0.938
2010/11/09,-0.988
2010/11/10,-1.025
2010/11/11,-1.064
2010/11/12,-1.151
2010/11/13,-1.236
2010/11/14,-1.282
2010/11/15,0.517
2010/11/16,2.888
2010/11/17,4.149
2010/11/18,4.578
2010/11/19,4.453
2010/11/20,4.119
2010/11/21,3.646
2010/11/22,3.058
2010/11/23,2.433
2010/11/24,1.881
2010/11/25,1.423
2010/11/26,1.132
2010/11/27,0.818
2010/11/28,0.507
2010/11/29,0.207
2010/11/30,-0.063
2010/12/01,-0.271
2010/12/02,-0.467
2010/12/03,-0.669
2010/12/04,-0.849
2010/12/05,-1.008
2010/12/06,-1.13
2010/12/07,-1.167
2010/12/08,-1.168
2010/12/09,-1.16
2010/12/10,-1.18
2010/12/11,-1.111
2010/12/12,-0.967
2010/12/13,-0.769
2010/12/14,-0.531
2010/12/15,-0.285
2010/12/16,-0.11
2010/12/17,-0.027
2010/12/18,0.022
2010/12/19,0.058
2010/12/20,0.242
2010/12/21,0.409
2010/12/22,0.569
2010/12/23,0.679
2010/12/24,0.718
2010/12/25,0.785
2010/12/26,0.842
2010/12/27,0.833
2010/12/28,0.841
2010/12/29,0.795
2010/12/30,0.75
2010/12/31,0.689
2011/01/01,0.674
2011/01/02,0.638
2011/01/03,0.685
2011/01/04,0.742
2011/01/05,0.866
2011/01/06,0.932
2011/01/07,1.011
2011/01/08,1.18
2011/01/09,1.347
2011/01/10,1.518
2011/01/11,1.69
2011/01/12,1.783
2011/01/13,1.849
2011/01/14,1.875
2011/01/15,1.89
2011/01/16,1.897
2011/01/17,1.862
2011/01/18,1.805
2011/01/19,1.763
2011/01/20,1.721
2011/01/21,1.751
2011/01/22,1.866
2011/01/23,1.946
2011/01/24,2.062
2011/01/25,2.056
2011/01/26,1.992
2011/01/27,1.865
2011/01/28,1.769
2011/01/29,1.756
2011/01/30,2.063
2011/01/31,2.279
2011/02/01,2.327
2011/02/02,2.222
2011/02/03,1.999
2011/02/04,1.749
2011/02/05,1.469
2011/02/06,1.192
2011/02/07,0.927
2011/02/08,0.678
2011/02/09,0.559
2011/02/10,0.727
2011/02/11,1.132
2011/02/12,1.559
2011/02/13,1.94
2011/02/14,2.295
2011/02/15,2.629
2011/02/16,2.867
2011/02/17,3.077
2011/02/18,3.222
2011/02/19,3.208
2011/02/20,3.154
2011/02/21,3.08
2011/02/22,3.029
2011/02/23,2.998
2011/02/24,2.946
2011/02/25,2.856
2011/02/26,2.717
2011/02/27,2.591
2011/02/28,2.402
2011/03/01,2.352
2011/03/02,2.256
2011/03/03,2.288
2011/03/04,2.225
2011/03/05,2.114
2011/03/06,1.97
2011/03/07,1.804
2011/03/08,1.705
2011/03/09,1.586
2011/03/10,1.427
2011/03/11,1.254
2011/03/12,1.093
2011/03/13,0.923
2011/03/14,0.723
2011/03/15,0.578
2011/03/16,0.447
2011/03/17,0.351
2011/03/18,0.261
2011/03/19,0.198
2011/03/20,0.275
2011/03/21,0.413
2011/03/22,0.523
2011/03/23,0.804
2011/03/24,0.998
2011/03/25,1.111
2011/03/26,1.232
2011/03/27,1.345
2011/03/28,1.45
2011/03/29,1.522
2011/03/30,1.489
2011/03/31,1.43
2011/04/01,1.285
2011/04/02,1.111
2011/04/03,0.931
2011/04/04,0.809
2011/04/05,0.71
2011/04/06,0.604
2011/04/07,0.471
2011/04/08,0.338
2011/04/09,0.213
2011/04/10,0.092
2011/04/11,0.002
2011/04/12,-0.05
2011/04/13,-0.054
2011/04/14,0.097
2011/04/15,0.188
2011/04/16,0.243
2011/04/17,0.292
2011/04/18,0.4
2011/04/19,0.593
2011/04/20,0.76
2011/04/21,0.823
2011/04/22,0.825
2011/04/23,0.814
2011/04/24,0.78
2011/04/25,0.769
2011/04/26,0.838
2011/04/27,1.034
2011/04/28,1.2
2011/04/29,1.375
2011/04/30,1.623
2011/05/01,1.85
2011/05/02,1.962
2011/05/03,1.995
2011/05/04,1.973
2011/05/05,1.96
2011/05/06,1.945
2011/05/07,1.946
2011/05/08,1.89
2011/05/09,1.847
2011/05/10,1.785
2011/05/11,1.706
2011/05/12,1.625
2011/05/13,1.61
2011/05/14,1.655
2011/05/15,1.692
2011/05/16,1.791
2011/05/17,1.913
2011/05/18,2.11
2011/05/19,2.28
2011/05/20,2.418
2011/05/21,2.527
2011/05/22,2.616
2011/05/23,2.7
2011/05/24,2.79
2011/05/25,2.896
2011/05/26,3.016
2011/05/27,3.001
2011/05/28,2.916
2011/05/29,2.77
2011/05/30,2.635
2011/05/31,2.532
2011/06/01,2.474
2011/06/02,2.467
2011/06/03,2.546
2011/06/04,2.693
2011/06/05,2.841
2011/06/06,3.026
2011/06/07,3.164
2011/06/08,3.387
2011/06/09,3.655
2011/06/10,3.869
2011/06/11,4.003
2011/06/12,4.124
2011/06/13,4.172
2011/06/14,4.247
2011/06/15,4.267
2011/06/16,4.246
2011/06/17,4.138
2011/06/18,3.968
2011/06/19,3.777
2011/06/20,3.551
2011/06/21,3.284
2011/06/22,3.038
2011/06/23,2.782
2011/06/24,2.535
2011/06/25,2.276
2011/06/26,2.017
2011/06/27,1.83
2011/06/28,1.661
2011/06/29,1.485
2011/06/30,1.305
2011/07/01,1.135
2011/07/02,0.931
2011/07/03,0.727
2011/07/04,0.557
2011/07/05,0.409
2011/07/06,0.305
2011/07/07,0.194
2011/07/08,0.085
2011/07/09,-0.042
