Date,sentbyaddress14var
2010/07/17,2418867
2010/07/18,2393071
2010/07/19,2358432
2010/07/20,2312524
2010/07/21,2283306
2010/07/22,2256713
2010/07/23,2234048
2010/07/24,2184800
2010/07/25,2151765
2010/07/26,2066874
2010/07/27,2092598
2010/07/28,165523
2010/07/29,145942
2010/07/30,130854
2010/07/31,134598
2010/08/01,136558
2010/08/02,138736
2010/08/03,138175
2010/08/04,137989
2010/08/05,137384
2010/08/06,138035
2010/08/07,141060
2010/08/08,9182
2010/08/09,9380
2010/08/10,9763
2010/08/11,9694
2010/08/12,9730
2010/08/13,10578
2010/08/14,9414
2010/08/15,11193
2010/08/16,11104
2010/08/17,8488
2010/08/18,7964
2010/08/19,6056
2010/08/20,6096
2010/08/21,5169
2010/08/22,5245
2010/08/23,4750
2010/08/24,4544
2010/08/25,4568
2010/08/26,4687
2010/08/27,2817
2010/08/28,2811
2010/08/29,2602
2010/08/30,1546
2010/08/31,1823
2010/09/01,1666
2010/09/02,1929
2010/09/03,1628
2010/09/04,1977
2010/09/05,1976
2010/09/06,1972
2010/09/07,2084
2010/09/08,1959
2010/09/09,1956
2010/09/10,1846
2010/09/11,1851
2010/09/12,1978
2010/09/13,3520
2010/09/14,3530
2010/09/15,4274
2010/09/16,4090
2010/09/17,4084
2010/09/18,3523
2010/09/19,3456
2010/09/20,3925
2010/09/21,22531
2010/09/22,31424
2010/09/23,33688
2010/09/24,32380
2010/09/25,29979
2010/09/26,29756
2010/09/27,31241
2010/09/28,30663
2010/09/29,40657
2010/09/30,40239
2010/10/01,36510
2010/10/02,32568
2010/10/03,28385
2010/10/04,28423
2010/10/05,22000
2010/10/06,18960
2010/10/07,19795
2010/10/08,20708
2010/10/09,20646
2010/10/10,20514
2010/10/11,19478
2010/10/12,19765
2010/10/13,4938
2010/10/14,4878
2010/10/15,2659
2010/10/16,1260
2010/10/17,1446
2010/10/18,4930
2010/10/19,36276
2010/10/20,44991
2010/10/21,44133
2010/10/22,44844
2010/10/23,44232
2010/10/24,42371
2010/10/25,40287
2010/10/26,37654
2010/10/27,35315
2010/10/28,31344
2010/10/29,27775
2010/10/30,28886
2010/10/31,35114
2010/11/01,39973
2010/11/02,25808
2010/11/03,20978
2010/11/04,21539
2010/11/05,17858
2010/11/06,16356
2010/11/07,14127
2010/11/08,14239
2010/11/09,11951
2010/11/10,6462
2010/11/11,3829
2010/11/12,3884
2010/11/13,3859
2010/11/14,3517
2010/11/15,932063
2010/11/16,1281865
2010/11/17,1275620
2010/11/18,1270437
2010/11/19,1276035
2010/11/20,1266114
2010/11/21,1261197
2010/11/22,1268483
2010/11/23,1270124
2010/11/24,1262728
2010/11/25,1250086
2010/11/26,1221368
2010/11/27,1210798
2010/11/28,1205079
2010/11/29,431787
2010/11/30,16457
2010/12/01,16708
2010/12/02,16051
2010/12/03,15022
2010/12/04,14622
2010/12/05,14801
2010/12/06,13427
2010/12/07,12744
2010/12/08,12853
2010/12/09,12422
2010/12/10,3874
2010/12/11,6694
2010/12/12,10087
2010/12/13,13177
2010/12/14,16566
2010/12/15,19116
2010/12/16,18146
2010/12/17,16060
2010/12/18,14448
2010/12/19,12447
2010/12/20,21117
2010/12/21,21679
2010/12/22,21844
2010/12/23,19730
