Date,sentbyaddress3rsi
2010/07/17,34.687
2010/07/18,35.364
2010/07/19,38.969
2010/07/20,41.943
2010/07/21,35.616
2010/07/22,34.478
2010/07/23,34.07
2010/07/24,59.019
2010/07/25,88.969
2010/07/26,38.306
2010/07/27,38.722
2010/07/28,36.195
2010/07/29,38.108
2010/07/30,33.466
2010/07/31,31.158
2010/08/01,44.235
2010/08/02,45.154
2010/08/03,79.013
2010/08/04,53.942
2010/08/05,64.214
2010/08/06,36.882
2010/08/07,25.394
2010/08/08,51.398
2010/08/09,59.583
2010/08/10,35.963
2010/08/11,49.256
2010/08/12,47.159
2010/08/13,76.507
2010/08/14,41.953
2010/08/15,27.926
2010/08/16,61.395
2010/08/17,43.762
2010/08/18,54.045
2010/08/19,39.973
2010/08/20,56.549
2010/08/21,44.832
2010/08/22,42.823
2010/08/23,53.712
2010/08/24,46.175
2010/08/25,47.555
2010/08/26,32.539
2010/08/27,14.764
2010/08/28,52.09
2010/08/29,29.056
2010/08/30,58.529
2010/08/31,73.916
2010/09/01,63.044
2010/09/02,30.559
2010/09/03,50.693
2010/09/04,32.351
2010/09/05,51.73
2010/09/06,40.211
2010/09/07,35.299
2010/09/08,62.927
2010/09/09,65.465
2010/09/10,64.518
2010/09/11,38.085
2010/09/12,77.777
2010/09/13,88.107
2010/09/14,56.021
2010/09/15,66.995
2010/09/16,41.948
2010/09/17,30.658
2010/09/18,40.952
2010/09/19,31.108
2010/09/20,76.75
2010/09/21,94.16
2010/09/22,72.542
2010/09/23,53.725
2010/09/24,37.442
2010/09/25,43.783
2010/09/26,24.177
2010/09/27,62.087
2010/09/28,38.096
2010/09/29,72.76
2010/09/30,37.794
2010/10/01,52.721
2010/10/02,48.801
2010/10/03,39.761
2010/10/04,39.918
2010/10/05,39.608
2010/10/06,35.654
2010/10/07,21.053
2010/10/08,39.924
2010/10/09,56.544
2010/10/10,40.962
2010/10/11,33.426
2010/10/12,47.825
2010/10/13,55.107
2010/10/14,40.852
2010/10/15,31.175
2010/10/16,75.793
2010/10/17,81.106
2010/10/18,94.21
2010/10/19,98.537
2010/10/20,59.803
2010/10/21,41.481
2010/10/22,49.584
2010/10/23,39.069
2010/10/24,40.709
2010/10/25,22.274
2010/10/26,53.019
2010/10/27,63.344
2010/10/28,43.736
2010/10/29,30.15
2010/10/30,22.129
2010/10/31,13.776
2010/11/01,31.64
2010/11/02,21.837
2010/11/03,46.637
2010/11/04,42.021
2010/11/05,69.334
2010/11/06,56.415
2010/11/07,64.61
2010/11/08,76.032
2010/11/09,39.421
2010/11/10,46.42
2010/11/11,35.273
2010/11/12,15.643
2010/11/13,43.268
2010/11/14,62.544
2010/11/15,98.74
2010/11/16,68.839
2010/11/17,33.744
2010/11/18,33.334
2010/11/19,32.54
2010/11/20,42.066
2010/11/21,39.364
2010/11/22,33.199
2010/11/23,33.15
2010/11/24,51.895
2010/11/25,58.567
2010/11/26,77.036
2010/11/27,38.093
2010/11/28,38.796
2010/11/29,37.621
2010/11/30,44.294
2010/12/01,62.949
2010/12/02,38.899
2010/12/03,28.969
2010/12/04,44.509
2010/12/05,43.067
2010/12/06,58.718
2010/12/07,84.101
2010/12/08,59.166
2010/12/09,44.528
2010/12/10,26.442
2010/12/11,73.747
2010/12/12,76.876
2010/12/13,78.729
2010/12/14,81.929
2010/12/15,69.589
2010/12/16,25.728
2010/12/17,16.882
2010/12/18,41.484
2010/12/19,50.557
2010/12/20,87.803
2010/12/21,50.586
2010/12/22,54.615
2010/12/23,41.986
2010/12/24,31.988
2010/12/25,64.071
2010/12/26,53.384
2010/12/27,32.841
2010/12/28,59.072
2010/12/29,36.826
2010/12/30,52.26
2010/12/31,43.81
2011/01/01,67.925
2011/01/02,43.178
2011/01/03,72.592
2011/01/04,55.076
2011/01/05,72.261
2011/01/06,40.477
2011/01/07,57.666
2011/01/08,75.311
2011/01/09,57.583
2011/01/10,63.27
2011/01/11,68.589
2011/01/12,36.002
2011/01/13,53.905
2011/01/14,46.403
2011/01/15,59.643
2011/01/16,64.258
2011/01/17,36.037
2011/01/18,45.883
2011/01/19,70.268
2011/01/20,62.116
2011/01/21,88.805
2011/01/22,93.437
2011/01/23,48.262
2011/01/24,69.594
2011/01/25,31.904
2011/01/26,40.936
2011/01/27,33.169
2011/01/28,60.866
2011/01/29,75.702
2011/01/30,92.948
2011/01/31,46.161
2011/02/01,36.311
2011/02/02,31.58
2011/02/03,28.034
2011/02/04,41.56
2011/02/05,34.968
2011/02/06,40.937
2011/02/07,39.685
2011/02/08,38.404
2011/02/09,85.774
2011/02/10,95.519
2011/02/11,96.646
2011/02/12,61.703
2011/02/13,53.495
2011/02/14,63.783
2011/02/15,71.417
2011/02/16,46.829
2011/02/17,67.817
2011/02/18,56.828
2011/02/19,24.579
2011/02/20,52.069
2011/02/21,56.731
2011/02/22,71.272
2011/02/23,75.716
2011/02/24,55.698
2011/02/25,40.538
2011/02/26,27.864
2011/02/27,62.668
2011/02/28,27.961
2011/03/01,76.698
2011/03/02,43.937
2011/03/03,69.361
2011/03/04,40.483
2011/03/05,43.321
2011/03/06,41.825
2011/03/07,40.572
2011/03/08,69.635
2011/03/09,43.472
