Date,sentbyaddress3sma
2010/07/17,900
2010/07/18,638.333
2010/07/19,455.667
2010/07/20,536.333
2010/07/21,541.667
2010/07/22,494.667
2010/07/23,419
2010/07/24,487.333
2010/07/25,947.667
2010/07/26,948.667
2010/07/27,873.333
2010/07/28,390
2010/07/29,376.333
2010/07/30,334.333
2010/07/31,307.667
2010/08/01,295.667
2010/08/02,309.667
2010/08/03,420.667
2010/08/04,465.333
2010/08/05,535
2010/08/06,459.333
2010/08/07,386
2010/08/08,333.667
2010/08/09,358
2010/08/10,376
2010/08/11,367.667
2010/08/12,338
2010/08/13,414.667
2010/08/14,412.333
2010/08/15,370
2010/08/16,343.333
2010/08/17,331.667
2010/08/18,385.333
2010/08/19,336
2010/08/20,357.667
2010/08/21,339.333
2010/08/22,347
2010/08/23,336
2010/08/24,337.333
2010/08/25,342
2010/08/26,329.333
2010/08/27,301.667
2010/08/28,292.667
2010/08/29,268.333
2010/08/30,289.333
2010/08/31,314.667
2010/09/01,356
2010/09/02,337
2010/09/03,313
2010/09/04,272
2010/09/05,284.333
2010/09/06,266
2010/09/07,267
2010/09/08,270.333
2010/09/09,288
2010/09/10,310.333
2010/09/11,301.667
2010/09/12,321.667
2010/09/13,370
2010/09/14,406
2010/09/15,425
2010/09/16,393.667
2010/09/17,370.667
2010/09/18,340
2010/09/19,322.667
2010/09/20,369
2010/09/21,556
2010/09/22,713
2010/09/23,781.333
2010/09/24,658.333
2010/09/25,585.333
2010/09/26,493.333
2010/09/27,533
2010/09/28,488.333
2010/09/29,663.333
2010/09/30,573.667
2010/10/01,635
2010/10/02,518
2010/10/03,543
2010/10/04,490.667
2010/10/05,455
2010/10/06,448.333
2010/10/07,412
2010/10/08,391.333
2010/10/09,393
2010/10/10,409.333
2010/10/11,402.667
2010/10/12,388
2010/10/13,392
2010/10/14,397.333
2010/10/15,389.333
2010/10/16,405
2010/10/17,435.333
2010/10/18,526
2010/10/19,745.333
2010/10/20,866.333
2010/10/21,864.667
2010/10/22,730.333
2010/10/23,655.667
2010/10/24,651.333
2010/10/25,568.667
2010/10/26,569.333
2010/10/27,592.333
2010/10/28,636
2010/10/29,594
2010/10/30,501.333
2010/10/31,403.667
2010/11/01,357
2010/11/02,310
2010/11/03,328
2010/11/04,322
2010/11/05,378
2010/11/06,396.333
2010/11/07,430.333
2010/11/08,444.667
2010/11/09,439.333
2010/11/10,430
2010/11/11,394
2010/11/12,353.333
2010/11/13,328
2010/11/14,335
2010/11/15,1618
2010/11/16,2509
2010/11/17,2527
2010/11/18,1290
2010/11/19,407.333
2010/11/20,459.667
2010/11/21,498.333
2010/11/22,502.667
2010/11/23,422.333
2010/11/24,427.667
2010/11/25,508
2010/11/26,675
2010/11/27,651.667
2010/11/28,608
2010/11/29,474.333
2010/11/30,482.333
2010/12/01,518.667
2010/12/02,521.333
2010/12/03,492
2010/12/04,448.667
2010/12/05,441
2010/12/06,468.667
2010/12/07,530.333
2010/12/08,570.667
2010/12/09,581
2010/12/10,509.667
2010/12/11,554
2010/12/12,628.333
2010/12/13,740.333
2010/12/14,769
2010/12/15,777.333
2010/12/16,724
2010/12/17,630.667
2010/12/18,569.667
2010/12/19,574.333
2010/12/20,745.333
2010/12/21,803
2010/12/22,862.667
2010/12/23,756.333
2010/12/24,711
2010/12/25,721.667
2010/12/26,743.333
2010/12/27,744
2010/12/28,730
2010/12/29,680
2010/12/30,710
2010/12/31,669.667
2011/01/01,736.333
2011/01/02,725.333
2011/01/03,821.333
2011/01/04,828.667
2011/01/05,945.333
2011/01/06,885
2011/01/07,915
2011/01/08,969.667
2011/01/09,1068
2011/01/10,1131
2011/01/11,1123
2011/01/12,1091
2011/01/13,1077
2011/01/14,1033
2011/01/15,1077
2011/01/16,1093
2011/01/17,1087
2011/01/18,1070
2011/01/19,1079
2011/01/20,1116
2011/01/21,1235
2011/01/22,1381
2011/01/23,1441
2011/01/24,1499
2011/01/25,1326
2011/01/26,1277
2011/01/27,1101
2011/01/28,1189
2011/01/29,1337
2011/01/30,1919
2011/01/31,2030
2011/02/01,1913
2011/02/02,1338
2011/02/03,1098
2011/02/04,1050
2011/02/05,1028
2011/02/06,1063
2011/02/07,1037
2011/02/08,1047
2011/02/09,1224
2011/02/10,1750
2011/02/11,2392
2011/02/12,2681
2011/02/13,2577
2011/02/14,2427
2011/02/15,2503
2011/02/16,2535
2011/02/17,2614
2011/02/18,2600
2011/02/19,2474
2011/02/20,2370
2011/02/21,2331
2011/02/22,2589
2011/02/23,2743
2011/02/24,2818
2011/02/25,2750
2011/02/26,2592
2011/02/27,2597
2011/02/28,2463
2011/03/01,2860
2011/03/02,2797
2011/03/03,3375
2011/03/04,3004
2011/03/05,3020
2011/03/06,2565
2011/03/07,2573
2011/03/08,2784
2011/03/09,2816
2011/03/10,2756
2011/03/11,2473
2011/03/12,2438
2011/03/13,2430
2011/03/14,2297
2011/03/15,2340
2011/03/16,2367
2011/03/17,2570
2011/03/18,2481
2011/03/19,2552
2011/03/20,2978
2011/03/21,3383
2011/03/22,3514
2011/03/23,3924
2011/03/24,3778
2011/03/25,3800
2011/03/26,3369
2011/03/27,3579
2011/03/28,3860
2011/03/29,3818
2011/03/30,3487
2011/03/31,3288
2011/04/01,2880
2011/04/02,2837
2011/04/03,2660
2011/04/04,2988
2011/04/05,3167
2011/04/06,3214
2011/04/07,2922
2011/04/08,2754
2011/04/09,2697
2011/04/10,2727
2011/04/11,2807
2011/04/12,2937
2011/04/13,3188
2011/04/14,3866
2011/04/15,3827
2011/04/16,3729
2011/04/17,3196
2011/04/18,3612
2011/04/19,4224
2011/04/20,4445
2011/04/21,4051
2011/04/22,3462
2011/04/23,3306
2011/04/24,3413
2011/04/25,3656
2011/04/26,4071
2011/04/27,4938
2011/04/28,5188
2011/04/29,5325
2011/04/30,5474
2011/05/01,5853
2011/05/02,5635
2011/05/03,5044
2011/05/04,4681
2011/05/05,4964
2011/05/06,5217
2011/05/07,5573
2011/05/08,5362
2011/05/09,5433
2011/05/10,5249
2011/05/11,5367
2011/05/12,5265
2011/05/13,5708
2011/05/14,6324
2011/05/15,6655
2011/05/16,7049
2011/05/17,7289
2011/05/18,8250
2011/05/19,8401
2011/05/20,8586
2011/05/21,8342
2011/05/22,8541
2011/05/23,8888
2011/05/24,9361
2011/05/25,9973
2011/05/26,10602
2011/05/27,10027
2011/05/28,9358
2011/05/29,8374
2011/05/30,8814
2011/05/31,9356
2011/06/01,10282
2011/06/02,11097
2011/06/03,12298
2011/06/04,13582
2011/06/05,14373
2011/06/06,15177
2011/06/07,15166
2011/06/08,16915
2011/06/09,18387
2011/06/10,19813
2011/06/11,19507
2011/06/12,19671
2011/06/13,19856
2011/06/14,21525
2011/06/15,21711
2011/06/16,22593
2011/06/17,21361
2011/06/18,20735
2011/06/19,20186
2011/06/20,20040
2011/06/21,19438
2011/06/22,19343
2011/06/23,19014
2011/06/24,19372
2011/06/25,18370
2011/06/26,17972
2011/06/27,18748
2011/06/28,19426
2011/06/29,19573
2011/06/30,18219
2011/07/01,17668
2011/07/02,16560
2011/07/03,15895
2011/07/04,15713
2011/07/05,16459
2011/07/06,17507
2011/07/07,16961
2011/07/08,16603
2011/07/09,15052
2011/07/10,14655
2011/07/11,15348
2011/07/12,15639
2011/07/13,16352
2011/07/14,15856
2011/07/15,15747
2011/07/16,15445
2011/07/17,14909
2011/07/18,15394
2011/07/19,15474
2011/07/20,15855
2011/07/21,15383
2011/07/22,15389
2011/07/23,14688
2011/07/24,14702
2011/07/25,14912
2011/07/26,15396
2011/07/27,15445
2011/07/28,14934
2011/07/29,14455
2011/07/30,13370
2011/07/31,13295
2011/08/01,13631
2011/08/02,15096
2011/08/03,14718
2011/08/04,14576
2011/08/05,13771
2011/08/06,13168
2011/08/07,12514
2011/08/08,12396
2011/08/09,13843
2011/08/10,14778
2011/08/11,15051
2011/08/12,13930
2011/08/13,13458
2011/08/14,13496
2011/08/15,14090
2011/08/16,14910
2011/08/17,14733
2011/08/18,14492
2011/08/19,13582
2011/08/20,13426
2011/08/21,13300
2011/08/22,13534
2011/08/23,13603
2011/08/24,13504
2011/08/25,13108
2011/08/26,13065
2011/08/27,12572
2011/08/28,11745
2011/08/29,11902
2011/08/30,12614
2011/08/31,13572
2011/09/01,13357
2011/09/02,12933
2011/09/03,12238
2011/09/04,12303
2011/09/05,12357
2011/09/06,13431
2011/09/07,13365
2011/09/08,13108
2011/09/09,12637
2011/09/10,12103
2011/09/11,12075
2011/09/12,11802
2011/09/13,11886
2011/09/14,11666
2011/09/15,11541
2011/09/16,11364
2011/09/17,10980
2011/09/18,10734
2011/09/19,11025
2011/09/20,12082
2011/09/21,12625
2011/09/22,12265
2011/09/23,11514
2011/09/24,10699
2011/09/25,10398
2011/09/26,10116
2011/09/27,10237
2011/09/28,10511
2011/09/29,10455
2011/09/30,10369
2011/10/01,10028
2011/10/02,9737
2011/10/03,9947
2011/10/04,10094
2011/10/05,10582
2011/10/06,10486
2011/10/07,10598
2011/10/08,10249
2011/10/09,9872
2011/10/10,9834
2011/10/11,10199
2011/10/12,10480
2011/10/13,10020
2011/10/14,10025
2011/10/15,9908
2011/10/16,9875
2011/10/17,9775
2011/10/18,9365
2011/10/19,9463
2011/10/20,8805
2011/10/21,8909
2011/10/22,8896
2011/10/23,9396
2011/10/24,9813
2011/10/25,10018
2011/10/26,9826
2011/10/27,9163
2011/10/28,8920
2011/10/29,9093
2011/10/30,9151
2011/10/31,9227
2011/11/01,9204
2011/11/02,9655
2011/11/03,9901
2011/11/04,10495
2011/11/05,10570
2011/11/06,10212
2011/11/07,9503
2011/11/08,9579
2011/11/09,10298
2011/11/10,10863
2011/11/11,10394
2011/11/12,9776
2011/11/13,9161
2011/11/14,9557
2011/11/15,10027
2011/11/16,10308
2011/11/17,9867
2011/11/18,9451
2011/11/19,8559
2011/11/20,8188
2011/11/21,7506
2011/11/22,7761
2011/11/23,7883
2011/11/24,7969
2011/11/25,8023
2011/11/26,7751
2011/11/27,7813
2011/11/28,8108
2011/11/29,9134
2011/11/30,9981
2011/12/01,10184
2011/12/02,9951
2011/12/03,9433
2011/12/04,8973
2011/12/05,8859
2011/12/06,9776
2011/12/07,10016
2011/12/08,9822
2011/12/09,8863
2011/12/10,8716
2011/12/11,8492
2011/12/12,8225
2011/12/13,7993
2011/12/14,8184
2011/12/15,7976
2011/12/16,7846
2011/12/17,7444
2011/12/18,7502
2011/12/19,8030
2011/12/20,8752
2011/12/21,9103
2011/12/22,8985
2011/12/23,8713
2011/12/24,8328
2011/12/25,8161
2011/12/26,8127
2011/12/27,8443
2011/12/28,8227
2011/12/29,8071
2011/12/30,7888
2011/12/31,7848
2012/01/01,7714
2012/01/02,7913
2012/01/03,8329
2012/01/04,8642
2012/01/05,9485
2012/01/06,9949
2012/01/07,10075
2012/01/08,9751
2012/01/09,9503
2012/01/10,9885
2012/01/11,10237
2012/01/12,10358
2012/01/13,10371
2012/01/14,10245
2012/01/15,10124
2012/01/16,10219
2012/01/17,10155
2012/01/18,10438
2012/01/19,10372
2012/01/20,10338
2012/01/21,10087
2012/01/22,9304
2012/01/23,9102
2012/01/24,9467
2012/01/25,10760
2012/01/26,10930
2012/01/27,10648
2012/01/28,9777
2012/01/29,9682
2012/01/30,9661
2012/01/31,10206
2012/02/01,10437
2012/02/02,11004
2012/02/03,11145
2012/02/04,11369
2012/02/05,11079
2012/02/06,10540
2012/02/07,10344
2012/02/08,10408
2012/02/09,10899
2012/02/10,11327
2012/02/11,11363
2012/02/12,11079
2012/02/13,11083
2012/02/14,11956
2012/02/15,12862
2012/02/16,13347
2012/02/17,12201
2012/02/18,11285
2012/02/19,9933
2012/02/20,9946
2012/02/21,9867
2012/02/22,10559
2012/02/23,11317
2012/02/24,11668
2012/02/25,11271
2012/02/26,10304
2012/02/27,10150
2012/02/28,10525
2012/02/29,11046
2012/03/01,11181
2012/03/02,11463
2012/03/03,10699
2012/03/04,10692
2012/03/05,10506
2012/03/06,11160
2012/03/07,11133
2012/03/08,11053
2012/03/09,11163
2012/03/10,10558
2012/03/11,9814
2012/03/12,9609
2012/03/13,10534
2012/03/14,11239
2012/03/15,11189
2012/03/16,10851
2012/03/17,10858
2012/03/18,10635
2012/03/19,10533
2012/03/20,10510
2012/03/21,11132
2012/03/22,11283
2012/03/23,10829
2012/03/24,10370
2012/03/25,9899
2012/03/26,10204
2012/03/27,10449
2012/03/28,11063
2012/03/29,11464
2012/03/30,11447
2012/03/31,10953
2012/04/01,9958
2012/04/02,9802
2012/04/03,10556
2012/04/04,11388
2012/04/05,11589
2012/04/06,11068
2012/04/07,10519
2012/04/08,10127
2012/04/09,10045
2012/04/10,10928
2012/04/11,11997
2012/04/12,12840
2012/04/13,12383
2012/04/14,12202
2012/04/15,11614
2012/04/16,12428
2012/04/17,12485
2012/04/18,13247
2012/04/19,12878
2012/04/20,13200
2012/04/21,12507
2012/04/22,11865
2012/04/23,11256
2012/04/24,11524
2012/04/25,12188
2012/04/26,12932
2012/04/27,12775
2012/04/28,12412
2012/04/29,11595
2012/04/30,12410
2012/05/01,13460
2012/05/02,14473
2012/05/03,15222
2012/05/04,15921
2012/05/05,16135
2012/05/06,15322
2012/05/07,16157
2012/05/08,17252
2012/05/09,18947
2012/05/10,17618
2012/05/11,18118
2012/05/12,17698
2012/05/13,17932
2012/05/14,20153
2012/05/15,21323
2012/05/16,22429
2012/05/17,19298
2012/05/18,19084
2012/05/19,21265
2012/05/20,23380
2012/05/21,24479
2012/05/22,22961
2012/05/23,22704
2012/05/24,22017
2012/05/25,22720
2012/05/26,21688
2012/05/27,21209
2012/05/28,21126
2012/05/29,22915
2012/05/30,23339
2012/05/31,22835
2012/06/01,21923
2012/06/02,19648
2012/06/03,20805
2012/06/04,24124
2012/06/05,30175
2012/06/06,27815
2012/06/07,25632
2012/06/08,21528
2012/06/09,23542
2012/06/10,23976
2012/06/11,25273
2012/06/12,22847
2012/06/13,26183
2012/06/14,30753
2012/06/15,37415
2012/06/16,35444
2012/06/17,33026
2012/06/18,30888
2012/06/19,29414
2012/06/20,27048
2012/06/21,24335
2012/06/22,22701
2012/06/23,21889
2012/06/24,21599
2012/06/25,22805
2012/06/26,24806
2012/06/27,27538
2012/06/28,27359
2012/06/29,26492
2012/06/30,24759
2012/07/01,23850
2012/07/02,24740
2012/07/03,25128
2012/07/04,25420
2012/07/05,23099
2012/07/06,21844
2012/07/07,22389
2012/07/08,22295
2012/07/09,23185
2012/07/10,24711
2012/07/11,26764
2012/07/12,27241
2012/07/13,25142
2012/07/14,23856
2012/07/15,23019
2012/07/16,25021
2012/07/17,27876
2012/07/18,28871
2012/07/19,27920
2012/07/20,27076
2012/07/21,27722
2012/07/22,29343
2012/07/23,30411
2012/07/24,30065
2012/07/25,27749
2012/07/26,24980
2012/07/27,24269
2012/07/28,26223
2012/07/29,27113
2012/07/30,28071
2012/07/31,32702
2012/08/01,34067
2012/08/02,35275
2012/08/03,29920
2012/08/04,28611
2012/08/05,27653
2012/08/06,29421
2012/08/07,30852
2012/08/08,33882
2012/08/09,32497
2012/08/10,31870
2012/08/11,28923
2012/08/12,29327
2012/08/13,32232
2012/08/14,33079
2012/08/15,34943
2012/08/16,37599
2012/08/17,41164
2012/08/18,41988
2012/08/19,37763
2012/08/20,34453
2012/08/21,34908
2012/08/22,36074
2012/08/23,36401
2012/08/24,34311
2012/08/25,31356
2012/08/26,28960
2012/08/27,27592
2012/08/28,28092
2012/08/29,29637
2012/08/30,28918
2012/08/31,31634
2012/09/01,33050
2012/09/02,33092
2012/09/03,29342
2012/09/04,28207
2012/09/05,30168
2012/09/06,33454
2012/09/07,33460
2012/09/08,31126
2012/09/09,29177
2012/09/10,28254
2012/09/11,31023
2012/09/12,29871
2012/09/13,28922
2012/09/14,27157
2012/09/15,26038
2012/09/16,25273
2012/09/17,23687
2012/09/18,26008
2012/09/19,28466
2012/09/20,31553
2012/09/21,30185
2012/09/22,26528
2012/09/23,22470
2012/09/24,22031
2012/09/25,25941
2012/09/26,30165
2012/09/27,31755
2012/09/28,32410
2012/09/29,29534
2012/09/30,26985
2012/10/01,24121
2012/10/02,27453
2012/10/03,30081
2012/10/04,32850
2012/10/05,31893
2012/10/06,31436
2012/10/07,30246
2012/10/08,30853
2012/10/09,32755
2012/10/10,33488
2012/10/11,31657
2012/10/12,30115
2012/10/13,28620
2012/10/14,27747
2012/10/15,28435
2012/10/16,28903
2012/10/17,30286
2012/10/18,30270
2012/10/19,29568
2012/10/20,29179
2012/10/21,28007
2012/10/22,29105
2012/10/23,28566
2012/10/24,28845
2012/10/25,27809
2012/10/26,27345
2012/10/27,24610
2012/10/28,22242
2012/10/29,20517
2012/10/30,22272
2012/10/31,23823
2012/11/01,24223
2012/11/02,23501
2012/11/03,22822
2012/11/04,22520
2012/11/05,22968
2012/11/06,24637
2012/11/07,27603
2012/11/08,27853
2012/11/09,27153
2012/11/10,24450
2012/11/11,22860
2012/11/12,21749
2012/11/13,22313
2012/11/14,24226
2012/11/15,27951
2012/11/16,31437
2012/11/17,32940
2012/11/18,32240
2012/11/19,31092
2012/11/20,31237
2012/11/21,31119
2012/11/22,30653
2012/11/23,27845
2012/11/24,25952
2012/11/25,24435
2012/11/26,26185
2012/11/27,26771
2012/11/28,28523
2012/11/29,28386
2012/11/30,27823
2012/12/01,25727
2012/12/02,22604
2012/12/03,21200
2012/12/04,22279
2012/12/05,25856
2012/12/06,28527
2012/12/07,28945
2012/12/08,28420
2012/12/09,27671
2012/12/10,26288
2012/12/11,26030
2012/12/12,26946
2012/12/13,29804
2012/12/14,30834
2012/12/15,29621
2012/12/16,27558
2012/12/17,27937
2012/12/18,31608
2012/12/19,33367
2012/12/20,32099
2012/12/21,30823
2012/12/22,33993
2012/12/23,33879
2012/12/24,31716
