Date,sentbyaddress3std
2010/07/17,726.62
2010/07/18,654.898
2010/07/19,140.422
2010/07/20,171.459
2010/07/21,157.585
2010/07/22,195.56
2010/07/23,30.243
2010/07/24,223.048
2010/07/25,1211
2010/07/26,1210
2010/07/27,1301
2010/07/28,67.072
2010/07/29,63.442
2010/07/30,61.651
2010/07/31,87.412
2010/08/01,55.65
2010/08/02,66.077
2010/08/03,247.98
2010/08/04,213.106
2010/08/05,107.716
2010/08/06,143.111
2010/08/07,245.313
2010/08/08,126.252
2010/08/09,165.996
2010/08/10,117.791
2010/08/11,117.034
2010/08/12,55.642
2010/08/13,161.859
2010/08/14,165
2010/08/15,248.306
2010/08/16,182.825
2010/08/17,182.825
2010/08/18,105.354
2010/08/19,73.774
2010/08/20,80.155
2010/08/21,69.365
2010/08/22,54.136
2010/08/23,23.551
2010/08/24,22.94
2010/08/25,14.236
2010/08/26,21.746
2010/08/27,71.56
2010/08/28,56.151
2010/08/29,61.13
2010/08/30,68.475
2010/08/31,119.223
2010/09/01,59.352
2010/09/02,111.762
2010/09/03,86.595
2010/09/04,62.375
2010/09/05,61.846
2010/09/06,44.9
2010/09/07,42.802
2010/09/08,51.906
2010/09/09,61.079
2010/09/10,6.182
2010/09/11,30.652
2010/09/12,77.155
2010/09/13,144.582
2010/09/14,73.157
2010/09/15,56.78
2010/09/16,55.289
2010/09/17,91.277
2010/09/18,36.037
2010/09/19,22.647
2010/09/20,127.781
2010/09/21,499.704
2010/09/22,373.063
2010/09/23,192.695
2010/09/24,205.863
2010/09/25,113.094
2010/09/26,152.773
2010/09/27,218.089
2010/09/28,229.79
2010/09/29,394.888
2010/09/30,480.145
2010/10/01,435.489
2010/10/02,199.726
2010/10/03,131.494
2010/10/04,99.47
2010/10/05,1.633
2010/10/06,18.927
2010/10/07,93.224
2010/10/08,71.858
2010/10/09,75.947
2010/10/10,43.492
2010/10/11,56.317
2010/10/12,22.627
2010/10/13,29.933
2010/10/14,16.438
2010/10/15,29.454
2010/10/16,71.907
2010/10/17,91.685
2010/10/18,168.024
2010/10/19,537.129
2010/10/20,384.48
2010/10/21,388.345
2010/10/22,168.225
2010/10/23,78.729
2010/10/24,83.224
2010/10/25,150.991
2010/10/26,151.871
2010/10/27,194.226
2010/10/28,86.302
2010/10/29,164.122
2010/10/30,144.077
2010/10/31,159.519
2010/11/01,95.624
2010/11/02,65.238
2010/11/03,73.539
2010/11/04,66.693
2010/11/05,94.488
2010/11/06,89.983
2010/11/07,30.565
2010/11/08,64.381
2010/11/09,76.774
2010/11/10,81.796
2010/11/11,25.351
2010/11/12,119.156
2010/11/13,88.589
2010/11/14,105.338
2010/11/15,3540
2010/11/16,3118
2010/11/17,3071
2010/11/18,2427
2010/11/19,78.661
2010/11/20,217.294
2010/11/21,210.791
2010/11/22,199.207
2010/11/23,149.437
2010/11/24,164.522
2010/11/25,204.046
2010/11/26,281.145
2010/11/27,328.408
2010/11/28,370.556
2010/11/29,8.994
2010/11/30,23.907
2010/12/01,102.246
2010/12/02,97.219
2010/12/03,147.684
2010/12/04,56.624
2010/12/05,44.03
2010/12/06,34.654
2010/12/07,163.873
2010/12/08,123.443
2010/12/09,98.346
2010/12/10,120.115
2010/12/11,230.917
2010/12/12,282.287
2010/12/13,48.286
2010/12/14,38.609
2010/12/15,24.074
2010/12/16,167.841
2010/12/17,213.525
2010/12/18,79.939
2010/12/19,88.999
2010/12/20,399.14
2010/12/21,337.335
2010/12/22,234.358
2010/12/23,74.732
2010/12/24,141.318
2010/12/25,168.494
2010/12/26,172.56
2010/12/27,170.747
2010/12/28,144.84
2010/12/29,154.203
2010/12/30,136.01
2010/12/31,77.603
2011/01/01,129.185
2011/01/02,138.817
2011/01/03,221.283
2011/01/04,222.473
2011/01/05,155.866
2011/01/06,219.697
2011/01/07,214.165
2011/01/08,349.649
2011/01/09,215.563
2011/01/10,106.412
2011/01/11,85.837
2011/01/12,170.5
2011/01/13,163.52
2011/01/14,89.775
2011/01/15,54.553
2011/01/16,75.442
2011/01/17,90.131
2011/01/18,88.549
2011/01/19,113.282
2011/01/20,89.189
2011/01/21,249.437
2011/01/22,375.597
2011/01/23,229.312
2011/01/24,256.078
2011/01/25,416.567
2011/01/26,442.574
2011/01/27,99.497
2011/01/28,230.896
2011/01/29,454.795
2011/01/30,1269
2011/01/31,1093
2011/02/01,1300
2011/02/02,497.171
2011/02/03,257.508
2011/02/04,142.682
2011/02/05,140.58
2011/02/06,92.611
2011/02/07,41.064
2011/02/08,15.578
2011/02/09,514.815
2011/02/10,1316
2011/02/11,1171
2011/02/12,423.164
2011/02/13,560.248
2011/02/14,171.894
2011/02/15,302.692
2011/02/16,225.272
2011/02/17,298.125
2011/02/18,288.116
2011/02/19,635.12
2011/02/20,507.99
2011/02/21,430.785
2011/02/22,310.244
2011/02/23,323.903
2011/02/24,130.816
2011/02/25,250.7
2011/02/26,257.321
2011/02/27,269.446
2011/02/28,464.257
2011/03/01,1172
2011/03/02,1205
2011/03/03,1161
2011/03/04,1311
2011/03/05,1290
2011/03/06,93.081
2011/03/07,75.088
2011/03/08,667.144
2011/03/09,630.313
2011/03/10,749.437
2011/03/11,269.503
2011/03/12,172.604
2011/03/13,188.512
2011/03/14,451.348
2011/03/15,555.449
2011/03/16,558.286
2011/03/17,236.386
2011/03/18,192.506
2011/03/19,189.049
2011/03/20,1309
2011/03/21,1100
2011/03/22,740.134
2011/03/23,1775
2011/03/24,1913
2011/03/25,1880
2011/03/26,664.862
2011/03/27,708.559
2011/03/28,85.64
2011/03/29,172.565
2011/03/30,942.195
2011/03/31,717.842
2011/04/01,689.975
2011/04/02,711.72
2011/04/03,259.524
2011/04/04,683.382
2011/04/05,563.39
2011/04/06,440.118
2011/04/07,530.108
2011/04/08,278.608
2011/04/09,149.312
2011/04/10,64.339
2011/04/11,248.045
2011/04/12,383.932
2011/04/13,379.548
2011/04/14,1637
2011/04/15,1707
2011/04/16,1815
2011/04/17,318.18
2011/04/18,970.625
2011/04/19,1281
2011/04/20,771.5
2011/04/21,1535
2011/04/22,874.621
2011/04/23,439.249
2011/04/24,325.859
2011/04/25,430.269
2011/04/26,1190
2011/04/27,1702
2011/04/28,1183
2011/04/29,1090
2011/04/30,1482
2011/05/01,980.634
2011/05/02,1536
2011/05/03,1105
2011/05/04,101.775
2011/05/05,705.194
2011/05/06,678.411
2011/05/07,329.634
2011/05/08,807.586
2011/05/09,862.376
2011/05/10,682.623
2011/05/11,425.516
2011/05/12,146.217
2011/05/13,1244
2011/05/14,1413
2011/05/15,564.994
2011/05/16,1152
2011/05/17,1326
2011/05/18,1391
2011/05/19,1236
2011/05/20,918.412
2011/05/21,237.011
2011/05/22,418.62
2011/05/23,698.359
2011/05/24,904.089
2011/05/25,1067
2011/05/26,1073
2011/05/27,2631
2011/05/28,2676
2011/05/29,389.197
2011/05/30,1037
2011/05/31,1643
2011/06/01,1257
2011/06/02,1380
2011/06/03,2350
2011/06/04,2442
2011/06/05,846.872
2011/06/06,1640
2011/06/07,1648
2011/06/08,3944
2011/06/09,5050
2011/06/10,1309
2011/06/11,1739
2011/06/12,2194
2011/06/13,2078
2011/06/14,3274
2011/06/15,3241
2011/06/16,1605
2011/06/17,2016
2011/06/18,2289
2011/06/19,739.341
2011/06/20,978.287
2011/06/21,2160
2011/06/22,1943
2011/06/23,2028
2011/06/24,1556
2011/06/25,1436
2011/06/26,1652
2011/06/27,3847
2011/06/28,3351
2011/06/29,2995
2011/06/30,1766
2011/07/01,373.932
2011/07/02,2957
2011/07/03,2792
2011/07/04,2301
2011/07/05,1547
2011/07/06,1542
2011/07/07,2425
2011/07/08,2758
2011/07/09,1628
2011/07/10,1459
2011/07/11,3381
2011/07/12,2957
2011/07/13,2423
2011/07/14,1552
2011/07/15,1857
2011/07/16,1486
2011/07/17,1066
2011/07/18,1111
2011/07/19,1205
2011/07/20,128.482
2011/07/21,1266
2011/07/22,1275
2011/07/23,1858
2011/07/24,1853
2011/07/25,2413
2011/07/26,1688
2011/07/27,1591
2011/07/28,369.224
2011/07/29,1131
2011/07/30,2958
2011/07/31,2796
2011/08/01,3123
2011/08/02,1025
2011/08/03,1772
2011/08/04,1827
2011/08/05,717.185
2011/08/06,2002
2011/08/07,1314
2011/08/08,999.041
2011/08/09,3366
2011/08/10,2596
2011/08/11,1888
2011/08/12,1862
2011/08/13,915.835
2011/08/14,987.957
2011/08/15,763.838
2011/08/16,1815
2011/08/17,2205
2011/08/18,2362
2011/08/19,421.227
2011/08/20,729.34
2011/08/21,450.174
2011/08/22,922.166
2011/08/23,764.189
2011/08/24,863.161
2011/08/25,255.094
2011/08/26,223.72
2011/08/27,1206
2011/08/28,2137
2011/08/29,2534
2011/08/30,3075
2011/08/31,441.459
2011/09/01,793.518
2011/09/02,602.53
2011/09/03,1437
2011/09/04,1561
2011/09/05,1607
2011/09/06,1481
2011/09/07,1553
2011/09/08,2051
2011/09/09,941.192
2011/09/10,1451
2011/09/11,1463
2011/09/12,782.718
2011/09/13,565.975
2011/09/14,830.987
2011/09/15,502.209
2011/09/16,713.411
2011/09/17,1443
2011/09/18,923.304
2011/09/19,1470
2011/09/20,1774
2011/09/21,1137
2011/09/22,2118
2011/09/23,1745
2011/09/24,593.777
2011/09/25,916.839
2011/09/26,333.563
2011/09/27,635.42
2011/09/28,500.691
2011/09/29,657.675
2011/09/30,592.095
2011/10/01,580.486
2011/10/02,1049
2011/10/03,1602
2011/10/04,1562
2011/10/05,731.582
2011/10/06,514.909
2011/10/07,223.143
2011/10/08,1035
2011/10/09,847.686
2011/10/10,740.563
2011/10/11,857.971
2011/10/12,224.81
2011/10/13,1483
2011/10/14,1492
2011/10/15,1390
2011/10/16,1478
2011/10/17,1284
2011/10/18,1385
2011/10/19,1270
2011/10/20,661.854
2011/10/21,762.335
2011/10/22,745.512
2011/10/23,669.277
2011/10/24,1066
2011/10/25,598.345
2011/10/26,941.644
2011/10/27,1078
2011/10/28,701.372
2011/10/29,1115
2011/10/30,985.663
2011/10/31,968.835
2011/11/01,914.179
2011/11/02,607.95
2011/11/03,227.76
2011/11/04,1452
2011/11/05,1358
2011/11/06,2133
2011/11/07,1067
2011/11/08,1268
2011/11/09,1378
2011/11/10,612.642
2011/11/11,1938
2011/11/12,1866
2011/11/13,195.612
2011/11/14,926.702
2011/11/15,1155
2011/11/16,458.217
2011/11/17,1450
2011/11/18,983.948
2011/11/19,1672
2011/11/20,1707
2011/11/21,390.173
2011/11/22,690.358
2011/11/23,782.47
2011/11/24,540.351
2011/11/25,636.618
2011/11/26,856.656
2011/11/27,826.665
2011/11/28,1618
2011/11/29,2155
2011/11/30,1074
2011/12/01,502.413
2011/12/02,521.256
2011/12/03,957.778
2011/12/04,1069
2011/12/05,759.211
2011/12/06,2565
2011/12/07,2120
2011/12/08,2410
2011/12/09,453.847
2011/12/10,123.119
2011/12/11,548.575
2011/12/12,752.448
2011/12/13,231.962
2011/12/14,722.415
2011/12/15,1202
2011/12/16,1233
2011/12/17,355.499
2011/12/18,213.285
2011/12/19,1697
2011/12/20,1960
2011/12/21,996.587
2011/12/22,993.098
2011/12/23,387.764
2011/12/24,1475
2011/12/25,1292
2011/12/26,1224
2011/12/27,409.432
2011/12/28,813.297
2011/12/29,489.59
2011/12/30,519.154
2011/12/31,577.134
2012/01/01,204.59
2012/01/02,557.112
2012/01/03,820.088
2012/01/04,513.345
2012/01/05,1873
2012/01/06,1698
2012/01/07,1357
2012/01/08,882.82
2012/01/09,542.174
2012/01/10,671.335
2012/01/11,1143
2012/01/12,842.109
2012/01/13,840.419
2012/01/14,553.207
2012/01/15,887.882
2012/01/16,1019
2012/01/17,959.047
2012/01/18,289.939
2012/01/19,106.837
2012/01/20,187.789
2012/01/21,715.472
2012/01/22,1780
2012/01/23,1422
2012/01/24,2129
2012/01/25,1934
2012/01/26,1552
2012/01/27,1893
2012/01/28,625.597
2012/01/29,450.228
2012/01/30,422.214
2012/01/31,1123
2012/02/01,1004
2012/02/02,774.067
2012/02/03,868.161
2012/02/04,238.866
2012/02/05,686.705
2012/02/06,1144
2012/02/07,758.968
2012/02/08,863.838
2012/02/09,560.478
2012/02/10,897.38
2012/02/11,816.002
2012/02/12,1225
2012/02/13,1234
2012/02/14,2533
2012/02/15,1382
2012/02/16,313.953
2012/02/17,2990
2012/02/18,2955
2012/02/19,913.759
2012/02/20,923.992
2012/02/21,787.083
2012/02/22,1169
2012/02/23,1839
2012/02/24,1056
2012/02/25,1810
2012/02/26,1399
2012/02/27,1014
2012/02/28,1511
2012/02/29,466.78
2012/03/01,205.084
2012/03/02,993.263
2012/03/03,2839
2012/03/04,2834
2012/03/05,2474
2012/03/06,707.301
2012/03/07,715.499
2012/03/08,510.312
2012/03/09,287.079
2012/03/10,1886
2012/03/11,1780
2012/03/12,1201
2012/03/13,2350
2012/03/14,1270
2012/03/15,1396
2012/03/16,799.527
2012/03/17,812.977
2012/03/18,1429
2012/03/19,1353
2012/03/20,1303
2012/03/21,668.73
2012/03/22,312.603
2012/03/23,1431
2012/03/24,1123
2012/03/25,330.036
2012/03/26,838.731
2012/03/27,1013
2012/03/28,731.104
2012/03/29,909.676
2012/03/30,953.234
2012/03/31,1534
2012/04/01,1515
2012/04/02,1195
2012/04/03,2780
2012/04/04,1646
2012/04/05,1162
2012/04/06,575.891
2012/04/07,999.617
2012/04/08,940.293
2012/04/09,708.618
2012/04/10,2269
2012/04/11,2095
2012/04/12,531.206
2012/04/13,1821
2012/04/14,1649
2012/04/15,1175
2012/04/16,1817
2012/04/17,1825
2012/04/18,905.57
2012/04/19,1029
2012/04/20,1091
2012/04/21,1680
2012/04/22,2554
2012/04/23,1082
2012/04/24,1520
2012/04/25,640.308
2012/04/26,1485
2012/04/27,1779
2012/04/28,2244
2012/04/29,378.22
2012/04/30,2673
2012/05/01,2741
2012/05/02,245.831
