Date,sentbyaddress7mom
2010/07/17,201
2010/07/18,60
2010/07/19,-2017
2010/07/20,-793
2010/07/21,-5640
2010/07/22,-797
2010/07/23,-696
2010/07/24,255
2010/07/25,1369
2010/07/26,-145
2010/07/27,-213
2010/07/28,-97
2010/07/29,-45
2010/07/30,-112
2010/07/31,-382
2010/08/01,-1462
2010/08/02,-73
2010/08/03,177
2010/08/04,122
2010/08/05,177
2010/08/06,76
2010/08/07,-18
2010/08/08,56
2010/08/09,107
2010/08/10,-297
2010/08/11,-103
2010/08/12,-191
2010/08/13,160
2010/08/14,110
2010/08/15,-161
2010/08/16,7
2010/08/17,21
2010/08/18,25
2010/08/19,-52
2010/08/20,-144
2010/08/21,-23
2010/08/22,98
2010/08/23,-97
2010/08/24,16
2010/08/25,-49
2010/08/26,13
2010/08/27,-132
2010/08/28,-21
2010/08/29,-83
2010/08/30,-36
2010/08/31,51
2010/09/01,27
2010/09/02,-55
2010/09/03,62
2010/09/04,-69
2010/09/05,55
2010/09/06,-56
2010/09/07,-142
2010/09/08,-59
2010/09/09,54
2010/09/10,-3
2010/09/11,38
2010/09/12,77
2010/09/13,197
2010/09/14,143
2010/09/15,124
2010/09/16,50
2010/09/17,7
2010/09/18,58
2010/09/19,-62
2010/09/20,1
2010/09/21,511
2010/09/22,352
2010/09/23,300
2010/09/24,211
2010/09/25,225
2010/09/26,76
2010/09/27,191
2010/09/28,-470
2010/09/29,130
2010/09/30,-283
2010/10/01,83
2010/10/02,-2
2010/10/03,68
2010/10/04,-193
2010/10/05,25
2010/10/06,-477
2010/10/07,-33
2010/10/08,-221
2010/10/09,-121
2010/10/10,-59
2010/10/11,-84
2010/10/12,-58
2010/10/13,-27
2010/10/14,41
2010/10/15,-20
2010/10/16,15
2010/10/17,83
2010/10/18,272
2010/10/19,717
2010/10/20,434
2010/10/21,251
2010/10/22,338
2010/10/23,163
2010/10/24,147
2010/10/25,-182
2010/10/26,-493
2010/10/27,-147
2010/10/28,-46
2010/10/29,-216
2010/10/30,-201
2010/10/31,-326
2010/11/01,-108
2010/11/02,-344
2010/11/03,-341
2010/11/04,-257
2010/11/05,-50
2010/11/06,-8
2010/11/07,138
2010/11/08,133
2010/11/09,117
2010/11/10,56
2010/11/11,43
2010/11/12,-173
2010/11/13,-75
2010/11/14,-38
2010/11/15,3634
2010/11/16,2613
2010/11/17,43
2010/11/18,33
2010/11/19,86
2010/11/20,276
2010/11/21,128
2010/11/22,-3751
2010/11/23,-2637
2010/11/24,91
2010/11/25,199
2010/11/26,513
2010/11/27,-136
2010/11/28,-48
2010/11/29,99
2010/11/30,129
2010/12/01,45
2010/12/02,-134
2010/12/03,-460
2010/12/04,-15
2010/12/05,-26
2010/12/06,24
2010/12/07,146
2010/12/08,-14
2010/12/09,47
2010/12/10,20
2010/12/11,249
2010/12/12,293
2010/12/13,273
2010/12/14,150
2010/12/15,197
2010/12/16,82
2010/12/17,84
2010/12/18,-119
2010/12/19,-127
2010/12/20,261
2010/12/21,-32
2010/12/22,27
2010/12/23,102
2010/12/24,112
2010/12/25,242
2010/12/26,153
2010/12/27,-399
2010/12/28,27
2010/12/29,-176
2010/12/30,10
2010/12/31,42
2011/01/01,-8
2011/01/02,-88
2011/01/03,328
2011/01/04,56
2011/01/05,412
2011/01/06,57
2011/01/07,267
2011/01/08,376
2011/01/09,384
2011/01/10,170
2011/01/11,329
2011/01/12,-61
2011/01/13,308
2011/01/14,106
2011/01/15,-92
2011/01/16,61
2011/01/17,-101
2011/01/18,-120
2011/01/19,183
2011/01/20,54
2011/01/21,370
2011/01/22,487
2011/01/23,188
2011/01/24,560
2011/01/25,21
2011/01/26,14
2011/01/27,-79
2011/01/28,-72
2011/01/29,21
2011/01/30,1484
2011/01/31,87
2011/02/01,191
2011/02/02,-95
2011/02/03,-105
2011/02/04,-217
2011/02/05,-606
2011/02/06,-1745
2011/02/07,-626
2011/02/08,-228
2011/02/09,512
2011/02/10,1672
2011/02/11,1842
2011/02/12,1446
2011/02/13,1254
2011/02/14,1470
2011/02/15,1643
2011/02/16,819
2011/02/17,128
2011/02/18,-324
2011/02/19,-425
2011/02/20,130
2011/02/21,6
2011/02/22,122
2011/02/23,498
2011/02/24,-6
2011/02/25,-42
2011/02/26,402
2011/02/27,321
2011/02/28,-326
2011/03/01,818
2011/03/02,-331
2011/03/03,1183
2011/03/04,-90
2011/03/05,190
2011/03/06,-197
2011/03/07,335
2011/03/08,-366
2011/03/09,87
2011/03/10,-1578
2011/03/11,-102
2011/03/12,-66
2011/03/13,-236
2011/03/14,-525
2011/03/15,-569
2011/03/16,-253
2011/03/17,265
2011/03/18,12
2011/03/19,64
2011/03/20,1567
2011/03/21,1626
2011/03/22,327
2011/03/23,2719
2011/03/24,577
2011/03/25,660
2011/03/26,1214
2011/03/27,-71
2011/03/28,288
2011/03/29,696
2011/03/30,-2295
2011/03/31,130
2011/04/01,-595
2011/04/02,-1129
2011/04/03,-1034
2011/04/04,-451
2011/04/05,-468
2011/04/06,100
2011/04/07,-732
2011/04/08,254
2011/04/09,56
2011/04/10,-107
2011/04/11,-492
2011/04/12,-92
2011/04/13,505
2011/04/14,2419
2011/04/15,296
2011/04/16,383
2011/04/17,728
2011/04/18,1304
2011/04/19,1829
2011/04/20,640
2011/04/21,-1913
2011/04/22,178
2011/04/23,466
2011/04/24,6
2011/04/25,-342
2011/04/26,-121
2011/04/27,1942
2011/04/28,1590
2011/04/29,2056
2011/04/30,2857
2011/05/01,2406
2011/05/02,675
2011/05/03,-164
2011/05/04,-1282
2011/05/05,774
2011/05/06,184
2011/05/07,-661
2011/05/08,-995
2011/05/09,1051
2011/05/10,561
2011/05/11,445
2011/05/12,-102
2011/05/13,1130
2011/05/14,1226
2011/05/15,1523
2011/05/16,2098
2011/05/17,2499
2011/05/18,4051
2011/05/19,2857
2011/05/20,1726
2011/05/21,1469
2011/05/22,2463
2011/05/23,1584
2011/05/24,2169
2011/05/25,1418
2011/05/26,3016
2011/05/27,-110
2011/05/28,144
2011/05/29,-535
2011/05/30,169
2011/05/31,351
2011/06/01,405
2011/06/02,729
2011/06/03,5678
2011/06/04,6265
2011/06/05,6054
2011/06/06,6772
2011/06/07,4602
2011/06/08,8526
2011/06/09,8742
2011/06/10,5277
2011/06/11,3755
2011/06/12,6863
2011/06/13,3417
2011/06/14,8799
2011/06/15,2171
2011/06/16,1648
2011/06/17,826
2011/06/18,1209
2011/06/19,-492
2011/06/20,-163
2011/06/21,-5608
2011/06/22,-1333
2011/06/23,-3795
2011/06/24,-838
2011/06/25,-2462
2011/06/26,-3341
2011/06/27,1926
2011/06/28,1380
2011/06/29,-2614
2011/06/30,-1153
2011/07/01,-1345
2011/07/02,-2931
2011/07/03,-1955
2011/07/04,-4218
2011/07/05,-2729
2011/07/06,747
2011/07/07,-1791
2011/07/08,-2153
2011/07/09,-580
2011/07/10,-986
2011/07/11,470
