Date,sentbyaddress7wma
2010/07/17,1767
2010/07/18,1404
2010/07/19,1071
2010/07/20,829.393
2010/07/21,568.357
2010/07/22,501.75
2010/07/23,461.857
2010/07/24,506.821
2010/07/25,829.679
2010/07/26,757.393
2010/07/27,693.036
2010/07/28,617.286
2010/07/29,551
2010/07/30,467.821
2010/07/31,381.143
2010/08/01,325.107
2010/08/02,322.286
2010/08/03,387.321
2010/08/04,413.286
2010/08/05,454.643
2010/08/06,445.929
2010/08/07,403.5
2010/08/08,397.214
2010/08/09,402.679
2010/08/10,368.571
2010/08/11,360.821
2010/08/12,354.5
2010/08/13,399
2010/08/14,394.286
2010/08/15,353.393
2010/08/16,374
2010/08/17,362.107
2010/08/18,366.214
2010/08/19,347.929
2010/08/20,352.5
2010/08/21,348.964
2010/08/22,344.25
2010/08/23,343.036
2010/08/24,341.286
2010/08/25,339.464
2010/08/26,333.393
2010/08/27,311.607
2010/08/28,309.036
2010/08/29,289.714
2010/08/30,292.107
2010/08/31,313.536
2010/09/01,327.643
2010/09/02,314.286
2010/09/03,316.893
2010/09/04,299.036
2010/09/05,297.143
2010/09/06,284.286
2010/09/07,269.679
2010/09/08,275.393
2010/09/09,284.964
2010/09/10,292.357
2010/09/11,291.857
2010/09/12,313.25
2010/09/13,352.893
2010/09/14,368.25
2010/09/15,389
2010/09/16,388.571
2010/09/17,375.357
2010/09/18,366.643
2010/09/19,349.107
2010/09/20,370.536
2010/09/21,502.179
2010/09/22,586.321
2010/09/23,628.143
2010/09/24,626
2010/09/25,624.571
2010/09/26,571.107
2010/09/27,580.429
2010/09/28,527.929
2010/09/29,612.964
2010/09/30,560.357
2010/10/01,576.107
2010/10/02,575.893
2010/10/03,549.25
2010/10/04,520.429
2010/10/05,498
2010/10/06,469.929
2010/10/07,436.893
2010/10/08,416.286
2010/10/09,415.571
2010/10/10,408.179
2010/10/11,396.893
2010/10/12,394.607
2010/10/13,397.393
2010/10/14,396.143
2010/10/15,389.429
2010/10/16,404.179
2010/10/17,424.393
2010/10/18,482.893
2010/10/19,648.929
2010/10/20,721.607
2010/10/21,728.036
2010/10/22,743.25
2010/10/23,723.393
2010/10/24,699.714
2010/10/25,629.786
2010/10/26,605.857
2010/10/27,618.286
2010/10/28,610.464
2010/10/29,579.536
2010/10/30,537.071
2010/10/31,472.536
2010/11/01,433.143
2010/11/02,378.107
2010/11/03,354.857
2010/11/04,339.286
2010/11/05,359.893
2010/11/06,373.536
2010/11/07,394.714
2010/11/08,423.214
2010/11/09,423.464
2010/11/10,423.786
2010/11/11,414.357
2010/11/12,376.393
2010/11/13,360.357
2010/11/14,363.5
2010/11/15,1298
2010/11/16,1824
2010/11/17,1619
2010/11/18,1402
2010/11/19,1170
2010/11/20,998
2010/11/21,795.75
2010/11/22,549.429
2010/11/23,436.821
2010/11/24,462.143
2010/11/25,500.964
2010/11/26,597.429
2010/11/27,576.571
2010/11/28,562.071
2010/11/29,546.536
2010/11/30,534.714
2010/12/01,541.036
2010/12/02,517.75
2010/12/03,482.5
2010/12/04,475.929
2010/12/05,468.643
2010/12/06,472.036
2010/12/07,512.321
2010/12/08,530.143
2010/12/09,535.714
2010/12/10,516.107
2010/12/11,565.286
2010/12/12,615.321
2010/12/13,659.643
2010/12/14,701.214
2010/12/15,731.929
2010/12/16,714.107
2010/12/17,670.357
2010/12/18,642.357
2010/12/19,626.357
2010/12/20,716.643
2010/12/21,731.357
2010/12/22,756.464
2010/12/23,757.857
2010/12/24,735.107
2010/12/25,759.607
2010/12/26,760.964
2010/12/27,720.607
2010/12/28,734.75
2010/12/29,706.429
2010/12/30,708.143
2010/12/31,697
2011/01/01,723.107
2011/01/02,715
2011/01/03,777.786
2011/01/04,801.107
2011/01/05,869.929
2011/01/06,859.036
