Date,sentbyaddress90roc
2010/07/17,-88.139
2010/07/18,99.061
2010/07/19,205.525
2010/07/20,225.773
2010/07/21,203.448
2010/07/22,154.321
2010/07/23,170
2010/07/24,347.917
2010/07/25,954.706
2010/07/26,137.209
2010/07/27,149.405
2010/07/28,167.969
2010/07/29,188.976
2010/07/30,118.657
2010/07/31,108.73
2010/08/01,136.429
2010/08/02,151.88
2010/08/03,348.12
2010/08/04,225.175
2010/08/05,331.746
2010/08/06,138.065
2010/08/07,54.088
2010/08/08,200
2010/08/09,305.505
2010/08/10,149.167
2010/08/11,191.935
2010/08/12,167.424
2010/08/13,468.817
2010/08/14,244.66
2010/08/15,52.703
2010/08/16,137.566
2010/08/17,69.312
2010/08/18,99.485
2010/08/19,60.963
2010/08/20,97.436
2010/08/21,17.314
2010/08/22,56.522
2010/08/23,63.721
2010/08/24,43.59
2010/08/25,64.078
2010/08/26,27.126
2010/08/27,21.635
2010/08/28,76.705
2010/08/29,35.393
2010/08/30,91.515
2010/08/31,125
2010/09/01,89.119
2010/09/02,64.968
2010/09/03,92.073
2010/09/04,39.884
2010/09/05,65.363
2010/09/06,31.313
2010/09/07,23.737
2010/09/08,56.122
2010/09/09,32.627
2010/09/10,65.079
2010/09/11,28.44
2010/09/12,65.044
2010/09/13,95.299
2010/09/14,126.901
2010/09/15,133.696
2010/09/16,113.529
2010/09/17,61.929
2010/09/18,71.574
2010/09/19,29.583
2010/09/20,111.06
2010/09/21,303.139
2010/09/22,285.222
2010/09/23,311.801
2010/09/24,213.609
2010/09/25,201.07
2010/09/26,135.976
2010/09/27,200.463
2010/09/28,83.333
2010/09/29,275.309
2010/09/30,91.919
2010/10/01,161.966
2010/10/02,211.667
2010/10/03,127.5
2010/10/04,171.429
2010/10/05,144.086
2010/10/06,130.159
2010/10/07,60.648
2010/10/08,107.407
2010/10/09,20.879
2010/10/10,-84.591
2010/10/11,-73.895
2010/10/12,-93.487
2010/10/13,-66.253
2010/10/14,-64.759
2010/10/15,-4.615
2010/10/16,7.311
2010/10/17,-13.382
2010/10/18,1.899
2010/10/19,152.955
2010/10/20,104.369
2010/10/21,57.778
2010/10/22,10.078
2010/10/23,-65.533
2010/10/24,53.431
2010/10/25,10.263
2010/10/26,80.758
2010/10/27,89.373
2010/10/28,102.389
2010/10/29,87.833
2010/10/30,25.982
2010/10/31,-10.448
2010/11/01,-40.604
2010/11/02,-40.645
2010/11/03,-34.926
2010/11/04,-8.943
2010/11/05,81.224
2010/11/06,5.685
2010/11/07,-0.905
