Date,sentinusd30emaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,2737
2010/08/16,2841
2010/08/17,2877
2010/08/18,2857
2010/08/19,2762
2010/08/20,2710
2010/08/21,2699
2010/08/22,2611
2010/08/23,2518
2010/08/24,2444
2010/08/25,2354
2010/08/26,2261
2010/08/27,2235
2010/08/28,2160
2010/08/29,2056
2010/08/30,1981
2010/08/31,2014
2010/09/01,2000
2010/09/02,2010
2010/09/03,1998
2010/09/04,1989
2010/09/05,2410
2010/09/06,2557
2010/09/07,2464
2010/09/08,2375
2010/09/09,2357
2010/09/10,2261
2010/09/11,2156
2010/09/12,2091
2010/09/13,2426
2010/09/14,2390
2010/09/15,2394
2010/09/16,2378
2010/09/17,2516
2010/09/18,2522
2010/09/19,2564
2010/09/20,2565
2010/09/21,2512
2010/09/22,2529
2010/09/23,2874
2010/09/24,2766
2010/09/25,2708
2010/09/26,2623
2010/09/27,2587
2010/09/28,2747
2010/09/29,2944
2010/09/30,2920
2010/10/01,2965
2010/10/02,4221
2010/10/03,4248
2010/10/04,6171
2010/10/05,6540
2010/10/06,6605
2010/10/07,6714
2010/10/08,7041
2010/10/09,7646
2010/10/10,7875
2010/10/11,7696
2010/10/12,7675
2010/10/13,7906
2010/10/14,8581
2010/10/15,8996
2010/10/16,9701
2010/10/17,9789
2010/10/18,10599
2010/10/19,11603
2010/10/20,12136
2010/10/21,12580
2010/10/22,12648
2010/10/23,12129
2010/10/24,12100
2010/10/25,12394
2010/10/26,13252
2010/10/27,14602
2010/10/28,15824
2010/10/29,15830
2010/10/30,15538
2010/10/31,15345
2010/11/01,14884
2010/11/02,14702
