Date,sentinusd30smaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,2737
2010/08/16,2842
2010/08/17,2868
2010/08/18,2819
2010/08/19,2787
2010/08/20,2782
2010/08/21,2781
2010/08/22,2787
2010/08/23,2741
2010/08/24,2703
2010/08/25,2585
2010/08/26,2553
2010/08/27,2481
2010/08/28,2476
2010/08/29,2450
2010/08/30,2446
2010/08/31,1979
2010/09/01,1909
2010/09/02,1900
2010/09/03,1894
2010/09/04,1875
2010/09/05,2120
2010/09/06,2226
2010/09/07,2243
2010/09/08,2110
2010/09/09,2102
2010/09/10,2015
2010/09/11,2001
2010/09/12,1962
2010/09/13,2169
2010/09/14,2195
2010/09/15,2131
2010/09/16,2090
2010/09/17,2154
2010/09/18,2196
2010/09/19,2236
2010/09/20,2237
2010/09/21,2250
2010/09/22,2304
2010/09/23,2521
2010/09/24,2526
2010/09/25,2558
2010/09/26,2543
2010/09/27,2576
2010/09/28,2726
2010/09/29,2890
2010/09/30,2893
2010/10/01,2953
2010/10/02,3629
2010/10/03,3723
2010/10/04,4796
2010/10/05,4909
2010/10/06,5004
2010/10/07,5243
2010/10/08,5600
2010/10/09,6077
2010/10/10,6421
2010/10/11,6570
2010/10/12,6778
2010/10/13,6910
2010/10/14,7460
2010/10/15,7879
2010/10/16,8471
2010/10/17,8690
2010/10/18,9347
2010/10/19,10114
2010/10/20,10690
2010/10/21,11266
2010/10/22,11628
2010/10/23,11519
2010/10/24,11868
2010/10/25,12361
2010/10/26,13171
2010/10/27,14241
2010/10/28,15191
2010/10/29,15528
2010/10/30,15819
2010/10/31,16116
2010/11/01,15642
2010/11/02,15889
