Date,sentinusd3rocUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,96.181
2010/07/21,-18.776
2010/07/22,-36.493
2010/07/23,-50.185
2010/07/24,19.739
2010/07/25,-2.996
2010/07/26,295.249
2010/07/27,-27.17
2010/07/28,60.899
2010/07/29,-73.304
2010/07/30,-27.804
2010/07/31,-74.445
2010/08/01,1240
2010/08/02,191.472
2010/08/03,136.938
2010/08/04,-87.838
2010/08/05,-37.591
2010/08/06,-52.455
2010/08/07,-24.515
2010/08/08,-74.633
2010/08/09,338.125
2010/08/10,54.386
2010/08/11,464.455
2010/08/12,-78.59
2010/08/13,-1.735
2010/08/14,-69.433
2010/08/15,3.291
2010/08/16,89.478
2010/08/17,218.521
2010/08/18,130.534
2010/08/19,-68.447
2010/08/20,-42.28
2010/08/21,-1.114
2010/08/22,-2.595
2010/08/23,-40.487
2010/08/24,-46.286
2010/08/25,-21.955
2010/08/26,-21.14
2010/08/27,35.092
2010/08/28,2.81
2010/08/29,-39.655
2010/08/30,-51.564
2010/08/31,131.907
2010/09/01,224.347
2010/09/02,140.996
2010/09/03,-26.906
2010/09/04,3.351
2010/09/05,293.885
2010/09/06,158.311
2010/09/07,-39.756
2010/09/08,-87.249
2010/09/09,-55.566
2010/09/10,-22.176
2010/09/11,-40.882
2010/09/12,-45.04
2010/09/13,736.002
2010/09/14,192.759
2010/09/15,113.749
2010/09/16,-70.574
2010/09/17,140.338
2010/09/18,6.714
2010/09/19,47.622
2010/09/20,-42.831
2010/09/21,-33.431
2010/09/22,-11.977
2010/09/23,205.18
2010/09/24,-31.006
2010/09/25,-33.125
2010/09/26,-82.292
2010/09/27,72.483
2010/09/28,171.868
2010/09/29,316.614
2010/09/30,24.073
2010/10/01,-28.63
2010/10/02,286.085
2010/10/03,80.373
2010/10/04,843.447
2010/10/05,-46.97
2010/10/06,62.746
2010/10/07,-75.651
2010/10/08,-0.958
2010/10/09,117.329
2010/10/10,35.121
2010/10/11,-56.693
2010/10/12,-55.07
2010/10/13,0.445
2010/10/14,260.048
2010/10/15,103.589
2010/10/16,76.991
2010/10/17,-39.757
