Date,sentinusd3rsiUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,62.58
2010/07/21,58.375
2010/07/22,65.499
2010/07/23,36.319
2010/07/24,61.498
2010/07/25,60.275
2010/07/26,83.038
2010/07/27,39.153
2010/07/28,62.468
2010/07/29,35.91
2010/07/30,37.423
2010/07/31,33.889
2010/08/01,91.791
2010/08/02,44.342
2010/08/03,40.675
2010/08/04,39.267
2010/08/05,42.271
2010/08/06,34.565
2010/08/07,39.243
2010/08/08,30.946
2010/08/09,73.132
2010/08/10,46.835
2010/08/11,56.643
2010/08/12,35.837
2010/08/13,49.835
2010/08/14,37.396
2010/08/15,38.434
2010/08/16,74.848
2010/08/17,59.184
2010/08/18,46.863
2010/08/19,31.956
2010/08/20,44.688
2010/08/21,57.032
2010/08/22,33.911
2010/08/23,31.193
2010/08/24,39.795
2010/08/25,30.701
2010/08/26,27.108
2010/08/27,68.285
2010/08/28,40.023
2010/08/29,28.294
2010/08/30,44.42
2010/08/31,78.345
2010/09/01,56.027
2010/09/02,64.103
2010/09/03,50.954
2010/09/04,52.539
2010/09/05,95.107
2010/09/06,53.713
2010/09/07,33.295
2010/09/08,33.121
2010/09/09,45.989
2010/09/10,34.054
2010/09/11,31.733
2010/09/12,44.323
2010/09/13,87.201
2010/09/14,43.224
2010/09/15,47.456
2010/09/16,44.74
2010/09/17,66.569
2010/09/18,45.177
2010/09/19,51.824
2010/09/20,43.395
2010/09/21,32.08
2010/09/22,54.263
2010/09/23,86.551
2010/09/24,36.254
2010/09/25,41.301
2010/09/26,38.099
2010/09/27,47.072
2010/09/28,72.934
2010/09/29,77.155
2010/09/30,38.45
2010/10/01,50.403
2010/10/02,92.113
2010/10/03,42.015
2010/10/04,75.313
2010/10/05,45.674
2010/10/06,40.938
2010/10/07,42.462
2010/10/08,51.347
2010/10/09,62.789
2010/10/10,44.956
2010/10/11,29.988
2010/10/12,40.966
2010/10/13,57.881
2010/10/14,76.447
2010/10/15,58.273
2010/10/16,72.569
2010/10/17,37.651
2010/10/18,67.516
2010/10/19,73.879
2010/10/20,49.781
2010/10/21,46.715
