Date,sentinusd3stdUSD
2010/07/17,0
2010/07/18,0
2010/07/19,2330
2010/07/20,1498
2010/07/21,1722
2010/07/22,366.445
2010/07/23,1171
2010/07/24,1310
2010/07/25,1274
2010/07/26,1972
2010/07/27,2357
2010/07/28,2370
2010/07/29,2384
2010/07/30,2574
2010/07/31,257.877
2010/08/01,14436
2010/08/02,13434
2010/08/03,12623
2010/08/04,1618
2010/08/05,399.67
2010/08/06,1060
2010/08/07,1074
2010/08/08,737.674
2010/08/09,3837
2010/08/10,3659
2010/08/11,2233
2010/08/12,1957
2010/08/13,1956
2010/08/14,1153
2010/08/15,1137
2010/08/16,3074
2010/08/17,2710
2010/08/18,1449
2010/08/19,1655
2010/08/20,985.324
2010/08/21,961.686
2010/08/22,990.816
2010/08/23,1234
2010/08/24,181.343
2010/08/25,269.621
2010/08/26,381.402
2010/08/27,826.985
2010/08/28,816.648
2010/08/29,1066
2010/08/30,431.271
2010/08/31,1686
2010/09/01,1304
2010/09/02,565.838
2010/09/03,333.507
2010/09/04,306.108
2010/09/05,6291
2010/09/06,5452
2010/09/07,6037
2010/09/08,3391
2010/09/09,930.145
2010/09/10,1061
2010/09/11,1270
2010/09/12,413.742
2010/09/13,6030
2010/09/14,5465
2010/09/15,4840
2010/09/16,469.741
2010/09/17,2106
2010/09/18,2050
2010/09/19,1595
2010/09/20,530.024
2010/09/21,1164
2010/09/22,900.137
2010/09/23,5360
2010/09/24,5695
2010/09/25,6005
2010/09/26,552.578
2010/09/27,567.024
2010/09/28,3182
2010/09/29,3227
2010/09/30,2766
2010/10/01,2699
2010/10/02,18253
2010/10/03,17279
2010/10/04,24191
2010/10/05,25022
2010/10/06,23211
2010/10/07,3794
2010/10/08,3688
2010/10/09,6652
2010/10/10,4663
2010/10/11,9245
2010/10/12,5036
2010/10/13,5080
2010/10/14,9106
2010/10/15,5813
2010/10/16,4095
2010/10/17,7242
2010/10/18,9693
2010/10/19,12819
2010/10/20,5182
2010/10/21,6374
2010/10/22,5531
2010/10/23,11893
2010/10/24,7751
2010/10/25,9889
2010/10/26,11591
2010/10/27,14308
2010/10/28,7726
