Date,sentinusd3trxUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,-4.243
2010/07/25,-0.17
2010/07/26,13.622
2010/07/27,4.083
2010/07/28,7.41
2010/07/29,-3.249
2010/07/30,-9.435
2010/07/31,-13.417
2010/08/01,74.644
2010/08/02,28.209
2010/08/03,3.356
2010/08/04,-8.122
2010/08/05,-11.861
2010/08/06,-16.094
2010/08/07,-16.918
2010/08/08,-19.614
2010/08/09,3.269
2010/08/10,4.89
2010/08/11,7.716
2010/08/12,-3.453
2010/08/13,-4.44
2010/08/14,-9.498
2010/08/15,-12.095
2010/08/16,8.364
2010/08/17,14.003
2010/08/18,7.752
2010/08/19,-2.798
2010/08/20,-5.512
2010/08/21,-2.354
2010/08/22,-6.059
2010/08/23,-9.541
2010/08/24,-9.52
2010/08/25,-10.309
2010/08/26,-11.054
2010/08/27,-2.404
2010/08/28,-2.796
2010/08/29,-8.858
2010/08/30,-9.078
2010/08/31,10.383
2010/09/01,12.676
2010/09/02,12.885
2010/09/03,7.854
2010/09/04,4.415
2010/09/05,49.37
2010/09/06,30.018
2010/09/07,2.818
2010/09/08,-9.756
2010/09/09,-11.454
2010/09/10,-15.208
2010/09/11,-18.454
2010/09/12,-16.55
2010/09/13,34.296
2010/09/14,16.034
2010/09/15,5.458
2010/09/16,-0.911
2010/09/17,7.534
2010/09/18,3.451
2010/09/19,2.119
2010/09/20,-0.912
2010/09/21,-6.046
2010/09/22,-4.01
2010/09/23,22.266
2010/09/24,3.871
2010/09/25,-5.566
2010/09/26,-11.282
2010/09/27,-10.576
2010/09/28,6.549
2010/09/29,19.318
2010/09/30,6.843
2010/10/01,2.567
2010/10/02,66.795
2010/10/03,22.079
2010/10/04,53.241
2010/10/05,21.082
2010/10/06,1.792
2010/10/07,-5.991
2010/10/08,-5.312
2010/10/09,1.616
2010/10/10,0.458
2010/10/11,-7.303
2010/10/12,-9.518
2010/10/13,-4.547
2010/10/14,8.881
2010/10/15,10.395
2010/10/16,13.193
2010/10/17,3.92
2010/10/18,8.225
