Date,sentinusd7momUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,1347
2010/07/25,-118.674
2010/07/26,561.162
2010/07/27,-490.486
2010/07/28,1890
2010/07/29,-1340
2010/07/30,169.759
2010/07/31,-1515
2010/08/01,13996
2010/08/02,-715.193
2010/08/03,578.897
2010/08/04,-2006
2010/08/05,1200
2010/08/06,-180.849
2010/08/07,488.672
2010/08/08,-15873
2010/08/09,1167
2010/08/10,-91.858
2010/08/11,1474
2010/08/12,-1346
2010/08/13,1142
2010/08/14,-450.418
2010/08/15,502.601
2010/08/16,-708.237
2010/08/17,1050
2010/08/18,-899.444
2010/08/19,289.736
2010/08/20,-341.499
2010/08/21,1487
2010/08/22,218.444
2010/08/23,-3188
2010/08/24,-2017
2010/08/25,-1536
2010/08/26,-455.47
2010/08/27,-104.124
2010/08/28,-1478
2010/08/29,-783.693
2010/08/30,-266.996
2010/08/31,1118
2010/09/01,752.137
2010/09/02,1243
2010/09/03,-31.978
2010/09/04,782.981
2010/09/05,7957
2010/09/06,3802
2010/09/07,-1370
2010/09/08,-710.776
2010/09/09,-72.815
2010/09/10,-948.786
2010/09/11,-1215
2010/09/12,-7363
2010/09/13,2576
2010/09/14,759.898
2010/09/15,1368
2010/09/16,52.905
2010/09/17,3644
2010/09/18,1976
2010/09/19,2013
2010/09/20,-4695
2010/09/21,-135.726
2010/09/22,328.978
2010/09/23,5734
2010/09/24,-3312
2010/09/25,-757.129
2010/09/26,-1766
2010/09/27,-506.986
2010/09/28,3315
2010/09/29,3028
2010/09/30,-5302
2010/10/01,2407
2010/10/02,20570
2010/10/03,3246
2010/10/04,31980
2010/10/05,6837
2010/10/06,1742
2010/10/07,5719
2010/10/08,8171
2010/10/09,-6017
2010/10/10,6564
2010/10/11,-28951
2010/10/12,-4520
2010/10/13,3702
2010/10/14,10077
2010/10/15,3232
2010/10/16,3506
2010/10/17,-137.734
2010/10/18,17240
2010/10/19,18791
2010/10/20,8613
2010/10/21,652.476
2010/10/22,-1390
2010/10/23,-15312
2010/10/24,618.941
